,Age,Gender,Industry,JobRole,YearsAtCompany,MentalHealthDaysTaken,PhysicalHealthDaysTaken,MentalHealthDiscussedWithManager,PhysicalHealthDiscussedWithManager,AccessToMentalHealthResources,AccessToPhysicalHealthResources,WorkplaceStressLevel,ManagerSupport,EmployeeSatisfaction,CompanySize,RemoteWork,MentalHealthTrainingForManagers,MentalHealthPolicies,label
0,48,3,1,0,20,9,4,1,1,0,3,1,2,1,1,0,0,1,0
1,62,1,0,5,7,2,12,0,0,1,3,4,1,3,2,0,1,1,1
2,18,2,3,5,12,3,0,0,1,1,2,4,4,1,1,1,1,1,1
3,24,0,4,2,12,12,1,0,1,0,1,4,1,3,2,0,0,0,0
4,53,0,0,2,26,2,6,0,1,0,0,4,3,2,1,1,0,0,0
5,63,0,5,1,7,2,5,0,1,0,0,4,1,3,2,1,0,1,0
6,61,0,5,2,17,3,13,1,0,2,1,1,4,3,2,0,0,0,1
7,58,2,2,5,28,13,8,1,1,3,2,2,3,2,2,1,0,1,0
8,19,1,1,3,15,10,13,1,0,1,0,3,2,1,1,1,0,1,0
9,56,2,1,4,24,13,2,0,1,2,3,2,4,4,1,0,1,0,1
10,34,2,2,4,29,8,3,0,0,0,3,1,3,1,1,0,0,1,0
11,24,3,1,1,24,2,4,0,1,0,3,1,3,3,2,1,0,0,0
12,43,2,0,1,10,13,8,1,0,3,0,4,4,4,2,0,0,1,1
13,55,2,2,2,23,7,8,0,1,3,3,2,3,3,1,1,0,1,0
14,42,1,0,1,3,13,2,1,1,3,0,1,2,1,2,1,0,0,0
15,59,1,0,2,6,4,6,1,0,2,0,3,1,3,1,0,1,0,0
16,45,3,4,4,4,1,6,1,1,3,3,4,3,2,2,1,0,0,0
17,46,1,3,4,14,7,1,0,0,3,0,2,3,3,2,0,0,1,0
18,40,0,3,3,15,13,6,1,0,3,0,4,1,1,1,1,0,1,0
19,22,3,2,4,16,12,10,1,0,0,0,4,1,3,1,1,0,1,0
20,42,2,3,5,2,4,1,1,1,3,3,2,3,4,1,0,1,0,1
21,41,1,5,2,19,4,4,0,0,1,1,2,3,4,2,1,0,1,0
22,34,0,3,5,28,11,13,0,1,2,0,2,2,2,2,0,0,1,0
23,26,3,5,4,5,4,11,0,1,2,3,1,4,4,2,1,1,1,1
24,47,0,2,2,19,4,12,1,1,2,3,2,4,2,1,1,0,0,1
25,51,3,0,1,14,4,2,0,1,0,3,3,2,3,2,0,0,0,0
26,22,2,1,1,4,9,2,0,1,1,0,4,2,1,1,1,0,1,0
27,18,1,2,3,16,6,3,1,1,1,1,1,4,1,2,1,1,1,1
28,24,2,5,3,9,12,7,1,1,1,0,1,1,3,1,1,0,0,0
29,56,2,4,4,1,12,0,1,1,2,2,3,3,2,1,0,1,0,0
30,58,0,2,3,2,1,1,1,1,2,3,4,2,1,1,1,1,0,0
31,57,2,0,2,22,0,13,0,0,0,2,2,4,2,1,0,1,1,1
32,49,2,5,4,12,13,1,0,0,2,2,2,4,2,2,0,1,0,1
33,37,2,3,3,23,9,6,1,1,1,1,1,2,1,2,1,0,1,0
34,22,2,4,5,1,5,4,1,0,3,3,3,1,3,1,0,1,0,0
35,35,1,1,1,17,10,8,0,1,0,0,1,4,4,2,1,1,0,0
36,35,1,4,4,11,4,9,0,1,3,3,2,1,2,2,0,0,0,0
37,26,2,4,3,5,3,6,0,1,3,0,2,1,4,2,1,1,1,1
38,25,1,1,2,20,13,5,0,1,2,3,2,1,1,2,1,1,0,0
39,55,1,3,5,11,11,7,1,1,1,2,2,3,1,1,1,0,1,0
40,50,1,0,0,21,8,0,0,0,0,0,2,3,3,1,1,1,0,0
41,24,3,4,5,19,2,0,0,1,2,0,4,4,1,1,1,1,0,1
42,60,0,5,4,20,12,10,0,0,0,1,1,4,4,1,1,1,1,1
43,61,2,4,2,3,13,5,0,1,2,0,2,2,4,2,1,0,0,0
44,31,2,1,1,25,10,6,0,1,1,3,1,1,3,2,0,0,0,0
45,52,3,2,3,8,11,0,0,1,1,1,3,3,1,2,0,0,1,0
46,39,2,5,1,15,6,12,1,1,2,0,1,4,2,1,0,0,1,1
47,57,0,5,5,25,12,13,0,1,2,3,3,4,3,1,1,1,0,1
48,31,1,3,3,20,11,4,0,0,3,0,2,1,3,2,1,0,1,0
49,44,2,1,3,16,2,5,0,1,3,0,2,4,4,1,1,1,1,1
50,49,3,4,3,18,5,5,0,0,0,0,3,3,3,1,0,0,0,0
51,51,0,5,1,2,11,10,0,1,0,2,1,2,2,1,0,1,1,1
52,59,1,4,2,3,6,13,1,1,1,1,2,3,4,2,1,0,1,1
53,58,0,5,5,13,6,6,0,1,3,3,4,1,1,2,0,0,1,0
54,24,0,0,0,16,10,1,0,1,0,0,2,4,4,1,0,1,1,1
55,63,3,5,1,15,3,9,1,0,0,2,3,1,2,1,1,1,0,0
56,39,1,5,2,25,8,11,0,1,3,2,2,1,2,2,0,1,1,1
57,58,1,1,3,1,7,7,1,1,3,1,4,3,4,1,0,0,1,1
58,27,2,5,4,27,13,12,1,1,3,1,1,3,4,1,1,0,1,1
59,56,2,1,2,15,9,0,0,1,2,1,4,4,1,2,0,0,1,1
60,26,3,1,3,19,4,1,1,1,1,0,2,4,4,1,0,1,1,1
61,51,1,4,1,4,6,12,1,0,1,2,1,3,1,2,0,0,1,0
62,45,1,2,5,14,7,7,1,0,1,0,3,1,1,1,0,0,1,0
63,54,1,5,0,21,7,7,1,1,3,2,1,3,3,2,1,1,1,1
64,31,0,4,3,6,9,3,1,1,1,3,1,2,4,2,0,1,1,1
65,23,0,3,5,29,10,12,0,1,3,2,3,3,4,2,0,1,1,1
66,51,3,2,2,11,2,11,0,0,3,3,1,2,2,2,0,1,0,0
67,18,0,3,3,11,6,4,1,0,1,1,1,1,3,1,0,1,0,0
68,63,0,1,5,6,11,4,0,1,1,0,3,2,2,1,1,1,0,0
69,54,1,3,3,9,7,2,0,0,1,1,1,2,1,2,1,0,1,0
70,60,3,5,4,2,2,3,1,0,0,0,1,4,3,2,0,1,0,0
71,51,2,3,3,14,7,6,1,0,1,0,2,2,1,1,0,0,1,0
72,46,1,1,1,7,5,9,1,0,0,3,3,3,2,1,0,1,0,0
73,46,2,1,3,10,12,5,0,0,2,0,4,1,1,1,1,1,1,1
74,63,3,2,2,2,3,12,0,0,3,2,2,3,4,2,0,1,0,0
75,36,0,2,0,8,8,6,1,1,2,2,2,4,1,2,0,0,1,1
76,44,3,2,0,15,5,8,1,0,2,0,1,1,1,1,0,0,1,0
77,18,2,3,5,27,8,1,0,0,0,1,1,2,2,2,0,0,1,0
78,32,3,5,4,21,7,13,0,0,3,3,3,1,2,1,1,0,0,0
79,27,2,1,3,27,8,9,1,0,1,0,1,3,1,1,1,0,1,0
80,18,3,1,0,29,6,7,1,0,2,1,2,3,1,1,1,1,1,1
81,57,1,0,5,20,7,12,0,1,2,1,3,4,2,1,1,0,0,1
82,30,2,3,0,24,6,9,0,1,3,2,2,2,1,2,0,0,0,0
83,51,2,1,3,20,13,11,1,0,2,0,1,3,1,1,0,1,1,1
84,26,1,1,1,28,2,8,0,1,1,1,3,3,1,2,1,1,1,1
85,21,0,5,3,3,13,10,0,1,1,1,2,4,1,2,0,0,0,1
86,29,2,5,4,9,9,9,1,1,3,2,3,4,2,1,1,0,0,0
87,42,2,0,3,11,8,12,1,1,2,3,1,4,2,1,1,0,0,1
88,20,2,5,2,18,8,5,0,0,1,3,1,4,4,2,1,0,0,1
89,31,2,1,0,8,11,0,1,1,3,1,1,3,4,2,1,0,0,1
90,38,3,2,4,14,12,11,1,0,2,3,4,2,1,1,1,1,1,1
91,49,3,2,0,23,10,12,1,0,2,0,3,4,3,2,1,0,0,1
92,30,3,4,5,21,10,9,0,0,3,1,2,4,1,2,0,1,0,0
93,42,3,1,4,24,2,7,0,0,2,1,3,3,2,2,1,1,1,1
94,36,1,5,2,8,10,3,0,1,1,2,4,2,4,2,1,0,0,0
95,63,2,4,0,12,3,3,0,1,1,0,3,2,4,1,0,0,1,0
96,45,1,1,4,4,9,10,0,1,3,3,3,2,4,2,1,1,0,0
97,54,0,5,5,12,3,6,0,0,2,3,3,4,1,1,0,1,0,1
98,21,0,4,3,15,10,9,0,0,0,0,2,1,4,1,1,1,1,1
99,50,1,5,5,16,2,7,0,0,3,3,1,3,1,1,0,1,1,1
100,45,2,4,0,3,12,13,1,1,1,0,4,3,2,1,0,0,1,0
101,27,0,5,1,11,2,2,0,0,0,1,4,1,4,1,0,1,1,1
102,60,3,4,2,10,12,6,0,1,3,2,2,1,3,2,1,0,1,0
103,20,2,5,3,11,1,3,0,1,1,2,4,2,4,1,1,0,0,0
104,50,2,4,4,23,2,7,1,1,2,2,1,4,3,1,1,1,0,1
105,39,1,5,1,23,4,2,1,1,3,1,3,1,4,1,0,1,1,1
106,26,2,0,3,17,6,11,1,0,2,1,4,4,2,1,1,0,1,1
107,49,2,2,1,8,1,3,0,0,2,0,3,1,2,1,0,1,1,1
108,63,0,0,3,3,0,11,1,1,0,0,1,3,4,2,0,0,1,1
109,21,1,4,3,4,3,1,0,0,3,3,3,1,1,2,0,1,1,1
110,33,2,4,2,25,7,1,1,1,2,2,1,4,2,2,1,1,0,1
111,60,3,3,3,14,12,5,1,1,2,2,4,1,3,2,0,0,0,0
112,49,3,1,2,8,13,6,0,1,0,0,2,3,3,2,1,0,0,0
113,61,0,0,4,27,11,7,1,1,0,1,4,4,3,2,0,0,1,0
114,24,1,2,3,5,3,7,0,1,1,2,1,4,1,2,1,1,1,1
115,49,1,1,4,3,4,11,0,1,2,2,1,2,3,2,1,1,1,1
116,61,0,2,5,8,11,12,1,0,3,3,4,2,3,2,1,1,1,1
117,57,3,4,1,26,13,1,1,0,3,3,1,3,2,1,0,0,0,0
118,20,2,0,0,14,9,9,1,0,1,1,4,3,2,1,1,0,0,0
119,19,3,2,0,23,7,9,0,1,0,2,1,1,4,2,1,0,0,0
120,61,1,5,2,28,9,11,1,1,3,1,1,1,1,2,0,1,1,1
