,Customer ID,Age,Annual Income,Number of Dependents,Purchase Frequency,Total Purchase Amount,label
0,10970,32,126460.7247323511,8,Medium,17616.711255171973,0
1,10939,19,76086.35016824791,10,Medium,5171.557128925956,0
2,10831,44,103547.74112072909,10,Low,37254.19497651443,0
3,10378,53,80141.448157337,5,Low,38041.06137843161,0
4,10774,34,58989.4045384224,2,High,34688.29004609751,0
5,10551,20,68391.6243253113,2,Low,32826.18216044949,0
6,10891,48,75699.776767656,3,High,23090.00381445336,0
7,10717,56,146009.8122784729,9,Low,32960.27958223898,0
8,10918,18,107764.78797197157,2,Low,39015.2414762063,0
9,10184,38,51810.57115583345,2,Medium,13250.000345381493,0
10,10174,37,81394.3784086328,1,Low,16204.57131523761,0
11,10476,23,50910.647086814904,3,Medium,41510.23562557329,0
12,10748,34,137013.3909426283,5,Low,35486.04163263321,0
13,10421,20,105031.01653716777,10,Medium,41980.07651626563,0
14,10634,35,76788.30105714116,1,Medium,10558.355721296099,0
15,10131,48,94373.48551788065,3,Medium,48073.62476163121,0
16,10557,54,86335.1889645395,10,Low,2952.0703876610023,0
17,10948,51,66132.94756538578,8,Medium,44627.09471334589,0
18,10865,27,113435.45708186805,10,High,18985.623934218223,0
19,10551,21,31243.03120663176,1,High,35758.76508997063,0
20,10442,46,114704.15038777218,4,High,49099.420319244025,0
21,10456,60,117545.831162598,0,Low,39515.81972475474,1
22,10076,56,50633.088219786434,1,Low,5191.7659520594525,0
23,10060,44,140606.55133199145,7,High,42837.60511358248,0
24,10098,33,129838.39223982353,10,High,45822.44396864544,0
25,10932,34,98910.19823519394,2,Low,10634.304276333527,0
26,10326,37,87117.16483569241,6,High,27160.989997112312,0
27,10061,59,71205.54935024321,6,Medium,5171.5847486610055,0
28,10871,56,33569.79085100531,9,Low,20355.929390545454,0
29,10581,41,58664.677511829614,9,Low,35627.56476938424,0
30,10184,48,81723.25012396414,4,Medium,27385.484943995838,0
31,10486,22,88720.41023517435,3,High,7201.549016264257,0
32,10781,24,126310.95011705154,8,Low,7294.6410302768845,0
33,10814,39,122210.68716081993,2,High,45745.03396340182,0
34,10809,35,108743.47806132426,6,Low,7738.554698869136,0
35,10913,55,79468.3694478478,1,Low,40833.98387395674,0
36,10815,30,92685.3774386441,8,Low,25715.17610989282,0
37,10080,26,76775.21750671728,5,High,27810.344156627416,0
38,10719,31,87392.01053487242,5,High,48053.703146313055,0
39,10393,50,126012.36361758804,3,Medium,39884.86311209709,0
40,10931,49,106407.34351120594,4,High,1094.8774664508474,0
41,10733,24,87895.42413873019,5,Low,10591.50255511715,0
42,11000,23,42345.91177430863,5,Medium,43445.743902389026,0
43,10175,41,126420.39034399678,3,Low,35377.697836989326,0
44,10288,44,104772.35355968557,5,Medium,48678.96848890841,0
45,10272,37,78686.71504071595,4,Low,1897.8286713798066,0
46,10560,40,35839.86082752393,6,High,48723.9255633185,0
47,10218,52,77099.59626573298,0,High,36672.753569783294,1
48,10916,51,89323.14673045672,0,High,29308.863773360816,1
49,10372,59,115860.69780310208,10,High,38950.17243433522,0
50,10841,39,51342.320316537385,4,Medium,30198.67867780887,0
51,10729,35,53934.093904662004,6,Medium,25802.86569931923,0
52,10022,43,35117.744646296305,6,Medium,27958.543922810444,0
