,Monthly Usage,Number of Calls,Number of Text Messages,Data Usage,Bill Amount,Plan Type,Customer Tenure,Monthly Charges,Customer Satisfaction,label
0,1,1,1,1,66,Basic,1,3,1,1
1,2,2,2,2,71,Standard,2,3,3,0
2,3,3,3,3,12,Premium,3,1,4,0
3,4,4,4,4,36,Basic,4,0,1,0
4,5,5,5,5,84,Standard,5,0,2,0
5,6,6,6,6,97,Premium,6,3,1,0
6,7,7,7,7,86,Basic,7,3,1,1
7,8,8,8,8,51,Standard,8,3,2,0
8,9,9,9,9,35,Premium,9,1,4,0
9,10,10,10,10,62,Basic,10,1,3,0
10,11,11,11,11,17,Standard,11,4,1,0
11,12,12,12,12,16,Premium,12,4,1,0
12,13,13,13,13,25,Basic,13,4,1,1
13,14,14,14,14,46,Standard,14,4,3,0
14,15,15,15,15,67,Premium,15,0,4,0
15,16,16,16,16,54,Basic,16,0,3,0
16,17,17,17,17,68,Standard,17,4,3,0
17,18,18,18,18,30,Premium,18,0,1,0
18,19,19,19,19,23,Basic,19,1,1,0
19,20,20,20,20,84,Standard,20,2,2,0
20,21,21,21,21,40,Premium,21,2,3,0
21,22,22,22,22,60,Basic,22,1,3,0
22,23,23,23,23,13,Standard,23,1,3,0
23,24,24,24,24,64,Premium,24,4,4,0
24,25,25,25,25,77,Basic,25,4,4,1
25,26,26,26,26,33,Standard,26,3,1,0
26,27,27,27,27,36,Premium,27,4,1,0
27,28,28,28,28,30,Basic,28,4,1,1
28,29,29,29,29,89,Standard,29,1,4,0
29,30,30,30,30,12,Premium,30,1,3,0
30,31,31,31,31,46,Basic,31,0,4,0
31,32,32,32,32,12,Standard,32,1,1,0
32,33,33,33,33,35,Premium,33,4,1,0
33,34,34,34,34,90,Basic,34,1,3,0
34,35,35,35,35,93,Standard,35,0,2,0
35,36,36,36,36,66,Premium,36,3,1,0
36,37,37,37,37,83,Basic,37,3,2,1
37,38,38,38,38,31,Standard,38,1,4,0
38,39,39,39,39,53,Premium,39,3,1,0
39,40,40,40,40,75,Basic,40,4,1,1
40,41,41,41,41,72,Standard,41,0,4,0
41,42,42,42,42,24,Premium,42,0,4,0
42,43,43,43,43,22,Basic,43,3,1,1
43,44,44,44,44,85,Standard,44,2,1,0
44,45,45,45,45,68,Premium,45,2,4,0
45,46,46,46,46,37,Basic,46,3,4,1
46,47,47,47,47,87,Standard,47,2,2,0
47,48,48,48,48,20,Premium,48,3,2,0
48,49,49,49,49,48,Basic,49,3,1,1
49,50,50,50,50,22,Standard,50,1,4,0
50,51,51,51,51,44,Premium,51,1,4,0
51,52,52,52,52,36,Basic,52,1,3,0
52,53,53,53,53,92,Standard,53,0,4,0
53,54,54,54,54,46,Premium,54,3,2,0
54,55,55,55,55,34,Basic,55,0,4,0
55,56,56,56,56,93,Standard,56,2,2,0
56,57,57,57,57,95,Premium,57,2,3,0
57,58,58,58,58,26,Basic,58,3,2,1
58,59,59,59,59,55,Standard,59,2,4,0
59,60,60,60,60,64,Premium,60,1,2,0
60,61,61,61,61,79,Basic,61,1,3,0
61,62,62,62,62,89,Standard,62,2,2,0
62,63,63,63,63,47,Premium,63,1,1,0
63,64,64,64,64,57,Basic,64,2,1,0
64,65,65,65,65,90,Standard,65,1,4,0
65,66,66,66,66,17,Premium,66,2,2,0
66,67,67,67,67,50,Basic,67,0,2,0
67,68,68,68,68,94,Standard,68,3,1,0
68,69,69,69,69,34,Premium,69,2,3,0
69,70,70,70,70,74,Basic,70,4,1,1
70,71,71,71,71,68,Standard,71,4,2,0
71,72,72,72,72,81,Premium,72,0,4,0
72,73,73,73,73,10,Basic,73,3,4,1
73,74,74,74,74,65,Standard,74,3,2,0
74,75,75,75,75,80,Premium,75,2,4,0
75,76,76,76,76,31,Basic,76,3,3,1
76,77,77,77,77,15,Standard,77,1,3,0
77,78,78,78,78,90,Premium,78,4,4,0
78,79,79,79,79,74,Basic,79,0,1,0
79,80,80,80,80,55,Standard,80,1,4,0
80,81,81,81,81,19,Premium,81,0,2,0
81,82,82,82,82,35,Basic,82,2,2,0
82,83,83,83,83,44,Standard,83,4,4,0
83,84,84,84,84,35,Premium,84,1,3,0
84,85,85,85,85,58,Basic,85,1,4,0
85,86,86,86,86,64,Standard,86,1,3,0
86,87,87,87,87,25,Premium,87,4,3,0
87,88,88,88,88,99,Basic,88,1,1,0
88,89,89,89,89,33,Standard,89,2,2,0
89,90,90,90,90,63,Premium,90,3,2,0
90,91,91,91,91,74,Basic,91,1,4,0
91,92,92,92,92,66,Standard,92,2,2,0
92,93,93,93,93,99,Premium,93,0,3,0
93,94,94,94,94,29,Basic,94,4,1,1
94,95,95,95,95,18,Standard,95,3,2,0
95,96,96,96,96,19,Premium,96,0,4,0
96,97,97,97,97,30,Basic,97,3,3,1
97,98,98,98,98,49,Standard,98,0,1,0
98,99,99,99,99,46,Premium,99,3,4,0
99,100,100,100,100,34,Basic,100,3,3,1
100,101,101,101,101,44,Standard,101,3,4,0
101,102,102,102,102,86,Premium,102,3,1,0
102,103,103,103,103,59,Basic,103,4,1,1
103,104,104,104,104,18,Standard,104,0,2,0
104,105,105,105,105,59,Premium,105,4,3,0
105,106,106,106,106,40,Basic,106,1,1,0
106,107,107,107,107,73,Standard,107,1,2,0
