,CustomerID,Age,MonthlySpend,Tenure (Months),LastPurchaseDaysAgo,CustomerServiceCalls,SubscriptionType,EngagementScore,label
0,1,65,85.45,15,17,4,Basic,51,0
1,2,45,24.58,6,9,5,Premium,86,1
2,3,37,71.98,22,21,1,Standard,81,0
3,4,55,66.83,27,2,5,Premium,42,0
4,5,61,30.77,27,22,4,Basic,67,0
5,6,37,31.58,11,20,1,Premium,39,0
6,7,35,63.61,26,0,5,Basic,84,0
7,8,28,18.73,8,28,0,Standard,2,1
8,9,59,35.73,22,0,2,Premium,31,0
9,10,32,69.95,10,3,5,Standard,79,0
10,11,66,16.38,29,2,5,Standard,9,1
11,12,45,97.91,14,3,4,Standard,82,0
12,13,36,76.15,13,15,5,Basic,100,0
13,14,23,63.89,16,17,4,Basic,87,0
14,15,63,58.82,10,24,5,Basic,81,0
15,16,22,67.14,7,28,1,Premium,83,0
16,17,58,81.09,22,22,2,Basic,67,0
17,18,52,21.39,23,6,0,Basic,9,1
18,19,23,56.1,13,16,4,Standard,67,0
19,20,27,15.7,27,8,4,Premium,70,1
20,21,51,75.54,36,17,0,Standard,80,0
21,22,38,62.78,25,25,3,Standard,87,0
22,23,58,69.04,9,2,0,Premium,94,0
23,24,41,94.93,2,2,2,Premium,100,0
24,25,61,50.41,24,8,0,Basic,90,0
25,26,70,38.76,31,11,0,Standard,25,1
26,27,33,44.22,7,8,0,Basic,99,0
27,28,25,91.56,11,16,1,Basic,44,0
28,29,63,61.86,6,24,1,Standard,97,0
29,30,56,98.29,22,7,3,Premium,48,0
30,31,66,95.95,5,25,0,Standard,96,1
31,32,42,63.83,2,23,0,Standard,68,1
32,33,41,42.74,13,20,0,Premium,97,0
33,34,23,91.24,4,11,2,Premium,14,1
34,35,30,50.2,21,6,2,Standard,88,0
35,36,38,74.5,15,16,2,Basic,7,1
36,37,30,52.51,12,17,1,Standard,45,0
37,38,46,18.1,9,25,1,Standard,100,0
38,39,53,91.65,14,23,2,Basic,1,1
39,40,39,16.72,35,2,2,Premium,99,0
40,41,23,55.64,36,28,3,Basic,80,0
41,42,56,66.52,7,4,2,Standard,98,0
42,43,70,96.07,9,1,5,Basic,6,1
43,44,35,25.28,15,16,2,Basic,72,0
44,45,70,36.35,33,21,5,Standard,30,0
45,46,19,51.89,18,23,4,Basic,9,1
46,47,69,87.08,34,17,1,Standard,9,1
47,48,30,11.01,18,14,4,Basic,14,1
48,49,26,79.39,29,26,0,Premium,70,0
49,50,21,60.99,19,4,0,Basic,10,1
50,51,54,88.92,21,9,3,Standard,11,1
51,52,31,23.26,6,12,1,Basic,54,0
52,53,41,86.73,26,13,5,Standard,98,0
53,54,25,81.94,31,12,0,Standard,69,0
54,55,57,80.21,34,14,3,Basic,24,1
55,56,48,95.46,35,2,4,Premium,86,0
56,57,54,52.56,32,0,1,Basic,26,1
57,58,64,44.35,14,19,2,Basic,64,0
58,59,26,67.01,16,16,3,Premium,58,0
59,60,28,19.49,5,24,5,Standard,35,1
60,61,23,70.91,26,1,2,Premium,2,1
61,62,57,40.51,31,16,2,Premium,51,0
62,63,20,47.93,16,2,0,Standard,65,0
