,customer_id,age,months_as_customer,total_charges,monthly_charges,contract_type,internet_service_type,payment_method,monthly_usage_minutes,num_support_tickets,last_login_days_ago,has_promo,is_active,label
0,1000,82,81,1316.34,68.67,Two year,Fiber optic,Mailed check,890,18,90,0,0,1
1,1001,29,33,3631.89,93.35,Month-to-month,DSL,Electronic check,63,17,360,0,0,1
2,1002,36,96,4637.74,111.47,Two year,No,Credit card,872,5,214,1,1,1
3,1003,48,59,6249.17,58.03,One year,Fiber optic,Mailed check,198,7,259,0,0,1
4,1004,44,72,9318.65,103.16,One year,No,Electronic check,694,0,359,1,1,1
5,1005,84,45,1230.93,52.46,Month-to-month,Fiber optic,Credit card,104,1,45,1,0,1
6,1006,81,45,6020.62,57.2,Two year,No,Electronic check,83,7,148,0,1,1
7,1007,38,3,3995.77,89.4,One year,DSL,Credit card,10,9,243,0,1,1
8,1008,35,40,6152.96,37.09,One year,DSL,Mailed check,432,0,135,1,0,1
9,1009,32,22,7839.44,32.19,Two year,DSL,Bank transfer,350,0,347,0,0,1
10,1010,22,35,4519.03,63.57,Two year,DSL,Mailed check,216,9,4,0,0,1
11,1011,45,70,1668.82,27.9,Month-to-month,No,Electronic check,993,16,122,1,0,1
12,1012,31,118,6833.96,79.77,Month-to-month,DSL,Mailed check,2,16,309,0,1,1
13,1013,36,113,9581.57,114.28,One year,Fiber optic,Mailed check,251,2,350,0,0,1
14,1014,28,68,6294.38,54.7,Two year,Fiber optic,Mailed check,598,19,355,0,1,1
15,1015,74,72,6506.82,88.77,Two year,No,Credit card,835,18,1,0,1,1
16,1016,18,21,7081.07,84.03,One year,No,Mailed check,296,10,160,1,1,1
17,1017,62,86,1855.64,85.1,One year,Fiber optic,Mailed check,616,15,104,1,1,1
18,1018,61,70,6701.53,61.3,Month-to-month,No,Electronic check,820,15,82,1,0,1
19,1019,18,90,8283.54,47.88,Month-to-month,Fiber optic,Credit card,386,7,67,0,1,1
20,1020,85,120,8758.11,25.18,One year,Fiber optic,Electronic check,223,1,337,0,0,1
21,1021,61,102,3113.28,112.16,One year,Fiber optic,Electronic check,591,13,167,0,0,1
