,Years of Service,Total Number of Bills Introduced,Number of Bills Passed,Number of Bills Voted Against,Number of Amendments Introduced,Number of Amendments Voted Against,Number of Committee Assignments,Number of Subcommittees Assigned,Number of Bills Voted For,label
0,2.7625549565858916,79.53412251242928,4,25,27.79872205402019,7,3.6584405700453937,2,7,1
1,5.7995956718502715,10.929464596766636,21,13,28.63169565574566,16,3.0626457193542915,4,16,1
2,8.666464603851747,70.10963301278694,6,1,0.752000509707037,11,2.489902796005973,3,13,1
3,6.016768466364751,36.262298064425295,15,22,3.6508129027181235,5,0.8703412881791922,3,23,1
4,14.0727804405645,72.80695786110839,18,2,4.21309010043681,25,4.317817534353682,0,25,1
5,1.6667505771956206,65.29919700699479,0,19,15.383204979879025,10,4.199843737996129,4,12,1
6,8.4173626163641,75.78619693778607,3,12,7.5057006786891485,4,0.7279034201900103,4,29,1
7,11.485414660531976,28.799696027172107,13,27,6.953159973710578,5,0.9266527114613443,3,13,1
8,13.52770409747664,56.703603445082116,17,5,8.068570888462064,22,4.648365139040896,3,2,1
9,8.859545630834518,34.1732315752472,7,26,14.159679556786879,5,0.735078234572813,3,2,1
10,2.1443305547052605,94.86633357735936,11,9,9.504234751211975,25,0.6549615962213357,4,24,1
11,13.060296851725138,94.12080375494874,18,10,16.346509025650356,13,4.618952949929342,1,25,1
12,5.13842755433358,27.875947825468995,19,4,23.41236745197252,27,1.0224866731845457,4,18,1
13,3.4486510761576863,97.2119823133273,8,22,2.657587303830425,4,2.2432496844254333,4,25,1
14,13.584491294535763,73.12874435327835,29,28,16.900924629557334,0,3.451903004679833,4,7,0
15,8.268747720386159,57.00531766643599,14,20,27.28274573180131,2,0.04121116996659069,4,0,1
16,5.622341773739341,12.683412417920037,19,27,8.375805036178267,29,1.9426132428238612,3,23,1
17,6.549036877272961,55.34274635201542,1,7,17.279369065254272,15,2.2334614945181737,1,20,1
18,12.371098072378457,91.3332671539033,7,0,0.4798778754641897,8,0.6097844726525337,0,14,0
19,1.3369705852372256,92.15451822804872,16,7,17.606970818948433,5,4.621616022564978,4,10,1
20,12.533644447114485,72.35853710911813,12,19,7.969578234088463,21,0.3326103555256793,4,6,1
21,10.991117473964664,69.33896687075156,6,3,2.368007002130128,4,4.463810983075453,0,8,0
22,2.679055705301966,15.115224290447692,19,25,8.210347017156664,9,4.674268608957012,1,1,1
23,10.381990183527131,72.47426280618629,8,24,25.64985947127313,5,2.800539693863155,1,26,0
24,6.908882515189012,73.99387248953514,18,0,13.902600975904775,1,1.8111374994713358,1,16,1
25,3.293670880645621,96.30705042591698,14,28,14.316404441674429,14,0.03838083311347773,4,3,1
26,11.001807689619088,19.63164722140317,1,6,20.192560930949146,24,3.182226992018762,0,3,1
27,8.715722653053046,23.46153692420495,17,11,11.134518645738199,10,3.5654261142916175,2,29,1
28,14.25240731274333,45.185835065867316,9,26,1.5520076430827723,13,1.734973998644032,3,26,1
29,11.995379850202728,86.99289892435655,8,8,28.967396814857803,7,2.8236971875174715,4,10,0
30,10.536390573701366,66.8997444952895,29,6,2.4214748769700734,1,3.1727017507362603,4,2,0
31,8.34232941133297,89.54899389837128,19,16,27.463977712028072,21,3.258434495384133,3,15,1
32,12.19983570266984,54.25634575709043,16,21,23.954052892865448,29,3.3058850130136994,0,12,1
33,3.709477844538878,20.512510416823282,10,10,4.880259610737657,20,4.317470934143187,0,18,1
34,12.514652418951721,6.726571516414959,26,9,22.498113677745167,8,1.7632430306774176,0,1,1
35,1.2377016849224667,23.496641363987347,19,15,15.842892748617924,20,1.1914339221920822,1,0,1
36,2.9826055477484568,47.20018225351576,27,8,25.893280447180917,21,0.1342488295275024,3,14,1
37,13.404566189167879,33.15119038300697,29,7,29.661968914572018,24,1.119501926117536,3,3,1
38,9.114409992568298,47.04076776044346,3,21,19.69038224502069,25,0.8657875479956972,3,16,1
39,8.878301038108766,93.47775003239303,0,7,3.8796600223052327,20,0.18546463598540675,3,20,1
40,7.060927105374397,3.2276108651878355,24,9,24.764295929087012,11,0.2360713016575844,1,7,1
41,14.036049344708402,41.65959458310312,25,3,11.120577957018648,2,0.04178981380049074,2,25,1
42,6.301177639284415,96.11540717226778,22,26,21.690229179974082,17,2.7632650773389504,3,29,1
43,10.745438051678311,97.92318816980287,19,1,22.328149026960556,4,2.932894538819364,2,28,0
44,7.020380465787808,88.50030947718508,3,13,13.8653516118666,3,3.1745653725020624,4,19,1
45,7.210113941755351,94.64242130465483,13,27,6.830716055203778,8,1.5949016881073341,3,10,1
46,3.32735450533596,52.42474668993857,11,6,29.319041240124818,18,3.2555107612865353,3,24,1
