,Party affiliation,Campaign contributions,Average contribution,Ideological score,Voting record,Committee memberships,Bill sponsorship,Media coverage,label
0,1,1,117,4,RDRDDRRDRRDRR,9,17,24,1
1,0,44,331,4,RRDDRDRRRDDDD,2,10,60,1
2,0,22,269,3,DDRDDRDRD,9,12,13,1
3,0,70,212,1,RDRDDDRDRRDR,4,17,28,1
4,0,327,87,3,RRRDRRDDRR,7,6,44,1
5,1,214,294,1,DRRRRDDDRDDD,0,8,42,1
6,1,98,269,1,RRDDDRR,7,1,28,1
7,1,443,474,1,DDRRDRDRRR,3,11,21,1
8,1,680,157,3,RRRRRRDD,5,3,40,1
9,1,39,164,3,RRDDDRRRRDDR,5,12,70,1
10,0,74,441,2,RRDDD,0,13,18,1
11,0,543,224,4,RDRDDD,1,12,42,1
12,0,407,203,3,RRRDDRDRD,2,4,41,1
13,0,276,360,4,RRRRRDRDDRRDDR,7,17,13,1
14,0,624,141,1,DRDDDD,6,9,52,0
15,1,386,23,4,DRRDDRD,0,9,42,1
16,0,793,408,3,DRRDRRRRD,4,17,83,1
17,1,162,153,2,RRDRR,5,12,76,1
18,1,801,381,3,RRDDRRDDDRDD,0,7,49,1
19,0,652,361,1,RRDDRRRRRD,3,9,74,1
20,0,319,473,3,RRDDDRRR,8,10,93,1
21,1,904,313,3,DRDRR,7,14,13,1
22,1,68,475,1,RDRRDDDRD,1,5,90,1
23,1,944,246,1,RDRDRDDRDDDR,6,12,3,1
24,1,169,125,3,DDRDRDRRDDRDRD,4,1,49,0
25,1,532,409,2,RRDDRDDRR,2,1,29,1
26,0,438,261,3,RDRDDD,3,1,6,1
27,0,858,374,4,DRDRDDRRR,5,5,1,1
28,0,359,450,3,DRDRD,0,19,68,1
29,1,692,367,1,DDRDD,1,10,2,1
30,1,498,254,1,DDRRRRDD,2,10,13,1
31,1,657,495,2,DRRRDRD,2,14,54,1
32,1,486,188,1,DRDDD,6,11,92,0
33,1,927,334,3,DDDDDDDR,7,2,75,1
34,0,9,311,2,RRDDDRDR,7,2,28,1
