,Representative_ID,Age,Years_in_Office,Total_Votes,Party_Affiliation,District_Income_Level,Urbanization_Score,Education_Level,Party_Leader,label
0,1,69,27,83,0,77,26,32,1,0
1,2,52,34,81,1,81,50,99,0,1
2,3,33,6,166,0,85,74,77,0,1
3,4,70,19,88,1,92,15,96,1,1
4,5,52,31,145,0,65,86,44,0,0
5,6,38,37,220,1,100,59,44,0,1
6,7,53,39,220,1,79,75,87,0,1
7,8,50,31,255,0,98,39,14,0,1
8,9,70,25,180,0,42,66,94,0,1
9,10,45,38,223,0,93,1,16,1,1
10,11,54,19,209,0,61,47,11,0,0
11,12,55,17,92,0,65,51,21,0,0
12,13,38,14,277,1,58,23,22,0,0
13,14,44,21,130,0,83,92,89,1,1
14,15,68,21,289,1,83,97,77,1,1
15,16,62,20,52,1,86,83,11,0,1
16,17,30,1,298,1,99,81,67,0,1
17,18,34,39,123,0,78,77,50,1,0
18,19,38,17,166,0,98,81,12,1,0
19,20,35,22,112,0,75,1,56,0,0
20,21,57,12,160,0,60,64,54,1,0
21,22,55,40,89,0,80,19,81,0,1
22,23,57,8,67,0,93,33,27,0,0
23,24,69,6,116,1,87,40,43,0,0
24,25,44,40,152,0,65,40,18,1,1
25,26,35,0,239,1,52,74,45,0,1
26,27,56,1,187,1,75,90,2,0,1
27,28,67,3,229,0,63,22,82,1,0
28,29,33,13,250,0,80,37,19,0,0
29,30,40,31,95,0,65,43,24,0,0
30,31,50,35,104,0,60,66,74,0,0
31,32,59,1,223,0,57,61,55,1,0
32,33,47,39,124,0,54,11,80,1,0
33,34,64,13,237,1,54,29,60,0,0
34,35,32,19,146,1,45,94,54,1,1
35,36,41,24,277,1,82,86,34,0,1
36,37,56,7,75,1,70,64,77,0,1
37,38,59,27,204,1,67,40,58,1,1
38,39,50,20,215,1,47,19,38,1,0
39,40,67,22,71,0,68,5,56,0,0
40,41,50,31,75,0,60,74,82,1,0
41,42,67,7,263,0,56,98,66,1,0
42,43,69,30,246,1,95,3,33,1,1
43,44,44,36,212,1,96,92,40,0,1
44,45,47,15,243,1,88,9,21,0,0
45,46,58,39,276,0,63,50,26,1,1
46,47,67,26,122,0,97,92,20,0,0
47,48,50,39,164,0,99,37,40,0,1
48,49,46,40,100,1,89,0,30,1,0
49,50,70,17,162,1,75,7,26,0,0
50,51,47,34,195,1,100,80,36,1,1
51,52,66,14,220,0,70,82,65,0,0
52,53,67,26,61,1,86,62,53,0,1
53,54,41,16,52,0,73,32,8,1,0
54,55,40,39,259,0,41,14,82,0,1
55,56,49,1,169,0,81,30,41,1,0
56,57,38,30,279,0,42,20,35,0,1
57,58,30,36,184,0,69,2,9,0,1
58,59,32,40,274,0,47,65,58,0,1
59,60,50,40,183,0,91,34,39,1,1
60,61,52,33,131,1,46,40,53,0,0
61,62,38,33,94,0,51,58,38,0,0
62,63,48,2,176,1,97,15,6,1,0
63,64,48,16,135,0,58,55,3,1,0
64,65,52,13,164,0,65,44,14,0,0
65,66,56,13,216,0,67,58,75,1,0
66,67,56,37,228,1,54,49,47,1,1
67,68,68,34,58,0,53,84,5,1,0
68,69,65,0,276,0,87,11,72,1,1
69,70,41,28,200,1,100,91,34,0,1
70,71,56,3,61,1,98,11,71,1,1
71,72,63,32,165,1,53,32,70,0,1
72,73,62,16,137,1,42,83,67,0,1
73,74,57,27,111,0,89,48,57,0,0
74,75,60,25,291,0,68,20,76,1,1
75,76,61,7,153,1,99,59,18,1,1
76,77,49,33,122,0,93,51,61,0,1
77,78,69,17,126,1,45,53,70,0,1
78,79,64,30,89,1,88,38,9,1,0
79,80,60,26,231,1,62,48,24,1,1
80,81,60,15,283,0,67,63,43,0,0
81,82,67,9,258,1,53,99,98,1,1
82,83,51,39,184,0,53,85,57,1,1
83,84,70,11,66,0,59,25,24,0,0
84,85,38,21,168,0,52,70,92,1,1
85,86,38,15,175,1,66,6,75,1,0
86,87,44,11,227,0,99,71,39,0,0
87,88,42,10,73,1,74,61,75,1,1
88,89,51,19,51,0,84,89,69,0,1
89,90,45,0,276,0,100,87,9,1,0
90,91,61,26,141,0,95,23,65,0,1
91,92,31,2,260,1,41,39,24,1,0
92,93,55,11,210,1,80,75,70,0,1
93,94,43,29,198,1,84,46,86,1,1
94,95,67,8,166,1,79,7,10,1,0
95,96,63,36,251,0,87,53,35,1,1
96,97,37,0,102,0,63,8,48,0,0
97,98,65,3,95,1,68,2,47,1,0
98,99,50,14,94,1,42,53,86,0,1
99,100,57,26,58,1,84,20,6,1,0
100,101,35,7,279,1,43,94,90,1,1
101,102,49,22,55,0,89,47,76,1,1
102,103,60,14,100,1,41,46,50,1,0
103,104,62,26,294,1,59,87,16,1,1
104,105,36,30,283,0,93,67,31,1,1
105,106,37,38,168,1,92,83,25,0,1
106,107,38,7,84,0,54,62,21,0,0
107,108,31,29,131,1,88,15,12,1,0
108,109,46,17,230,0,71,73,11,1,0
109,110,66,3,196,1,100,89,70,1,1
110,111,46,21,246,1,81,92,0,1,1
111,112,67,2,74,1,40,4,32,1,0
112,113,64,14,188,1,77,10,13,0,0
113,114,68,34,251,1,74,28,63,1,1
114,115,59,37,66,0,90,78,42,1,0
115,116,35,32,85,1,46,69,57,0,1
116,117,33,13,267,0,84,47,40,0,0
117,118,66,0,272,0,52,14,80,0,0
118,119,64,25,145,0,88,83,67,1,1
119,120,38,7,70,0,40,33,38,1,0
120,121,35,15,67,1,53,59,0,1,1
121,122,42,37,237,1,68,61,40,1,1
122,123,51,9,195,1,97,1,44,1,0
123,124,57,36,50,1,42,79,87,0,1
124,125,59,25,191,0,85,18,97,1,1
125,126,65,27,185,0,63,97,97,1,1
126,127,31,11,243,0,40,48,87,1,0
127,128,65,19,100,1,87,77,78,0,1
128,129,37,13,128,1,49,87,80,1,1
129,130,38,34,237,1,52,27,12,1,1
130,131,30,28,211,1,75,47,70,1,1
131,132,42,11,85,0,48,95,8,1,0
132,133,44,17,111,1,53,36,62,0,0
133,134,61,1,178,1,75,73,98,0,1
134,135,63,1,292,0,49,48,22,0,0
135,136,60,16,134,0,79,47,53,1,0
136,137,43,9,91,1,62,72,46,0,1
137,138,43,17,50,1,74,87,38,0,1
138,139,58,21,273,0,94,99,86,1,1
139,140,48,18,261,1,46,28,25,1,0
140,141,56,0,103,0,81,59,0,0,0
141,142,38,23,224,0,74,28,13,0,1
142,143,66,35,149,1,41,57,95,0,1
143,144,66,24,88,0,54,47,73,0,0
144,145,57,35,207,1,48,22,64,1,1
145,146,53,30,56,1,86,26,68,1,1
146,147,57,30,199,1,56,94,66,0,1
147,148,65,1,170,1,78,6,48,0,0
148,149,47,18,227,0,91,48,49,0,0
149,150,54,11,94,1,57,53,57,1,1
150,151,64,9,123,1,54,67,52,1,1
151,152,33,30,169,0,57,77,90,1,1
152,153,43,21,121,1,63,41,56,0,0
153,154,68,22,268,1,62,73,85,1,1
154,155,55,22,187,1,51,58,17,0,1
155,156,37,14,191,1,62,43,15,0,0
156,157,53,25,95,0,60,97,1,1,0
157,158,45,2,172,0,65,25,12,0,0
158,159,49,22,293,1,47,22,44,1,1
159,160,44,19,167,0,69,72,79,1,0
160,161,36,39,124,0,73,100,71,0,0
161,162,46,38,55,0,41,7,42,0,0
162,163,51,7,70,0,44,52,71,1,0
163,164,51,17,239,1,70,13,53,1,0
164,165,41,40,274,0,72,70,73,1,1
165,166,47,5,196,1,93,6,96,1,1
166,167,44,26,152,1,43,8,30,1,1
167,168,66,35,137,0,45,2,75,1,0
168,169,45,14,259,1,62,77,8,1,1
169,170,34,36,148,0,84,16,100,0,1
170,171,31,4,293,1,58,43,72,1,0
171,172,57,38,111,1,82,85,47,0,1
172,173,70,8,156,0,84,45,17,0,0
173,174,56,6,278,1,47,89,93,1,1
174,175,60,40,132,0,78,57,95,1,0
175,176,70,19,230,1,52,27,86,1,0
176,177,65,9,201,1,40,13,10,1,0
177,178,30,25,105,0,45,8,61,1,0
