,age,years_in_congress,state,party_affiliation,voted_on_budget,voted_on_healthcare_reform,voted_on_tax_cuts,voted_on_immigration_reform,voted_on_climate_change_bill,voted_on_abortion_rights,voted_on_gun_control,voted_on_welfare_reform,education_level,income_level,number_of_bills_sponsored,number_of_amendments_supported,gender,race,religion,label
0,76,11,NY,Democrat,0,0,0,0,1,1,1,0,1,1,8,3,Male,Other,Other,0
2,35,19,AZ,Democrat,0,0,1,1,1,0,0,1,3,2,14,0,Female,Black,Other,1
3,67,23,TX,Democrat,0,0,1,1,0,1,1,1,4,1,3,27,Male,Black,Christian,0
4,74,15,CA,Republican,1,1,1,1,0,1,1,1,2,1,3,9,Male,Other,Christian,0
7,69,18,NC,Democrat,0,1,0,0,1,0,1,1,4,3,0,16,Male,Black,Jewish,1
8,44,29,IL,Democrat,1,1,0,1,0,1,0,0,2,1,5,5,Male,White,Christian,1
9,56,26,FL,Democrat,0,1,1,0,1,0,1,0,4,3,10,27,Female,White,Other,1
10,72,26,MI,Democrat,1,0,0,1,1,1,0,0,4,2,15,0,Male,Black,Jewish,1
11,51,23,FL,Democrat,1,1,0,1,0,0,0,1,3,3,4,10,Male,Other,Christian,1
12,73,17,IL,Republican,0,1,1,0,0,0,1,1,4,2,9,12,Male,Black,Jewish,1
13,42,5,AZ,Democrat,1,1,0,1,1,1,0,1,1,2,15,12,Female,Black,Jewish,1
14,50,27,AZ,Republican,0,0,1,0,1,1,1,0,4,2,10,8,Male,Other,Christian,1
15,59,16,FL,Democrat,1,0,0,0,0,0,0,0,4,1,17,2,Male,Black,Christian,1
16,52,7,CA,Republican,0,0,1,0,1,0,1,1,1,2,13,27,Male,Other,Jewish,0
17,25,21,IL,Democrat,0,0,0,0,0,1,0,1,4,1,12,1,Male,Black,Christian,1
18,58,5,AZ,Republican,1,0,1,0,0,0,0,1,2,2,0,22,Male,Other,Christian,0
19,79,22,FL,Democrat,1,0,1,0,0,0,1,1,3,1,2,0,Female,Other,Christian,0
20,50,26,AZ,Democrat,0,0,1,1,1,1,0,1,1,2,14,6,Male,White,Other,1
21,30,26,NC,Democrat,0,0,0,1,1,1,1,0,1,2,11,24,Male,Black,Christian,1
22,74,11,NY,Republican,0,0,0,0,1,1,0,1,2,1,4,19,Male,White,Christian,0
23,73,16,NY,Democrat,1,0,1,1,0,0,1,0,1,3,15,9,Female,Black,Jewish,1
24,70,27,IL,Democrat,1,1,0,1,1,0,0,1,2,2,13,1,Female,White,Jewish,1
25,49,22,TX,Democrat,1,1,0,0,0,0,1,1,1,2,9,3,Female,White,Christian,1
26,41,26,FL,Democrat,0,0,1,0,1,1,0,0,4,3,4,24,Male,White,Jewish,1
28,45,2,FL,Democrat,0,0,1,0,0,1,0,1,3,1,15,7,Female,White,Christian,0
29,56,12,FL,Democrat,1,1,1,0,1,1,1,0,1,1,14,11,Female,Black,Jewish,1
31,56,10,TX,Republican,0,1,1,0,0,0,0,0,3,2,6,23,Female,White,Christian,1
32,65,27,NY,Democrat,0,1,0,0,0,0,1,0,1,1,17,22,Male,Black,Jewish,1
33,78,26,FL,Republican,0,0,1,0,1,1,0,1,2,3,18,19,Male,Other,Jewish,1
34,43,13,NC,Republican,1,1,1,0,0,1,1,1,2,2,18,2,Male,Black,Jewish,1
35,26,12,TX,Republican,1,0,1,1,1,1,1,0,3,1,16,0,Male,Other,Christian,1
36,59,25,WA,Democrat,1,0,0,0,0,1,1,0,4,3,13,13,Male,Black,Christian,1
37,40,19,NY,Republican,1,1,0,1,0,0,1,1,1,2,8,29,Male,White,Jewish,1
38,40,17,CA,Democrat,1,1,1,0,0,0,0,0,3,2,15,18,Female,Other,Jewish,1
39,57,27,AZ,Democrat,0,1,1,1,0,0,1,0,3,3,9,23,Female,White,Jewish,1
40,75,16,WA,Republican,0,1,0,1,1,1,1,0,1,2,8,24,Female,Other,Christian,1
41,74,17,MI,Republican,0,0,1,1,0,1,1,0,4,2,11,15,Male,White,Jewish,1
42,48,25,FL,Republican,1,1,1,0,0,0,1,1,1,1,8,8,Female,Other,Jewish,0
43,55,6,AZ,Democrat,1,1,0,0,1,1,0,1,1,3,15,4,Female,White,Jewish,1
44,66,23,WA,Democrat,1,0,1,0,0,0,1,1,3,2,15,3,Male,Other,Other,1
46,41,11,FL,Republican,0,1,0,0,0,0,0,1,3,2,6,11,Female,White,Jewish,1
47,57,12,OH,Republican,1,0,0,0,1,1,1,0,4,1,19,13,Male,Black,Jewish,1
48,61,17,NC,Democrat,0,0,1,1,1,1,1,0,4,2,6,22,Male,Black,Other,1
49,60,2,WA,Republican,1,1,0,1,1,0,1,1,3,2,6,13,Female,White,Jewish,1
50,43,13,CA,Republican,0,1,1,0,1,0,1,0,4,2,18,5,Male,White,Jewish,1
52,63,19,CA,Republican,0,1,1,1,1,1,0,1,3,2,9,28,Female,Other,Other,1
53,64,24,NC,Democrat,1,1,1,0,0,1,1,1,3,3,5,1,Male,White,Other,1
54,43,4,TX,Republican,0,1,1,0,0,0,1,0,1,3,1,2,Male,White,Other,0
55,32,1,OH,Democrat,0,1,0,1,1,0,1,1,4,3,19,8,Female,White,Christian,1
56,50,2,IL,Democrat,0,1,0,1,1,0,0,1,4,1,17,6,Female,White,Christian,1
57,65,25,WA,Democrat,1,1,0,0,0,0,1,0,4,3,8,25,Female,Black,Other,1
58,75,18,FL,Republican,0,1,1,0,1,0,0,1,1,2,14,11,Male,Black,Christian,1
59,42,12,WA,Republican,0,1,0,1,1,1,0,0,3,2,13,17,Male,White,Christian,1
61,42,5,AZ,Democrat,1,1,0,0,1,1,0,1,3,1,1,12,Female,Black,Jewish,1
63,52,4,WA,Republican,1,0,1,1,0,1,0,0,3,1,3,0,Male,Other,Jewish,0
64,57,20,OH,Democrat,1,1,0,0,0,1,1,1,2,2,0,0,Female,White,Other,1
65,30,3,NC,Republican,1,1,0,1,1,0,1,0,1,1,10,29,Female,White,Christian,1
66,31,18,CA,Democrat,1,0,1,0,0,1,0,0,4,1,15,21,Male,White,Other,1
67,29,8,IL,Democrat,0,1,1,1,1,1,1,1,1,1,10,20,Male,White,Other,0
68,51,22,WA,Republican,1,0,0,1,1,0,1,1,4,2,12,6,Female,Black,Jewish,1
69,32,25,OH,Democrat,1,0,0,1,1,1,1,1,3,2,13,27,Male,Black,Jewish,1
70,62,2,FL,Democrat,1,1,1,1,1,1,0,1,1,3,0,20,Female,Other,Christian,0
73,61,24,OH,Democrat,0,1,0,0,1,1,0,0,3,2,10,14,Male,Other,Other,1
74,61,24,WA,Republican,1,1,0,1,0,1,1,0,1,1,2,24,Female,Other,Other,1
75,39,21,AZ,Republican,0,0,0,0,0,0,0,1,2,1,3,11,Male,Other,Christian,0
76,41,18,MI,Democrat,1,1,1,0,0,0,1,0,4,2,10,3,Male,Black,Christian,1
77,61,10,FL,Republican,0,1,1,1,0,0,1,0,3,2,6,9,Female,Other,Christian,1
78,75,21,NY,Republican,1,0,1,1,1,1,1,1,2,2,8,22,Male,Black,Other,0
80,53,4,CA,Democrat,1,1,0,1,0,0,0,0,1,2,1,18,Female,Other,Christian,1
81,27,18,NY,Republican,1,0,1,1,0,1,1,0,3,2,11,19,Female,White,Other,1
82,35,3,AZ,Democrat,0,1,1,0,1,0,0,0,1,1,3,4,Male,Black,Other,0
83,50,3,OH,Republican,0,1,0,1,0,0,1,1,3,2,12,27,Male,White,Other,1
84,64,25,OH,Democrat,0,0,1,1,1,1,1,0,2,3,1,1,Female,Black,Other,0
85,69,29,OH,Democrat,1,0,1,1,1,0,1,0,3,1,14,6,Female,Black,Other,1
86,30,12,CA,Republican,1,1,0,1,0,0,0,1,4,3,0,5,Male,Other,Other,1
87,59,19,AZ,Republican,1,1,1,1,0,1,1,0,2,2,17,15,Female,Other,Christian,1
88,48,17,AZ,Republican,0,1,1,0,0,0,0,1,4,2,1,14,Male,White,Christian,1
89,75,23,OH,Republican,1,0,0,1,0,0,1,1,1,1,3,8,Female,Black,Jewish,0
90,63,17,OH,Republican,0,1,0,0,1,1,1,0,4,2,18,6,Female,White,Christian,1
91,58,22,CA,Democrat,1,1,0,1,0,1,1,1,1,1,19,9,Male,Other,Jewish,1
92,78,26,MI,Republican,1,0,1,0,0,0,1,0,1,1,9,25,Male,Other,Other,0
93,48,4,IL,Democrat,1,1,1,1,1,1,1,0,4,2,12,29,Female,White,Other,1
94,43,7,NY,Republican,0,0,1,1,1,1,1,0,3,1,18,1,Male,White,Other,0
97,33,22,WA,Democrat,0,0,1,0,1,1,1,1,1,2,7,23,Male,White,Christian,0
99,75,8,WA,Democrat,1,0,0,1,0,1,1,1,4,3,8,2,Female,Other,Christian,1
100,56,19,CA,Republican,0,0,1,0,1,0,1,0,3,1,8,7,Male,White,Other,0
101,45,21,FL,Republican,0,0,0,0,0,0,1,1,4,1,12,4,Male,Other,Christian,1
102,56,26,TX,Democrat,1,1,0,0,0,1,1,1,4,2,0,26,Male,Other,Jewish,1
103,70,27,IL,Democrat,1,0,0,0,1,0,1,0,3,1,11,28,Male,Other,Jewish,1
104,36,9,AZ,Democrat,0,0,0,0,1,1,1,1,3,2,9,19,Male,Other,Other,1
105,53,24,TX,Democrat,0,1,1,0,1,0,0,1,2,1,18,11,Male,Black,Jewish,1
106,57,22,CA,Democrat,0,0,1,0,1,0,1,1,3,3,7,10,Male,Black,Christian,1
107,25,29,OH,Republican,1,1,0,1,0,1,0,1,1,2,10,3,Female,White,Jewish,1
108,73,9,WA,Democrat,1,0,1,1,1,1,0,0,1,3,10,3,Male,Black,Other,0
109,28,14,WA,Democrat,1,1,0,0,1,1,0,1,3,1,15,0,Female,White,Jewish,1
110,37,26,FL,Democrat,1,1,0,0,0,1,0,1,2,3,10,26,Male,Black,Jewish,1
111,47,29,CA,Republican,0,1,0,0,1,0,1,1,2,1,0,6,Male,Black,Jewish,1
112,52,21,OH,Democrat,0,1,0,1,1,0,1,1,4,1,5,26,Male,White,Christian,1
113,67,18,MI,Republican,1,0,0,0,0,1,0,0,2,1,12,25,Male,White,Christian,1
114,74,9,AZ,Democrat,0,0,0,1,0,0,1,0,1,1,10,25,Male,White,Jewish,0
115,36,5,MI,Democrat,0,0,1,1,1,1,0,1,1,1,2,19,Male,Other,Christian,0
116,43,8,AZ,Democrat,0,0,1,0,0,1,0,1,3,1,0,1,Male,Other,Jewish,0
117,76,24,AZ,Democrat,0,1,0,0,1,0,0,1,3,2,13,0,Male,Other,Jewish,1
118,57,4,AZ,Republican,1,0,1,1,1,0,0,0,4,1,10,18,Female,White,Jewish,0
119,42,20,NC,Democrat,1,1,0,1,0,1,0,1,3,1,13,16,Male,Other,Other,1
120,58,14,NC,Republican,1,0,1,1,0,0,1,0,2,1,9,10,Female,Black,Other,0
121,54,17,TX,Republican,0,1,1,0,0,1,0,1,4,3,1,4,Female,Black,Christian,1
122,67,21,NC,Democrat,0,0,1,0,0,1,1,1,3,3,4,5,Female,Black,Other,1
123,71,16,FL,Democrat,0,0,0,1,1,1,0,1,3,2,14,26,Female,Black,Christian,1
124,71,9,AZ,Republican,1,0,1,0,1,1,0,1,3,3,17,21,Female,Other,Jewish,1
125,30,28,IL,Democrat,0,0,0,1,1,0,0,0,3,2,15,5,Female,Other,Other,1
127,36,5,FL,Republican,0,0,0,1,1,0,1,1,1,1,2,16,Female,White,Christian,0
128,47,6,WA,Democrat,0,0,1,0,0,1,1,1,4,2,8,19,Male,Black,Jewish,1
129,52,6,NY,Republican,0,1,0,1,0,1,0,0,1,2,17,9,Male,Black,Other,1
130,35,8,IL,Republican,0,0,1,1,0,1,1,0,4,2,18,9,Female,White,Christian,1
131,52,16,NC,Democrat,1,1,1,0,0,1,0,1,2,1,4,8,Male,White,Other,0
133,58,1,IL,Democrat,0,1,0,1,1,1,0,1,2,1,7,27,Female,White,Other,1
134,72,16,AZ,Republican,0,1,0,1,0,1,1,1,4,2,6,17,Male,White,Other,1
135,58,15,IL,Republican,0,0,1,1,1,1,0,0,1,1,10,12,Male,Other,Jewish,1
136,45,5,MI,Democrat,0,1,0,1,0,0,1,0,1,1,11,7,Male,Other,Christian,1
138,52,3,OH,Republican,1,1,0,1,1,0,0,0,4,3,15,6,Female,Black,Other,1
139,58,27,NC,Republican,0,1,1,1,1,1,1,0,2,3,15,6,Male,White,Jewish,1
141,53,7,NY,Republican,0,0,1,0,0,1,1,1,3,1,0,2,Male,White,Christian,0
142,50,16,TX,Republican,1,0,0,0,1,0,1,1,1,2,14,15,Female,White,Other,1
143,37,28,FL,Democrat,0,1,0,1,1,0,0,1,3,1,17,12,Male,Black,Other,1
144,76,28,IL,Democrat,0,1,1,0,1,0,0,1,3,3,5,17,Male,White,Other,1
145,58,26,MI,Republican,0,0,0,0,0,1,1,0,3,3,8,17,Female,White,Christian,1
146,43,3,NY,Democrat,0,0,1,0,1,0,0,1,3,1,16,11,Female,Black,Other,0
147,32,15,MI,Republican,0,1,0,0,1,0,1,1,1,3,11,12,Female,Black,Christian,1
150,64,16,IL,Democrat,1,1,0,1,1,0,1,0,1,1,14,2,Male,Other,Jewish,1
151,40,6,WA,Democrat,1,0,1,1,1,0,1,0,2,2,11,25,Male,Other,Other,0
152,52,8,CA,Democrat,1,1,1,0,1,0,0,0,4,3,14,1,Male,Black,Jewish,1
153,54,16,WA,Republican,1,0,0,0,0,0,1,0,2,2,12,6,Female,Black,Other,1
154,47,24,OH,Republican,1,0,1,0,1,1,0,0,3,1,11,1,Male,Black,Jewish,1
155,53,6,TX,Republican,0,0,0,0,1,0,1,0,3,2,18,5,Male,White,Christian,1
156,44,16,NY,Democrat,0,1,1,0,0,0,0,1,3,2,15,12,Female,Black,Christian,1
157,41,2,NC,Republican,0,0,0,1,0,0,1,1,3,2,6,10,Female,Other,Other,1
158,50,1,NY,Republican,0,1,1,1,1,0,0,1,2,1,16,4,Female,Other,Other,0
159,71,19,NC,Republican,1,1,1,0,0,0,1,1,1,1,9,6,Male,Other,Jewish,0
160,63,14,MI,Republican,1,1,0,0,0,1,0,1,3,1,8,10,Female,Black,Jewish,1
161,57,19,FL,Republican,1,0,1,0,0,1,1,1,2,1,5,26,Male,Other,Christian,0
162,38,23,OH,Republican,0,0,1,0,1,0,1,0,2,3,8,6,Female,Other,Jewish,0
163,55,4,FL,Democrat,1,0,1,0,0,1,1,0,3,1,0,7,Female,White,Christian,0
164,40,2,CA,Democrat,0,1,1,0,0,1,0,1,3,2,15,3,Female,Black,Christian,1
165,45,2,NC,Democrat,1,0,1,1,0,1,0,1,2,2,13,9,Male,Black,Jewish,0
166,59,12,CA,Republican,1,0,1,1,1,1,0,1,4,1,7,28,Female,Other,Other,0
167,74,23,IL,Democrat,0,1,1,1,0,0,1,1,2,3,14,20,Female,White,Jewish,1
168,43,24,AZ,Republican,0,0,1,1,1,1,1,0,4,3,15,25,Male,Other,Other,1
169,30,11,TX,Republican,0,0,1,1,1,1,0,0,3,1,13,28,Male,White,Christian,1
170,47,21,WA,Democrat,0,0,1,0,0,0,0,1,1,3,15,19,Female,Other,Christian,1
171,50,18,CA,Republican,0,1,0,1,1,0,0,1,1,2,6,28,Male,Other,Other,1
172,33,19,WA,Republican,1,0,0,0,1,0,0,1,4,3,17,14,Male,Black,Christian,1
173,37,17,IL,Republican,0,1,0,1,1,0,1,1,3,3,16,22,Male,White,Christian,1
174,68,26,NY,Democrat,1,1,0,1,1,1,0,1,3,1,0,14,Male,White,Jewish,1
175,39,4,FL,Republican,0,0,0,1,0,1,1,1,4,2,10,18,Female,White,Jewish,1
176,56,23,AZ,Republican,0,0,1,0,1,1,1,0,1,3,19,9,Male,Black,Christian,1
177,63,26,WA,Democrat,1,0,1,0,1,1,0,1,2,3,4,1,Male,Black,Jewish,0
178,68,12,MI,Republican,0,0,1,1,0,1,0,1,4,2,12,15,Female,Other,Christian,1
179,41,25,WA,Democrat,0,0,0,1,1,1,1,0,3,3,7,19,Female,White,Christian,1
180,69,3,OH,Republican,1,1,0,1,0,0,0,0,3,2,17,29,Female,White,Other,1
181,79,16,NY,Democrat,0,0,1,1,0,1,0,0,1,3,12,4,Male,Other,Jewish,1
183,73,28,NY,Democrat,0,0,1,0,0,1,1,0,4,3,10,16,Male,Other,Christian,1
184,64,6,TX,Republican,0,0,1,0,0,0,0,0,4,3,5,2,Female,Other,Other,1
185,42,1,OH,Republican,0,0,0,1,1,0,1,1,3,3,10,7,Male,White,Jewish,1
186,58,5,MI,Republican,1,1,0,1,1,0,0,1,2,2,14,10,Male,Other,Jewish,1
187,73,10,OH,Republican,0,0,0,0,0,1,1,0,4,2,13,4,Male,White,Christian,1
188,49,14,IL,Democrat,0,0,0,1,1,1,1,1,2,1,7,16,Female,White,Jewish,0
190,69,10,TX,Democrat,1,0,1,0,1,1,0,0,2,1,0,23,Female,Other,Christian,0
191,39,25,MI,Republican,1,1,1,0,1,1,0,0,2,1,8,28,Male,Other,Other,0
192,67,9,NY,Republican,0,0,1,0,0,0,0,1,2,1,6,7,Female,Other,Jewish,0
193,48,13,WA,Democrat,1,0,0,1,0,1,0,1,3,2,14,1,Male,Other,Christian,1
194,33,17,WA,Democrat,1,0,1,0,1,0,1,0,3,1,14,15,Male,Black,Christian,1
195,64,19,IL,Democrat,0,1,1,0,0,0,1,0,3,3,8,8,Male,Other,Other,1
196,44,29,CA,Democrat,0,0,0,1,1,1,1,1,2,1,4,25,Female,Black,Other,0
197,49,20,MI,Democrat,0,1,1,1,1,1,0,1,1,1,6,16,Male,Other,Christian,0
198,71,28,NY,Democrat,0,0,1,0,1,0,1,1,1,1,11,9,Female,Black,Christian,1
199,48,1,AZ,Democrat,1,1,0,0,1,1,1,0,1,1,5,23,Male,Other,Christian,1
200,73,9,MI,Democrat,0,1,0,1,1,0,0,1,2,2,9,23,Male,Other,Jewish,1
201,50,18,NY,Republican,0,0,1,1,1,0,0,0,1,1,14,12,Female,White,Jewish,1
202,38,5,IL,Democrat,1,0,0,1,0,1,0,1,3,2,3,21,Male,Black,Jewish,1
203,29,14,MI,Democrat,1,0,1,1,1,0,0,1,2,1,14,16,Male,Other,Jewish,1
204,72,29,FL,Republican,0,0,1,0,0,1,0,1,4,2,17,11,Male,Black,Other,1
205,53,19,MI,Republican,1,0,1,1,1,1,0,1,1,1,2,28,Male,White,Jewish,0
206,32,15,CA,Republican,1,1,0,1,1,0,1,1,2,3,14,8,Female,Black,Christian,1
207,41,4,IL,Republican,0,1,1,0,1,1,0,1,4,2,19,14,Female,Other,Jewish,1
208,78,4,CA,Republican,0,1,1,1,1,0,1,0,2,2,4,9,Male,White,Other,0
210,46,18,OH,Democrat,1,0,1,1,0,0,1,1,3,2,14,29,Female,White,Jewish,1
212,51,18,NY,Republican,1,1,1,0,1,1,1,0,3,2,4,6,Male,Black,Christian,1
213,26,8,IL,Democrat,0,0,0,0,1,0,0,0,3,3,8,13,Female,Other,Christian,1
214,25,2,FL,Republican,1,1,0,0,1,1,0,1,4,1,6,12,Female,Other,Christian,1
215,78,16,AZ,Democrat,1,1,0,0,0,1,1,1,1,3,3,25,Female,White,Other,1
216,65,14,FL,Republican,0,0,0,1,0,0,0,1,4,3,18,20,Male,Other,Other,1
217,32,26,OH,Democrat,0,1,1,0,1,1,0,1,1,1,7,1,Male,White,Other,0
218,45,23,TX,Republican,0,1,1,0,1,1,0,1,4,3,13,15,Female,Black,Christian,1
219,48,1,WA,Republican,0,1,0,0,0,0,1,0,2,3,8,28,Female,White,Jewish,1
224,58,19,MI,Republican,1,1,0,0,0,1,0,0,4,3,9,0,Female,Black,Other,1
225,36,11,NY,Republican,1,1,1,1,1,1,0,1,2,1,12,22,Male,White,Christian,1
226,74,25,AZ,Democrat,0,0,1,1,1,1,0,0,4,1,2,22,Male,Black,Jewish,0
227,29,15,CA,Republican,1,1,1,1,0,0,0,1,3,2,11,9,Female,Black,Christian,1
228,69,18,IL,Republican,1,0,0,0,1,1,1,0,3,3,3,19,Male,White,Christian,1
229,79,20,NC,Democrat,1,0,0,0,1,0,0,1,4,2,10,22,Male,Other,Jewish,1
230,79,19,MI,Democrat,1,0,0,0,1,0,1,0,4,2,8,28,Male,White,Christian,1
232,32,6,IL,Republican,0,0,0,1,1,0,0,1,3,3,11,7,Male,Other,Other,1
237,70,3,IL,Democrat,1,1,0,0,0,0,0,1,3,3,12,18,Male,White,Other,1
238,76,1,NC,Republican,0,1,1,0,0,1,0,0,2,1,10,29,Male,Other,Jewish,0
239,58,24,MI,Democrat,1,1,1,0,1,0,0,0,3,2,8,13,Female,White,Other,1
240,58,29,NY,Republican,1,0,1,0,1,0,0,1,1,3,19,7,Female,White,Other,1
241,28,18,FL,Democrat,0,0,1,0,1,0,1,0,4,1,7,28,Female,Other,Other,0
243,46,18,TX,Democrat,0,1,1,0,0,0,1,0,4,2,8,28,Male,White,Jewish,1
244,65,16,WA,Democrat,0,0,1,0,1,1,0,1,4,3,3,26,Male,Other,Jewish,1
245,74,18,MI,Democrat,0,0,1,0,0,1,1,0,2,2,9,14,Female,White,Other,0
247,73,14,TX,Democrat,0,1,0,0,0,1,1,1,3,1,18,16,Female,Black,Other,1
248,58,10,NY,Republican,1,0,0,0,1,0,0,1,3,2,9,27,Male,Black,Other,1
249,54,29,MI,Democrat,0,0,1,0,1,1,0,1,2,2,17,22,Male,Black,Other,1
250,49,5,NC,Democrat,1,1,0,1,1,1,1,0,1,3,15,13,Female,Black,Other,1
252,49,26,IL,Republican,0,1,0,0,1,1,0,1,2,2,8,25,Female,White,Christian,1
253,54,18,FL,Republican,1,0,0,0,0,0,1,1,3,2,8,7,Female,Black,Other,1
255,68,5,AZ,Democrat,1,0,0,1,0,1,0,0,1,1,18,6,Female,Black,Other,0
256,40,27,WA,Democrat,1,1,0,1,1,1,1,0,1,3,7,6,Female,Other,Christian,1
257,34,12,MI,Democrat,1,1,1,0,0,0,1,1,1,3,18,21,Male,White,Christian,1
258,55,29,CA,Democrat,0,0,1,0,0,1,1,0,1,2,3,29,Female,Black,Other,0
259,35,4,OH,Republican,0,0,1,0,1,0,1,0,3,1,10,4,Female,Black,Christian,0
260,33,12,FL,Republican,1,1,0,1,1,1,0,1,3,1,2,9,Male,White,Christian,1
261,60,13,CA,Democrat,0,1,1,1,1,1,0,1,3,2,17,19,Male,Black,Christian,1
262,72,14,NC,Democrat,1,0,1,1,1,0,1,1,3,2,16,4,Female,Black,Jewish,1
263,43,14,CA,Democrat,0,0,0,0,0,0,0,0,1,3,18,22,Male,White,Other,1
