,roc_auc_mean,roc_auc_std,f1_mean,f1_std,shots,dataset
logreg,0.5445979601518027,0.030217046279429893,0.5892746701471212,0.13223778104594366,4,hiring
logreg,0.5363318311195446,0.032288330132218254,0.5482379249351655,0.07120927011044187,8,hiring
logreg,0.5766722011385199,0.060109824242589836,0.5886812290406581,0.10406572307970721,16,hiring
logreg,0.5927893738140417,0.05972578082250529,0.6477299296746396,0.10471183237652931,32,hiring
logreg,0.5810721062618597,0.03843098134687646,0.644760617940235,0.10616118664678832,64,hiring
logreg,0.5775379506641366,0.026816906559742084,0.6662966114825634,0.07693329419390073,128,hiring
logreg,0.6481736242884251,0.02888208308396233,0.8978076402728898,0.00264040279594512,5000,hiring
logreg,0.5578346456692913,0.05932946037252263,0.3191041323594905,0.08974807271887165,4,adult
logreg,0.6235925196850394,0.0741890702249919,0.4143682818502386,0.04429299268938355,8,adult
logreg,0.6093257874015748,0.0892270824978017,0.3631038851621168,0.07539111087141681,16,adult
logreg,0.7368307086614173,0.02298640873293339,0.4679735587226988,0.02121126830154592,32,adult
logreg,0.7219291338582677,0.03983899817834341,0.45369890653613415,0.03163246545936001,64,adult
logreg,0.7400295275590552,0.026804146706704984,0.4709014445348056,0.01601314085304149,128,adult
logreg,0.854261811023622,0.003901258707409608,0.5979016830303585,0.014816558381757706,256,adult
logreg,0.8651574803149608,0.0006630016528202701,0.49345584080417415,0.004637852908503997,5000,adult
logreg,0.6385768769750463,0.09283575370717817,0.18963831426672,0.04478187569277551,4,seismic_bumps
logreg,0.5788362209872508,0.07317240071513702,0.14292903535236245,0.043579470932464316,8,seismic_bumps
logreg,0.5950441320693037,0.08575356340383476,0.1381063032939367,0.032040130396644606,16,seismic_bumps
logreg,0.613507682249101,0.08902386528936482,0.14369883568056538,0.03624043578688243,32,seismic_bumps
logreg,0.6019788601939632,0.06808850691644339,0.14097507976198784,0.02086716870354185,64,seismic_bumps
logreg,0.6334314045984526,0.059212450396975924,0.14456122992657078,0.010248388778375242,128,seismic_bumps
logreg,0.747900185245723,1.949280137302709e-05,0.0,0.0,5000,seismic_bumps
logreg,0.5953125,0.0331708087758148,0.2715127716579314,0.17194969486586348,4,san_francisco_crimes
logreg,0.6015503246753247,0.051932580006225866,0.33628057508087983,0.11625608335337088,8,san_francisco_crimes
logreg,0.5615422077922079,0.045290049420829266,0.33576587673206654,0.09210515650623624,16,san_francisco_crimes
logreg,0.550698051948052,0.03410915994533098,0.3816716645454725,0.09244948458600805,32,san_francisco_crimes
logreg,0.5717775974025974,0.04602530935689395,0.3942869426354881,0.10197796544394766,64,san_francisco_crimes
logreg,0.5929058441558441,0.04504861354852812,0.4910440015953096,0.04895826665035209,128,san_francisco_crimes
logreg,0.5859577922077922,0.059826191681597876,0.4962820596391812,0.02823127498456743,256,san_francisco_crimes
logreg,0.6012743506493506,0.005607233096229041,0.1869833237492812,0.041349326544704926,5000,san_francisco_crimes
logreg,0.675,0.14913588550606796,0.47708683473389357,0.3034218871850277,4,tech_mental_health_survey
logreg,0.8055555555555556,0.1692508000965825,0.7425604000701591,0.13053745308882553,8,tech_mental_health_survey
logreg,0.8194444444444444,0.10847568994314796,0.7302992659514398,0.10885422299400345,16,tech_mental_health_survey
logreg,0.9583333333333333,0.0,0.782608695652174,0.0,64,tech_mental_health_survey
logreg,0.9583333333333333,0.0,0.782608695652174,0.0,128,tech_mental_health_survey
logreg,0.9583333333333333,0.0,0.782608695652174,0.0,256,tech_mental_health_survey
logreg,0.9583333333333333,0.0,0.782608695652174,0.0,5000,tech_mental_health_survey
logreg,0.6942524038461538,0.02787215449933289,0.8161446923529108,0.11241016204682784,4,bbbp
logreg,0.6955757211538461,0.07788931192436861,0.6077216472580566,0.3015661519009183,8,bbbp
logreg,0.7327019230769231,0.033407391816058396,0.7297475707974227,0.12945947745348185,16,bbbp
logreg,0.7192680288461538,0.05510538813636625,0.8037057192415376,0.10432704762303219,32,bbbp
logreg,0.7512728365384616,0.05441438538022202,0.8514116808155274,0.026889578296207823,64,bbbp
logreg,0.7961670673076923,0.015909468092786053,0.8658504244467606,0.01759349948294106,128,bbbp
logreg,0.8166766826923076,0.007069857230798095,0.8836284268159454,0.01023980232356971,256,bbbp
