,roc_auc_mean,roc_auc_std,f1_mean,f1_std,shots,dataset
naive_argmax,0.5,0.0,0.0,0.0,4,hiring
naive_argmax,0.5,0.0,0.0,0.0,8,hiring
naive_argmax,0.5,0.0,0.0,0.0,16,hiring
naive_argmax,0.5,0.0,0.0,0.0,32,hiring
naive_argmax,0.5,0.0,0.0,0.0,64,hiring
naive_argmax,0.5,0.0,0.0,0.0,128,hiring
naive_argmax,0.5,0.0,0.8976897689768977,0.0,5000,hiring
naive_argmax,0.5,0.0,0.0,0.0,4,adult
naive_argmax,0.5,0.0,0.0,0.0,8,adult
naive_argmax,0.5,0.0,0.0,0.0,16,adult
naive_argmax,0.5,0.0,0.0,0.0,32,adult
naive_argmax,0.5,0.0,0.0,0.0,64,adult
naive_argmax,0.5,0.0,0.0,0.0,128,adult
naive_argmax,0.5,0.0,0.0,0.0,256,adult
naive_argmax,0.5,0.0,0.0,0.0,5000,adult
naive_argmax,0.5,0.0,0.0,0.0,4,seismic_bumps
naive_argmax,0.5,0.0,0.0,0.0,8,seismic_bumps
naive_argmax,0.5,0.0,0.0,0.0,16,seismic_bumps
naive_argmax,0.5,0.0,0.0,0.0,32,seismic_bumps
naive_argmax,0.5,0.0,0.0,0.0,64,seismic_bumps
naive_argmax,0.5,0.0,0.0,0.0,128,seismic_bumps
naive_argmax,0.5,0.0,0.0,0.0,5000,seismic_bumps
naive_argmax,0.5,0.0,0.0,0.0,4,san_francisco_crimes
naive_argmax,0.5,0.0,0.0,0.0,8,san_francisco_crimes
naive_argmax,0.5,0.0,0.0,0.0,16,san_francisco_crimes
naive_argmax,0.5,0.0,0.0,0.0,32,san_francisco_crimes
naive_argmax,0.5,0.0,0.0,0.0,64,san_francisco_crimes
naive_argmax,0.5,0.0,0.0,0.0,128,san_francisco_crimes
naive_argmax,0.5,0.0,0.0,0.0,256,san_francisco_crimes
naive_argmax,0.5,0.0,0.0,0.0,5000,san_francisco_crimes
naive_argmax,0.5,0.0,0.0,0.0,4,tech_mental_health_survey
naive_argmax,0.5,0.0,0.0,0.0,8,tech_mental_health_survey
naive_argmax,0.5,0.0,0.0,0.0,16,tech_mental_health_survey
naive_argmax,0.5,0.0,0.6923076923076923,0.0,64,tech_mental_health_survey
naive_argmax,0.5,0.0,0.6923076923076923,0.0,128,tech_mental_health_survey
naive_argmax,0.5,0.0,0.6923076923076923,0.0,256,tech_mental_health_survey
naive_argmax,0.5,0.0,0.6923076923076923,0.0,5000,tech_mental_health_survey
naive_argmax,0.5,0.0,0.0,0.0,4,bbbp
naive_argmax,0.5,0.0,0.0,0.0,8,bbbp
naive_argmax,0.5,0.0,0.0,0.0,16,bbbp
naive_argmax,0.5,0.0,0.0,0.0,32,bbbp
naive_argmax,0.5,0.0,0.0,0.0,64,bbbp
naive_argmax,0.5,0.0,0.0,0.0,128,bbbp
naive_argmax,0.5,0.0,0.0,0.0,256,bbbp
naive_argmax,0.5,0.0,0.8666666666666668,0.0,5000,bbbp
naive_argmax,0.5,0.0,0.0,0.0,4,audit
naive_argmax,0.5,0.0,0.0,0.0,8,audit
naive_argmax,0.5,0.0,0.0,0.0,16,audit
naive_argmax,0.5,0.0,0.0,0.0,32,audit
naive_argmax,0.5,0.0,0.0,0.0,64,audit
naive_argmax,0.5,0.0,0.0,0.0,128,audit
naive_argmax,0.5,0.0,0.0,0.0,256,audit
naive_argmax,0.5,0.0,0.0,0.0,5000,audit
naive_argmax,0.5,0.0,0.0,0.0,4,student_famsup
naive_argmax,0.5,0.0,0.0,0.0,8,student_famsup
naive_argmax,0.5,0.0,0.0,0.0,16,student_famsup
naive_argmax,0.5,0.0,0.0,0.0,32,student_famsup
naive_argmax,0.5,0.0,0.0,0.0,64,student_famsup
naive_argmax,0.5,0.0,0.0,0.0,128,student_famsup
naive_argmax,0.5,0.0,0.0,0.0,256,student_famsup
naive_argmax,0.5,0.0,0.7593123209169055,0.0,5000,student_famsup
naive_argmax,0.5,0.0,0.0,0.0,4,fraud
naive_argmax,0.5,0.0,0.0,0.0,8,fraud
naive_argmax,0.5,0.0,0.0,0.0,16,fraud
naive_argmax,0.5,0.0,0.0,0.0,32,fraud
naive_argmax,0.5,0.0,0.0,0.0,64,fraud
naive_argmax,0.5,0.0,0.0,0.0,128,fraud
naive_argmax,0.5,0.0,0.0,0.0,5000,fraud
naive_argmax,0.5,0.0,0.0,0.0,4,callcenter
naive_argmax,0.5,0.0,0.0,0.0,8,callcenter
naive_argmax,0.5,0.0,0.0,0.0,16,callcenter
naive_argmax,0.5,0.0,0.0,0.0,32,callcenter
naive_argmax,0.5,0.0,0.0,0.0,64,callcenter
naive_argmax,0.5,0.0,0.0,0.0,128,callcenter
naive_argmax,0.5,0.0,0.9375,0.0,5000,callcenter
naive_argmax,0.5,0.0,0.0,0.0,4,postpartum
naive_argmax,0.5,0.0,0.0,0.0,8,postpartum
naive_argmax,0.5,0.0,0.0,0.0,16,postpartum
naive_argmax,0.5,0.0,0.0,0.0,32,postpartum
naive_argmax,0.5,0.0,0.0,0.0,64,postpartum
naive_argmax,0.5,0.0,0.0,0.0,128,postpartum
naive_argmax,0.5,0.0,0.0,0.0,256,postpartum
naive_argmax,0.5,0.0,0.0,0.0,5000,postpartum
naive_argmax,0.5,0.0,0.0,0.0,4,stars
naive_argmax,0.5,0.0,0.0,0.0,8,stars
naive_argmax,0.5,0.0,0.0,0.0,16,stars
naive_argmax,0.5,0.0,0.0,0.0,32,stars
naive_argmax,0.5,0.0,0.0,0.0,64,stars
naive_argmax,0.5,0.0,0.0,0.0,128,stars
naive_argmax,0.5,0.0,0.0,0.0,256,stars
naive_argmax,0.5,0.0,0.0,0.0,5000,stars
naive_argmax,0.5,0.0,0.0,0.0,4,machine
naive_argmax,0.5,0.0,0.0,0.0,8,machine
naive_argmax,0.5,0.0,0.0,0.0,16,machine
naive_argmax,0.5,0.0,0.0,0.0,32,machine
naive_argmax,0.5,0.0,0.0,0.0,64,machine
naive_argmax,0.5,0.0,0.0,0.0,128,machine
naive_argmax,0.5,0.0,0.0,0.0,256,machine
naive_argmax,0.5,0.0,0.0,0.0,5000,machine
