,roc_auc_mean,roc_auc_std,f1_mean,f1_std,shots,dataset
rf,0.5,0.0,0.17953795379537954,0.40145906922768504,4,hiring
rf,0.50374169829222,0.008366691732699025,0.25446590768586946,0.3944735058623118,8,hiring
rf,0.5252312618595826,0.044083995211947155,0.689576311600397,0.207278390619854,16,hiring
rf,0.5593334914611006,0.04699264835868989,0.6173359169134516,0.047562150805888236,32,hiring
rf,0.5916330645161291,0.0417204833993493,0.6644213006013429,0.03247498897896323,64,hiring
rf,0.6240986717267553,0.038110487556791715,0.7021410082062711,0.04683159909661687,128,hiring
rf,0.6927656546489563,0.009931063873941664,0.8991735537190083,0.0,5000,hiring
rf,0.5,0.0,0.15458937198067632,0.21168021546093374,4,adult
rf,0.5,0.0,0.2318840579710145,0.2116802154609338,8,adult
rf,0.6914566929133859,0.11755773389209544,0.37576673730031895,0.2186838083085576,16,adult
rf,0.8164370078740157,0.01983883541628405,0.559138957817749,0.03891304304082752,32,adult
rf,0.8440108267716535,0.019138715623204013,0.5815377637183768,0.027281199251187084,64,adult
rf,0.8747440944881891,0.01330777273367449,0.6412532644811697,0.022620696709346005,128,adult
rf,0.8948228346456693,0.011333993698993588,0.6500617076255333,0.026191476818725735,256,adult
rf,0.909478346456693,0.0022847051510545787,0.5687180760941468,0.014094815874575835,5000,adult
rf,0.5,0.0,0.07442872687704025,0.06794382106157663,4,seismic_bumps
rf,0.6171515745886456,0.1428068981606865,0.16054024525202118,0.1237109773409338,8,seismic_bumps
rf,0.7296763648251063,0.12859827080538422,0.21988911192793253,0.05419065749836402,16,seismic_bumps
rf,0.7618459191456903,0.02938112118178326,0.22236425814954153,0.028271949796153176,32,seismic_bumps
rf,0.7684406668846029,0.01137258274424223,0.21844143345481176,0.007991319392735306,64,seismic_bumps
rf,0.7511496131633432,0.03107449418441888,0.23019318206518732,0.025309851075353572,128,seismic_bumps
rf,0.7542639206712434,0.0036582320078854206,0.020689655172413793,0.01888698474155745,5000,seismic_bumps
rf,0.5,0.0,0.1981981981981982,0.27139406002508226,4,san_francisco_crimes
