feature_1,feature_2,feature_3,feature_4,feature_5,target
1.927,1.487,0.901,-2.106,0.678,1
-1.235,-0.043,-1.605,-0.752,1.649,0
-0.392,-1.404,-0.728,-0.559,-0.769,0
0.762,1.642,-0.16,-0.497,0.44,1
-0.758,1.078,0.801,1.681,1.279,1
1.296,0.61,1.335,-0.232,0.042,1
-0.252,0.86,-1.385,-0.871,-0.223,1
1.717,0.319,-0.425,0.306,-0.775,1
-1.558,0.996,-0.88,-0.601,-1.274,0
2.123,-1.235,-0.488,-0.914,-0.658,1
0.078,0.526,-0.488,1.191,-0.814,1
-0.736,-1.403,0.036,-0.063,0.676,0
-0.098,1.845,-1.185,1.384,1.445,1
0.856,2.218,0.523,0.347,-0.197,1
-1.055,1.278,-0.172,0.524,0.057,1
0.426,0.575,-0.642,-2.206,-0.751,0
0.011,-0.339,-1.341,-0.585,0.536,0
0.525,1.141,0.052,0.744,-0.482,1
-1.049,0.604,-1.722,-0.828,1.335,0
0.484,-2.51,0.488,0.785,0.029,0
0.641,0.583,1.067,-0.45,-0.185,1
0.753,0.405,0.178,0.265,1.273,1
-0.001,-0.304,-1.457,-0.102,-0.599,1
0.477,0.726,0.091,-0.389,0.528,1
-0.013,0.241,0.133,0.764,1.095,1
0.34,0.72,0.411,1.931,1.012,1
-1.436,-1.13,-0.136,1.635,0.655,0
0.576,1.142,0.019,-1.806,0.925,0
-0.375,1.033,-0.687,0.637,-0.973,1
0.958,1.619,1.451,0.269,-0.21,1
-0.733,0.104,0.349,0.968,-0.466,1
1.605,-2.48,-0.418,-1.195,0.812,0
-1.901,0.229,0.025,-0.346,0.287,0
-0.731,0.175,-1.094,-1.602,1.353,0
1.289,0.052,-1.547,0.757,0.776,1
2.027,0.036,0.121,-0.806,-0.208,1
-0.932,-1.591,-1.136,-0.523,-0.519,0
-1.501,-1.927,0.128,1.023,-0.556,0
0.704,0.71,1.774,-0.922,0.962,0
-0.337,-1.175,0.358,0.479,1.354,0
0.526,2.112,-0.521,-0.932,0.185,1
1.069,1.307,0.46,-0.815,-1.021,1
-0.495,-0.592,0.154,0.441,-0.148,0
-2.318,-0.398,1.08,-1.781,1.508,0
0.309,-0.5,1.035,1.69,-0.005,1
1.667,0.154,-1.06,-0.573,0.084,1
0.4,1.989,-0.072,-0.906,-2.049,1
-1.081,0.018,0.078,0.193,0.41,0
-0.929,0.276,-0.539,0.463,-0.872,1
-0.027,-0.353,1.464,1.255,-0.715,1
0.854,0.513,0.54,0.566,0.506,1
0.222,-0.685,0.564,-1.507,-1.611,0
-1.479,0.432,-0.125,0.782,-1.599,1
-0.109,0.715,0.039,1.306,0.247,1
-1.978,0.018,-1.379,0.626,-2.585,1
-0.024,-0.122,-0.747,1.709,0.058,1
1.193,1.937,0.729,0.981,0.415,1
1.157,0.269,-0.037,0.973,-1.015,1
-0.542,-0.441,-0.314,-0.129,-0.715,0
-0.048,2.021,0.254,0.936,0.712,1
-0.032,0.102,1.343,0.713,0.404,1
-0.714,0.834,-0.959,0.454,1.246,1
-2.307,-1.287,0.18,-2.127,-0.134,0
-1.041,-0.765,-0.055,1.205,-0.982,1
0.433,-0.717,1.055,-1.453,0.465,0
0.371,-0.005,0.08,0.378,0.705,1
-1.724,-0.843,0.435,0.266,-0.587,0
0.083,0.885,0.182,0.786,-0.058,1
0.567,-0.71,-0.488,0.05,0.608,1
1.631,-0.085,1.084,0.948,-0.677,1
-0.573,-0.33,-0.794,0.375,0.088,1
-1.241,-0.32,-0.844,-0.551,1.989,0
1.9,1.695,0.028,-0.175,-1.773,1
-0.705,-0.395,1.887,-0.218,0.166,0
2.144,1.705,0.346,0.642,-0.204,1
0.685,-0.14,-1.181,-1.283,0.448,0
-0.591,0.854,-0.49,-0.359,0.666,1
-0.074,-0.21,0.166,1.47,-0.939,1
-0.601,-0.1,-0.985,-2.488,-0.331,0
0.844,0.987,-0.332,-0.808,0.824,1
0.025,-1.064,-0.76,-0.408,0.962,0
-0.143,0.153,-0.039,0.945,-1.582,1
0.987,1.146,-0.142,-0.276,-0.193,1
0.777,0.684,-1.325,-0.516,0.6,1
-0.47,-0.609,-0.046,-1.646,-0.483,0
-0.74,0.314,0.142,1.035,-0.626,1
-0.515,0.69,-0.494,1.137,-0.462,1
1.42,0.849,-0.048,0.669,1.043,1
0.69,-1.313,0.038,-1.17,-0.103,0
1.189,0.761,-0.746,-1.384,0.487,1
-1.002,0.033,-0.429,-0.982,-0.642,0
0.827,1.591,-0.121,-0.483,0.113,1
0.077,-0.923,-1.262,1.086,1.097,1
-0.684,0.066,-0.001,0.162,1.196,0
-1.306,-1.404,-1.06,0.306,0.415,0
-0.717,2.834,1.953,2.049,-1.088,1
1.622,0.851,-0.4,-0.609,-0.508,1
-0.618,-1.647,-1.036,-0.45,-0.073,0
-0.548,-1.143,-0.449,-0.03,0.383,0
-0.045,1.18,-0.331,0.65,0.095,1
-0.753,-0.647,-1.282,1.965,-0.964,1
-2.567,0.71,0.82,0.621,0.423,0
-0.339,0.518,-1.364,0.193,-0.61,1
0.163,1.51,0.212,-0.725,-0.953,1
0.522,-0.464,0.182,-0.387,-1.791,1
0.093,-1.915,-0.642,1.344,-1.292,1
0.766,0.645,0.353,-2.647,-1.458,0
-0.971,0.254,-0.179,1.199,-0.429,1
1.01,0.611,1.221,-0.608,-1.738,1
-0.125,-1.366,1.112,-0.623,-0.789,0
-0.168,1.643,2.007,-1.253,1.119,0
1.773,-2.072,-0.413,-0.977,-0.034,0
1.859,2.622,0.369,0.38,0.199,1
-0.236,0.303,-0.45,0.474,0.65,1
1.166,0.017,0.533,-0.604,-0.174,1
0.609,-0.803,-1.121,0.196,-0.782,1
-1.79,-0.262,-0.44,2.185,-0.48,1
-1.287,0.739,0.034,-0.312,-0.254,0
-1.206,-0.954,0.061,0.085,0.748,0
-0.164,-0.909,0.313,0.805,-1.113,1
0.498,-1.2,0.127,0.44,0.638,0
0.16,1.77,0.627,-1.874,2.326,0
-0.92,0.666,-0.44,-2.318,1.295,0
0.223,-0.848,1.649,1.601,-0.079,1
0.431,0.368,0.764,1.179,-0.414,1
0.518,-0.702,-0.432,0.141,0.071,1
0.563,-0.579,-1.084,-0.389,0.813,0
1.498,0.044,1.444,0.232,0.506,1
-1.279,-0.038,1.914,0.338,0.125,0
-0.762,-1.191,0.776,0.456,0.25,0
-1.361,1.802,-0.074,-0.157,-0.871,1
-0.641,-0.415,-0.69,-0.23,-2.172,0
0.088,1.094,-0.118,-0.299,-0.954,1
-0.092,-1.017,-0.008,-0.518,0.84,0
0.059,-1.668,2.13,-1.518,0.139,0
-1.18,-0.53,0.963,0.279,-0.572,0
-2.794,-0.711,0.524,-1.711,0.838,0
-0.27,0.123,0.876,0.151,0.739,0
0.273,2.731,0.432,-0.309,-0.097,1
1.542,-0.109,-0.419,1.438,-0.707,1
-1.252,3.025,1.346,0.856,0.322,1
0.446,1.523,1.28,-0.116,1.371,1
-0.481,-0.99,-1.364,0.008,-0.406,0
-0.711,-0.35,0.38,0.999,1.275,0
0.959,0.104,0.829,2.092,0.795,1
0.279,0.186,0.355,0.091,1.742,1
-1.266,0.389,0.343,-1.459,-1.494,0
-0.221,0.225,-0.077,0.986,1.278,1
0.288,0.869,-0.81,-1.43,0.459,0
0.531,-1.361,1.956,1.768,-0.986,1
-1.237,-2.302,-0.001,-0.849,-1.659,0
0.306,1.182,0.326,-0.389,2.854,1
0.824,0.798,1.889,0.593,0.07,1
-1.603,-0.43,0.576,0.344,-3.102,0
-1.459,-1.432,-0.607,-0.26,-0.719,0
-0.386,0.523,-0.821,-0.471,0.602,0
-0.283,0.769,-0.767,-0.949,0.017,0
0.08,0.745,1.345,0.127,-2.452,1
0.416,1.903,-0.735,0.045,-1.521,1
0.348,0.74,1.416,0.683,-0.138,1
0.921,0.528,-0.008,-1.449,-0.605,1
-0.179,0.2,-1.246,-0.415,1.456,0
0.332,-1.0,-0.692,-0.472,-1.289,0
1.076,-1.067,-1.989,0.297,0.434,1
0.003,-1.024,0.224,-0.755,1.368,0
-0.32,-0.913,1.919,-1.651,2.148,0
-0.66,0.114,-0.221,0.712,0.342,1
1.589,-0.349,-0.458,-1.232,-0.598,1
-0.282,0.053,0.425,0.483,0.488,1
1.008,-0.595,0.393,0.823,-0.886,1
1.48,0.839,-0.2,0.995,0.72,1
-0.134,-1.407,-2.361,-0.29,-0.133,0
-0.157,1.138,-0.251,1.67,-0.545,1
-2.158,-1.661,-0.664,0.366,-0.399,0
0.497,-2.369,-0.561,-0.595,1.269,0
1.29,-1.176,-0.078,-0.971,1.472,0
1.411,-1.314,-1.316,-1.252,-1.584,0
-2.545,1.372,-0.538,0.738,-0.851,1
0.036,1.341,0.92,-0.379,-1.56,1
-0.801,-0.711,-0.387,0.958,-0.823,1
-2.391,0.322,1.875,1.104,-0.522,0
-0.74,0.162,-0.237,0.51,1.671,0
1.592,-0.416,1.862,-1.078,0.885,0
-0.834,1.03,-0.868,-0.57,0.323,0
1.128,-1.212,2.602,-0.096,-0.081,0
1.259,0.869,-0.961,0.052,-0.328,1
-2.247,-0.448,0.423,-0.387,-0.23,0
-0.407,0.87,-1.055,-1.328,0.706,0
0.357,0.589,0.919,0.666,0.247,1
0.133,0.122,0.478,0.276,-0.59,1
0.569,-0.791,-0.199,-1.362,-0.519,0
0.076,0.34,1.456,-0.346,-0.263,0
-0.448,-0.729,-0.161,-0.321,-0.631,0
-0.789,1.306,-0.928,-0.263,0.931,1
-0.459,-0.942,-0.709,2.186,-0.649,1
0.452,0.852,-1.695,1.181,-2.893,1
