feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
0.137,1.525,1.472,1.702,-0.284,0.101,0.657,-0.334,-0.629,2.044,1
0.366,1.298,0.152,1.269,-1.629,-0.072,-1.074,0.292,-1.161,-1.639,0
-0.132,0.007,-0.686,-1.896,-1.071,-1.425,0.739,2.346,0.621,-0.514,1
0.8,-1.88,-1.961,1.349,0.212,0.116,1.397,0.441,-0.589,-1.163,1
0.209,1.146,-0.827,0.252,1.02,0.751,-0.035,-0.632,-0.259,-1.447,0
-0.792,0.456,0.689,-0.032,-0.14,0.108,0.499,-0.281,-0.393,-0.79,1
-1.234,-1.456,0.391,2.125,0.829,-0.384,-0.16,1.516,-0.72,-0.915,1
0.022,-1.317,1.79,-0.838,-0.523,-0.793,0.003,-0.693,0.123,1.049,1
0.159,0.886,0.694,-1.764,0.766,1.429,0.309,-0.554,0.115,1.026,1
0.686,-0.194,-0.641,1.19,1.369,-0.198,0.371,0.861,-0.472,-1.035,1
-0.121,-0.595,-0.205,0.56,0.281,0.092,-0.264,1.603,0.422,0.688,1
0.337,0.633,-1.496,-0.734,1.71,-0.221,-0.103,1.2,-0.122,1.914,0
-1.629,-0.245,0.167,-1.099,-0.059,-0.021,1.05,-0.631,0.708,-0.742,1
-0.146,-1.347,0.28,-1.711,-1.307,-0.966,-0.593,0.34,2.11,0.771,1
-0.227,-2.121,-1.567,-0.139,-0.145,0.497,-0.357,-0.321,0.29,-0.061,1
1.785,0.123,-0.712,-0.389,-0.742,0.759,0.188,-0.155,-0.575,-0.615,1
0.901,1.151,-1.303,0.144,1.867,1.35,1.544,0.428,-0.601,0.001,1
1.253,-1.671,-2.126,-0.09,0.476,-1.002,-0.595,1.888,-0.06,1.673,0
-0.11,-0.319,1.005,0.105,-1.374,-1.154,-0.856,0.288,-0.819,0.312,1
2.15,0.823,0.654,-0.548,-0.108,-0.993,0.106,1.661,0.57,1.834,1
0.359,0.842,2.031,0.095,0.2,1.198,-0.222,-0.079,0.56,1.514,1
0.105,-0.814,-0.626,-0.068,-0.151,-0.687,0.785,-0.289,0.249,1.079,1
-0.88,-1.022,0.239,-0.656,0.141,1.434,0.544,0.379,-0.352,0.114,1
0.024,-0.976,1.792,-1.095,-0.018,-0.743,0.01,1.511,1.29,0.331,1
0.066,0.169,0.437,0.89,1.633,0.585,1.037,-1.091,-0.159,0.511,1
-1.015,-0.188,-0.737,-1.135,0.404,-0.773,-0.709,-0.889,1.546,-0.404,1
0.139,0.549,-0.279,-0.202,1.855,0.866,-1.323,1.101,-3.009,0.019,0
-1.721,0.66,-0.761,-0.421,0.125,-1.216,0.109,-0.336,-1.105,1.11,0
0.01,-1.674,0.216,-0.301,-0.476,0.153,-1.071,-0.479,0.386,-0.769,1
1.001,0.033,-0.244,0.363,-0.217,-0.987,-0.627,0.197,-0.497,1.089,1
0.646,-0.302,0.132,-1.335,1.606,-0.279,0.267,-2.094,-1.646,-1.738,0
-1.103,0.233,-1.17,0.058,3.423,0.107,-0.852,0.407,1.011,-1.263,0
-0.849,-0.923,-0.085,-0.173,0.565,-0.584,1.129,-0.915,1.159,-1.906,1
-0.835,-1.48,-0.294,-1.644,-1.854,-0.117,-0.031,-0.236,-0.1,0.388,1
0.922,-1.785,0.372,0.216,-0.546,0.732,-1.527,0.381,-0.743,0.617,1
-0.251,0.43,-0.177,-0.802,0.696,1.411,-1.061,-0.273,-1.846,-0.42,0
0.452,-0.643,-0.884,0.362,0.73,0.296,0.347,0.942,0.587,0.062,1
-0.335,0.524,0.959,0.676,-0.122,-0.073,-0.137,0.754,1.326,0.985,1
0.619,0.528,-0.471,1.059,-1.561,-1.128,-0.782,0.26,-0.515,0.107,1
-1.196,0.777,0.087,0.279,-1.593,0.675,-0.17,-0.573,1.2,1.046,1
1.22,-1.259,0.989,-1.329,2.171,0.431,-0.684,-0.721,0.796,0.698,0
1.469,-1.047,-0.386,0.852,-0.895,0.057,0.377,0.932,-0.485,-2.405,1
1.001,-0.176,-1.163,-0.559,-0.699,1.034,-1.614,0.674,-0.955,0.653,1
-0.038,-1.195,-0.342,-0.132,0.377,0.716,0.993,-2.096,0.313,-1.046,1
0.841,0.331,1.089,-0.539,-0.241,0.381,0.118,-0.159,1.504,1.35,1
-0.79,0.356,-1.027,-0.752,1.469,0.866,-2.04,-0.864,0.516,1.035,0
0.31,-1.017,-0.962,-0.542,0.352,1.249,-1.299,-1.257,-0.249,-0.02,1
1.819,-1.312,0.767,1.841,0.348,-0.411,-0.852,-0.248,-0.589,-1.289,1
-0.16,0.038,-0.513,-0.203,-1.11,0.346,-0.477,1.197,-0.261,-1.192,1
-0.661,-0.271,-2.36,-0.822,-1.588,-1.352,-1.07,1.09,-0.258,0.009,1
1.682,-0.604,-2.133,0.417,0.576,-0.856,-0.015,1.31,0.519,1.303,0
2.896,0.639,0.69,-0.61,0.137,-0.049,-0.79,-0.919,-0.155,0.088,1
0.036,-2.327,0.53,0.193,0.564,0.423,0.469,-0.383,2.386,0.331,1
-0.046,-0.471,-1.698,-2.456,2.352,-0.341,-0.951,0.078,0.537,0.585,0
0.797,-2.223,0.959,0.581,-1.118,-1.729,0.238,0.39,-0.339,-0.434,1
-1.466,-0.476,0.789,-0.215,-0.687,-1.34,0.107,0.213,0.622,0.695,1
0.957,-0.5,1.18,0.044,1.168,0.814,1.601,1.34,-1.044,1.089,1
