feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,target
0.882,-0.224,1.101,0.586,1.654,-1.619,0.242,0.813,1.177,0.271,-0.495,0.063,-0.277,1.016,-0.285,-0.764,0.893,-0.154,0.941,-0.862,0.248,1.477,1.029,0.469,1.159,1.831,-0.652,-1.394,-0.043,-0.51,-1.268,-0.091,0.33,-0.567,0.15,0.007,0.126,0.581,-0.353,1.004,1.397,1.016,-0.899,1.67,0.38,-0.046,1.53,0.635,-0.503,0.054,1
-1.285,0.498,0.236,-0.54,0.839,-1.378,-0.374,-0.348,0.242,-2.917,-0.535,0.204,1.384,-1.112,0.522,0.529,0.901,1.306,0.593,2.082,-1.338,1.345,0.214,-0.75,1.105,0.175,1.243,1.385,-1.287,-0.533,-2.341,1.949,-0.95,0.89,-1.739,0.009,1.046,-1.151,-0.575,-0.169,0.195,0.044,0.962,0.479,-0.321,-0.939,-0.806,1.227,-0.796,-0.197,1
1.339,1.438,0.939,-0.187,-0.051,-1.237,0.38,-0.505,-0.187,-0.264,0.352,0.518,0.656,-0.214,1.041,2.136,-2.324,-0.425,-0.012,-0.517,-2.685,-0.223,-0.565,-0.534,-1.287,-0.235,-1.73,-1.198,-0.323,-1.463,0.35,0.367,0.214,0.043,-1.129,0.562,1.942,0.801,1.21,-2.319,-0.879,0.986,-0.467,1.633,-1.128,-0.927,-0.159,0.62,0.489,-0.393,1
-0.366,0.023,-0.689,0.97,-0.195,-0.863,-0.229,-1.087,1.72,0.48,0.076,-0.246,0.092,0.672,1.17,1.259,0.758,-0.052,-0.165,1.005,-1.133,0.802,0.441,0.04,0.778,1.948,-0.022,0.31,1.181,-0.853,-0.843,-0.068,-0.544,-0.972,-1.11,1.232,0.52,0.63,0.472,0.692,-1.068,0.532,0.679,-1.124,0.177,1.119,0.341,-0.919,1.069,0.644,1
1.19,-0.537,-0.002,1.412,1.562,0.893,-0.448,-0.317,1.073,1.559,-0.605,0.467,1.151,-0.077,-0.878,1.399,-0.36,-0.703,2.071,0.519,0.836,0.936,-0.847,0.051,0.616,-1.748,2.26,0.51,-0.484,-0.338,-0.528,-1.429,0.806,1.447,1.608,0.031,0.85,-0.805,0.787,-1.21,0.372,1.442,1.052,0.094,-0.261,-0.195,0.304,-0.83,-0.063,3.146,0
-0.946,1.461,-0.098,0.047,-0.75,-0.186,0.461,-0.256,-0.678,-0.072,0.476,0.846,-0.101,1.471,1.546,-0.203,-1.734,0.231,1.062,-0.52,-0.876,-1.534,-0.466,-0.221,-0.364,-1.195,-0.446,-0.181,-1.531,2.59,-0.33,-0.246,-2.806,1.186,-0.549,1.062,0.487,1.036,-1.03,0.656,1.683,1.031,-1.334,-0.35,-0.668,0.1,-1.114,0.197,0.842,1.629,0
-1.034,1.159,0.24,-0.299,-0.691,0.54,-0.238,-0.444,0.309,-0.54,0.537,1.532,0.223,-0.233,0.032,2.112,-0.411,-1.15,-1.489,1.503,1.066,-2.878,-0.897,0.208,-0.648,1.301,-0.649,0.071,-0.637,0.358,-0.661,0.537,-2.125,-0.797,1.61,0.395,0.11,-1.899,-0.389,1.156,-0.076,1.154,1.809,-1.481,0.867,0.346,-0.247,2.369,-0.141,-0.938,0
-0.516,-0.139,-0.417,0.105,0.139,0.396,0.235,1.198,1.252,-0.164,-0.148,0.363,-0.658,-0.341,0.549,-1.156,-0.59,1.334,-1.36,-0.374,-1.037,-0.445,-1.505,-0.672,1.036,-1.338,-0.084,-0.182,-0.481,-0.293,0.759,0.079,-1.278,0.052,-0.429,1.494,1.156,-0.207,0.233,-0.351,-2.076,-0.6,-0.223,1.615,-0.896,0.451,0.889,0.901,2.856,-0.533,0
0.44,1.038,0.771,0.889,-0.089,-0.938,0.973,0.519,0.637,0.111,-0.458,-1.048,-1.169,0.168,-0.353,-0.314,0.298,0.312,-0.608,0.029,-0.841,-0.212,0.965,3.111,0.356,2.171,0.415,1.151,0.941,-0.131,1.136,1.41,1.087,1.413,-0.934,-0.318,-0.753,0.952,-0.329,1.939,-0.899,0.819,-0.557,-0.044,-0.7,2.252,0.449,-1.798,0.533,-1.054,1
0.648,0.237,1.23,-0.962,-1.987,2.865,-0.27,1.796,2.008,0.806,0.22,-0.068,0.742,-0.566,0.873,-1.015,-0.391,-0.447,-0.077,0.87,-0.597,-0.482,-0.501,1.357,-0.18,0.482,0.631,-0.037,-0.626,0.264,-1.624,-0.374,1.64,-0.893,-0.285,0.495,0.435,-0.864,0.157,0.543,0.104,-1.345,-0.231,0.709,-1.377,-0.233,1.594,-0.837,-1.45,-0.023,0
0.546,-0.006,0.251,0.033,0.028,-0.461,2.248,0.285,-0.512,1.295,-1.815,-0.143,-0.279,0.088,1.177,-0.621,-0.649,0.914,-0.289,0.33,-0.906,0.797,1.14,2.177,1.739,1.431,0.937,-0.513,0.747,-0.958,0.153,-0.753,0.992,-0.697,1.96,0.921,0.578,-0.605,0.938,-0.751,-1.719,1.266,0.284,-0.547,0.996,2.203,0.831,0.143,-0.082,-0.996,0
-0.203,1.501,0.872,1.153,-1.38,-1.163,0.01,-1.366,0.504,0.714,-0.645,-0.59,0.692,-0.216,0.84,-1.495,1.503,-0.769,0.984,1.315,-0.602,0.124,0.557,0.931,1.47,1.011,-0.357,0.349,-0.09,0.217,-1.493,0.414,0.797,-1.181,-1.995,-1.215,0.088,0.074,-0.368,1.331,-0.766,0.978,0.508,-1.094,-0.724,1.281,1.654,0.368,0.439,-1.719,1
0.036,-0.034,0.906,-1.269,-0.89,0.564,-1.521,0.199,-0.004,-1.326,1.158,0.636,-1.015,0.115,0.457,-1.893,0.152,2.23,0.862,-0.533,-0.699,0.266,1.077,-0.889,0.049,-0.217,1.403,0.65,0.034,0.087,-0.376,1.342,1.492,-1.636,1.228,-0.829,1.01,-0.033,-1.076,-1.197,-0.611,0.778,0.077,0.002,1.08,-0.796,-0.687,0.834,0.758,0.353,0
0.15,1.925,-1.609,-0.203,-0.399,2.319,0.596,0.23,0.42,-1.545,0.643,-0.031,-0.558,0.068,-0.096,-0.759,0.611,0.346,0.604,-0.379,0.982,-1.026,-0.485,-0.809,1.262,-0.231,-0.608,0.425,0.796,-0.885,0.56,0.862,1.454,-1.834,0.824,0.695,-0.538,0.627,-0.174,-0.024,-0.962,0.569,-0.809,-0.067,0.445,0.702,-0.083,0.258,1.168,0.219,0
-0.542,0.295,-2.714,-0.518,1.108,-0.759,0.569,-0.869,0.347,0.367,-0.219,0.157,1.537,-0.407,0.361,0.69,-0.96,-0.096,-0.98,-1.017,0.489,0.208,-1.422,-0.188,-0.371,0.067,-0.193,1.342,-0.749,0.81,-0.687,0.699,-0.562,2.125,-0.508,0.879,2.076,-1.522,-0.62,0.042,-0.913,-0.569,1.525,-0.828,0.381,-0.733,-1.252,-1.443,-1.124,0.645,1
0.815,-0.191,0.991,-0.318,1.083,2.027,-1.664,0.489,0.895,-0.48,-0.801,1.993,-1.643,1.172,0.339,-0.077,0.381,-1.047,1.113,0.845,-0.117,-0.822,-1.64,-0.691,0.968,0.375,0.36,0.558,0.116,-0.022,0.182,0.96,-1.446,-0.505,-0.177,0.237,0.656,0.903,2.321,-0.028,0.318,0.905,-0.55,1.227,-0.587,2.441,1.565,-0.066,2.809,1.325,1
