,Unnamed: 0,Debt,Overdue days,Initial limit,BIRTHDATE,SEX,EDU,INCOME,TERM,Credit history rating,LV_AREA,LV_SETTLEMENTNAME,INDUSTRYNAME,PDN,UNDERAGECHILDRENCOUNT,FAMILYSTATUS,target
0,11703,2103.22,3,2700.0,1998-01-29,Male,High school,976.41,24,C3,g. Minsk,MINSK,Production,0.4,3,2,0
1,14004,94.06,0,1300.0,1978-01-25,Male,University,2057.12,24,A1,g. Minsk,Minsk,Medicine and healthcare,0.03,2,1,1
2,12865,14962.39,0,20000.0,1985-11-18,Female,University,1917.35,60,B3,g. Minsk,MINSK,Finance and Insurance,0.31,2,1,1
3,14413,10965.96,0,12350.0,1993-09-22,Male,College,1608.59,36,B1,g. Minsk,Minsk,Construction,0.4,0,2,1
4,9502,3800.0,215,3800.0,1975-10-21,Female,College,1253.78,60,C3,MINSKAJa,PRUSY,Agriculture,0.09,0,2,0
5,10878,905.38,0,1000.0,1974-05-23,Male,University,1956.31,60,C1,g. Minsk,MINSK,Production,0.37,0,1,1
6,18401,1500.0,0,1500.0,1991-12-19,Male,College,3254.39,60,C1,g. Minsk,MINSK,Construction,0.03,0,1,1
7,15114,2571.26,0,2725.0,1987-12-21,Female,College,698.42,60,B3,BRESTSKAJa,PINSK,Retired,0.12,0,2,0
8,18407,0.0,0,2000.0,1995-12-17,Female,University,1659.5,24,B1,Gomel'skaja oblast',SVETLOGORSK,Production,0.07,0,1,1
9,15857,2264.64,0,2400.0,1982-05-03,Male,High school,1074.69,60,D3,Brestskaja oblast',Oktjabr',Agriculture,0.07,0,1,0
10,14784,3259.76,0,4000.0,1982-10-04,Male,"Incomplete, University",655.96,24,B3,g. Minsk,Minsk,Transport/Logistic,0.34,2,1,1
11,12444,6899.69,0,7500.0,1985-04-13,Female,College,1029.83,60,D3,GRODNENSKAJa,RAJTsA,Production,0.22,1,2,0
12,17775,17514.96,0,18100.0,1970-04-15,Female,University,1389.83,60,B2,MINSKAJa OBLAST',MIHALOVO,Science and Education,0.4,0,2,1
13,13802,9123.13,0,10000.0,1980-09-14,Male,College,1708.83,60,A3,g. Minsk,MINSK,Production,0.33,2,1,1
14,17335,12655.43,0,13250.0,1986-03-28,Female,College,1872.82,60,A3,Brestskaja oblast',SMOLJaNY,Agriculture,0.4,3,1,1
15,16043,10143.61,0,10750.0,1995-04-13,Female,University,1336.8,60,B2,Brestskaja oblast',BARANOVIChI,Production,0.4,0,1,1
16,11666,9199.62,0,10000.0,1980-07-15,Female,High school,1730.68,60,C3,Gomel'skaja oblast',PETRIKOV,Agriculture,0.3,1,1,0
17,17042,18906.39,0,20000.0,1988-04-12,Female,University,3514.6,60,B3,Minskaja oblast',Kuchkuny,Transport/Logistic,0.21,1,1,1
18,17040,12370.74,0,13050.0,1981-06-16,Male,College,1118.0,60,A2,Minskaja oblast',LOGOJSK,Production,0.4,1,1,1
19,11382,3679.85,0,4000.0,1971-05-27,Female,University,1305.72,60,D2,GRODNENSKAJa,GRODNO,Production,0.09,0,1,0
20,11531,4599.81,0,5000.0,1980-06-04,Female,College,872.61,60,C3,Brestskaja oblast',UZhOVO,Agriculture,0.17,0,2,0
21,11733,1839.9,0,2000.0,1998-04-30,Male,College,1210.87,60,D3,Minskaja oblast',MAR'INA GORKA,Production,0.16,0,1,0
22,14396,943.59,0,1000.0,1996-07-07,Female,College,1029.16,60,D2,g. Minsk,MINSK,Trade,0.14,1,2,0
23,10030,1397.95,0,2000.0,1997-01-30,Female,University,1071.82,24,E2,Brestskaja oblast',KUPJaTIChI,Science and Education,0.35,1,1,0
24,16436,6552.65,0,7000.0,1969-09-13,Male,College,828.01,60,D3,Vitebskaja oblast',KOVALI,Agriculture,0.32,0,1,0
25,12105,1557.92,3,2000.0,1998-10-24,Female,College,919.14,24,D1,Vitebskaja oblast',POLOTsK,Trade,0.39,0,2,0
26,13625,1956.87,0,2100.0,1977-08-26,Female,College,836.7,60,D2,VITEBSKAJa,VITEBSK,Trade,0.4,0,1,0
27,16447,2101.37,0,2200.0,1966-01-13,Male,College,636.92,60,B3,Gomel'skaja oblast',REChITsA,Trade,0.4,0,2,1
28,14819,990.79,0,1050.0,2003-10-01,Female,College,1222.62,60,C1,Mogilevskaja oblast',Osipovichi,Ministry of Internal Affairs/Ministry of Emergency Situations/Ministry of Defense,0.4,0,2,1
29,17965,1450.0,0,1500.0,1992-07-09,Male,High school,2277.99,60,B2,g. Minsk,MINSK,Trade,0.25,1,2,1
30,11469,7359.74,3,8000.0,2003-04-17,Male,"Incomplete, University",1063.4,60,B3,GRODNENSKAJa,GRODNO,Trade,0.32,0,2,0
31,16851,4433.98,0,5200.0,1975-05-26,Male,College,747.75,60,C3,MOGILEVSKAJa,MILOSLAVIChI,Agriculture,0.21,0,2,0
32,15452,817.05,0,1000.0,1991-04-19,Male,College,3461.19,24,B2,g. Minsk,Minsk,Trade,0.02,1,1,1
33,13687,931.85,0,1000.0,1998-06-30,Male,High school,1077.87,60,C2,Mogilevskaja oblast',BYHOV,Trade,0.39,1,1,0
34,11044,905.39,0,1000.0,1996-09-04,Female,University,1795.78,60,D2,g. Minsk,MINSK,Finance and Insurance,0.28,0,2,0
35,15369,1225.58,0,1500.0,1997-10-29,Male,College,2028.71,24,D2,g. Minsk,MINSK,Trade,0.09,0,2,0
36,14322,3805.01,0,4050.0,1987-07-29,Female,College,1463.55,60,B3,Gomel'skaja oblast',Rogachev,Trade,0.4,2,2,1
37,18337,1500.0,0,1500.0,1985-12-01,Female,College,1865.0,60,B1,Brestskaja oblast',BREST,Ministry of Internal Affairs/Ministry of Emergency Situations/Ministry of Defense,0.18,0,2,1
38,18209,3495.0,0,3500.0,2001-07-02,Male,College,2086.75,60,C1,GRODNENSKAJa,GRODNO,Production,0.15,0,2,1
39,17482,978.17,33,1000.0,1999-02-10,Male,University,2160.8,36,D2,MINSKAJa,GATOVO,Ministry of Internal Affairs/Ministry of Emergency Situations/Ministry of Defense,0.4,0,2,0
40,15971,9435.92,0,10000.0,1977-11-17,Female,High school,984.25,60,C2,Minskaja oblast',SOLIGORSK,Production,0.38,0,1,0
41,17358,3338.89,0,3500.0,1993-08-18,Male,High school,1933.34,60,C3,g. Minsk,MINSK,Construction,0.4,0,2,0
42,14184,1604.12,3,1700.0,2001-11-21,Male,University,1810.4,60,D1,Mogilevskaja oblast',OSIPOVIChI,Ministry of Internal Affairs/Ministry of Emergency Situations/Ministry of Defense,0.4,0,2,0
43,17484,15435.67,0,16000.0,1980-12-07,Female,University,4832.1,60,B2,MOGILEVSKAJa,MOGILEV,Transport/Logistic,0.21,1,2,1
