,Gender,Age,Education,Nationality,Marital_Status,Governorate,Aware_151,Call_151,The_reason_of_the_call,Call_center_employee_communication_skills_evaluation,Satisfaction_with_the_doctors_response,How_often_do_you_receive_call_center_news,target
0,Female,40-49,Bachelor,Kuwaiti,Married,Farwaniya,Yes,Yes,Vaccination,4.857,5.0,3.8,1
1,Female,40-49,Bachelor,Kuwaiti,Married,Capital,Yes,Yes,Inquiries,5.0,5.0,5.0,1
2,Female,30-39,Diploma,Kuwaiti,Single,Around,Yes,Yes,Inquiries,4.714,4.857,2.7,1
3,Female,40-49,Bachelor,Other nationality,Married,Around,Yes,Yes,Inquiries_COVID19,5.0,5.0,2.6,1
4,Female,18-24,High school,Kuwaiti,Single,AlAhmadi,Yes,Yes,Inquiries,5.0,5.0,5.0,1
5,Female,18-24,Bachelor,Kuwaiti,Married,Capital,Yes,Yes,Inquiries,5.0,4.857,4.1,1
6,Female,25-29,High school,Kuwaiti,Single,Capital,Yes,Yes,Medical_Consultation,2.571,5.0,3.7,1
7,Female,18-24,High school,Kuwaiti,Single,Around,Yes,Yes,Inquiries,4.0,4.857,4.6,1
8,Female,18-24,High school,Unspecified,Single,Jahra,Yes,Yes,Inquiries_COVID19,5.0,5.0,4.5,1
9,Female,30-39,Diploma,Kuwaiti,Married,Jahra,Yes,Yes,Inquiries_COVID19,4.429,4.571,4.2,1
10,Female,18-24,Bachelor,Kuwaiti,Single,Jahra,Yes,Yes,Inquiries,4.143,5.0,3.8,1
11,Female,18-24,Bachelor,Kuwaiti,Married,Capital,Yes,Yes,Inquiries,4.857,5.0,3.9,1
12,Female,18-24,High school,Kuwaiti,Single,Farwaniya,Yes,Yes,Inquiries_COVID19,5.0,4.857,4.5,1
13,Female,30-39,High school,Other nationality,Married,Capital,Yes,Yes,Inquiries,5.0,5.0,5.0,1
14,Female,25-29,High school,Kuwaiti,Married,Farwaniya,Yes,Yes,Inquiries_COVID19,5.0,4.857,4.2,1
15,Female,30-39,Diploma,Kuwaiti,Married,AlAhmadi,Yes,Yes,Vaccination,5.0,5.0,3.5,1
16,Female,18-24,Bachelor,Kuwaiti,Single,Capital,Yes,Yes,Inquiries,5.0,5.0,5.0,1
17,Female,18-24,Bachelor,Other nationality,Married,Around,Yes,Yes,Inquiries,5.0,4.0,4.3,1
18,Female,25-29,Bachelor,Kuwaiti,Single,Jahra,Yes,Yes,Inquiries_COVID19,5.0,5.0,2.2,1
19,Female,30-39,Diploma,Other nationality,Married,Jahra,Yes,Yes,Inquiries,5.0,5.0,5.0,1
20,Male,30-39,Bachelor,Kuwaiti,Married,Mubarak AlKabir,Yes,Yes,Inquiries,5.0,5.0,4.9,1
21,Male,25-29,Bachelor,Kuwaiti,Married,Farwaniya,Yes,Yes,Inquiries,3.714,4.429,5.0,1
22,Male,18-24,High school,Kuwaiti,Single,Jahra,Yes,Yes,Medical_Consultation,5.0,5.0,2.0,1
23,Male,25-29,Diploma,Kuwaiti,Single,Mubarak AlKabir,Yes,Yes,Inquiries,5.0,5.0,5.0,1
24,Male,18-24,High school,Kuwaiti,Single,Capital,Yes,Yes,Inquiries,3.429,4.286,4.6,1
25,Male,18-24,Bachelor,Kuwaiti,Single,Capital,Yes,Yes,Vaccination,5.0,5.0,3.7,1
26,Male,18-24,Diploma,Kuwaiti,Single,Around,Yes,Yes,Inquiries,5.0,5.0,5.0,1
