Date,Primary Type,Description,Location Description,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,target
01/22/2025 09:50:00 PM,BATTERY,SIMPLE,NURSING / RETIREMENT HOME,0,2013,20,48,77,08B,1167328.0,1936340.0,2025,41.980874051,-87.659992014,0
01/04/2025 10:00:00 PM,THEFT,OVER $500,STREET,0,1232,12,25,28,06,1170877.0,1893167.0,2025,41.862327927,-87.64820859,0
01/11/2025 03:30:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,GAS STATION,1,623,6,6,69,08B,1180265.0,1853045.0,2025,41.752019022,-87.614977963,0
01/13/2025 09:30:00 PM,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,0,1512,15,29,25,08A,1138578.0,1900413.0,2025,41.88285803,-87.766599362,0
01/12/2025 12:00:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,CTA BUS,1,2535,25,26,23,08B,1149765.0,1909950.0,2025,41.908818472,-87.725271645,0
01/06/2025 08:00:00 AM,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,0,2433,24,48,77,06,1168110.0,1941511.0,2025,41.995046487,-87.656965907,0
01/16/2025 08:25:00 PM,THEFT,RETAIL THEFT,DEPARTMENT STORE,0,112,1,34,32,06,1176364.0,1900524.0,2025,41.882394062,-87.627844798,0
01/25/2025 03:38:00 AM,THEFT,$500 AND UNDER,BAR OR TAVERN,0,2413,24,40,2,06,1158106.0,1939768.0,2025,41.990474552,-87.693813313,0
01/16/2025 01:44:00 PM,CRIMINAL TRESPASS,TO LAND,SMALL RETAIL STORE,0,2032,20,47,3,26,1164633.0,1931946.0,2025,41.968874463,-87.670028413,1
01/14/2025 03:25:00 PM,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,0,2013,20,48,77,06,1166936.0,1937810.0,2025,41.984916218,-87.661391241,0
01/19/2025 02:37:00 AM,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,0,1532,15,37,25,26,1142624.0,1902464.0,2025,41.888411942,-87.751691042,0
01/23/2025 12:30:00 AM,THEFT,$500 AND UNDER,RESTAURANT,0,1221,12,36,24,06,1162746.0,1905337.0,2025,41.895897635,-87.677715036,0
01/09/2025 04:41:00 PM,ASSAULT,SIMPLE,APARTMENT,0,631,6,8,44,08A,1183477.0,1850812.0,2025,41.74581724,-87.603276976,0
01/12/2025 02:43:00 AM,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,0,312,3,20,69,24,1177349.0,1862968.0,2025,41.779315147,-87.625364423,1
01/23/2025 12:30:00 PM,CRIMINAL TRESPASS,TO STATE SUP LAND,LIBRARY,0,1221,12,27,23,26,1154906.0,1904762.0,2025,41.894480568,-87.706525192,1
