,Gender,Age,Department,Amount of time spent reading books per day,Reason for reading books,How to manage books for reading,Number of e-books you read last two years,Number of printed books you read last two years,Favorite books for reading to spend leisure time,What is the change that you fell after reading books,Who influenced you to read books,Which language books do you like to read,Where do you read printed books,Do you read Newspaper,The format that you used for reading books,Frequency of reading books,target
0,Male,22,CSE,4,Academic Purpose,E-books,11-15,11-15,Biography,Increase Academic Performance,Teachers,English,Home,No,Both,On everyday basis,1
1,Male,23,CSE,2,Keep me informative,E-books,More than 20,1-5,Non-Fiction,Increase Creative Thinking,Self-Decision,English,Library,Yes,Both,A few times a week,0
2,Male,22,CSE,1,Academic Purpose,E-books,1-5,1-5,Others,Increase Creative Thinking,Self-Decision,English,Home,No,E-books,A few times a month,0
3,Female,21,CSE,1,Entertainment Purpose,Borrow,1-5,1-5,Others,Feel Relax,Friends,Bangla,Home,Yes,Printed,A few times a week,1
4,Male,23,CSE,1,Keep me informative,E-books,More than 20,1-5,Others,Feel Relax,Self-Decision,Bangla,Home,No,Both,Less than once a year,0
5,Male,21,CSE,4,Keep me informative,E-books,6-10,6-10,Biography,Increase Problem Solving Skill,Self-Decision,Bangla,Home,Yes,E-books,On everyday basis,1
6,Male,22,SWE,1,Academic Purpose,E-books,More than 20,1-5,Biography,Increase Creative Thinking,Self-Decision,English,Home,Yes,E-books,A few times a month,1
7,Male,23,CSE,1,Academic Purpose,E-books,1-5,6-10,Non-Fiction,Increase Creative Thinking,Parents,English,Home,Yes,Both,On everyday basis,1
8,Male,23,CSE,2,Keep me informative,Others,11-15,6-10,Others,Increase Academic Performance,Self-Decision,English,Home,No,Both,A few times a week,1
9,Male,23,CSE,1,Keep me informative,E-books,1-5,6-10,Fiction,Increase Creative Thinking,Self-Decision,English,Library,No,E-books,On everyday basis,0
10,Female,21,English,3,Entertainment Purpose,Borrow,6-10,More than 20,Others,Feel Relax,Self-Decision,Bangla,Home,No,Printed,On everyday basis,0
11,Male,20,CSE,3,Academic Purpose,E-books,6-10,1-5,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Library,No,Both,A few times a week,1
12,Female,20,Pharmacy,1,Keep me informative,Buy,1-5,6-10,Others,Increase Academic Performance,Self-Decision,English,Home,No,Printed,A few times a week,1
13,Male,20,SWE,1,Academic Purpose,Buy,6-10,1-5,Fiction,Increase Creative Thinking,Self-Decision,English,Home,No,Both,A few times a month,1
14,Female,20,English,1,To increase my English vocabulary knowledge,Buy,,1-5,Fiction,Increase Academic Performance,Parents,Bangla,Library,No,Printed,Less than once a year,1
15,Male,21,English,5,Academic Purpose,Buy,More than 20,More than 20,Others,Increase Academic Performance,Teachers,Bangla,Library,No,Printed,On everyday basis,1
16,Male,22,CSE,1,Academic Purpose,E-books,More than 20,1-5,Others,Increase Academic Performance,Self-Decision,Bangla,Home,No,Both,A few times a week,0
17,Male,21,CSE,1,Academic Purpose,E-books,1-5,1-5,Fiction,Increase Problem Solving Skill,Parents,Bangla,Home,Yes,Both,A few times a week,1
18,Male,23,Pharmacy,1,Academic Purpose,Others,,1-5,Others,Increase Academic Performance,Self-Decision,English,Home,No,Printed,On everyday basis,1
19,Male,19,SWE,1,Entertainment Purpose,E-books,1-5,6-10,Others,Increase Problem Solving Skill,Parents,English,Home,Yes,E-books,On everyday basis,1
20,Male,23,SWE,2,Academic Purpose,Buy,More than 20,More than 20,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Printed,On everyday basis,0
21,Male,23,CSE,1,Entertainment Purpose,Buy,,More than 20,Fiction,Feel Relax,Self-Decision,Bangla,Home,Yes,Printed,On everyday basis,0
22,Male,19,SWE,4,To increase my English vocabulary knowledge,E-books,6-10,1-5,Biography,Increase Creative Thinking,Self-Decision,English,Home,Yes,E-books,On everyday basis,0
23,Male,22,SWE,1,Entertainment Purpose,E-books,6-10,1-5,Fiction,Increase Creative Thinking,Self-Decision,English,Home,Yes,E-books,On everyday basis,0
24,Female,22,CSE,1,Entertainment Purpose,E-books,11-15,6-10,Fiction,Increase Creative Thinking,Teachers,Bangla,Library,Yes,E-books,Once or twice a year,1
25,Male,21,SWE,2,Keep me informative,E-books,6-10,1-5,Others,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Both,A few times a week,0
26,Male,20,English,2,Academic Purpose,Buy,,More than 20,Non-Fiction,Increase Creative Thinking,Teachers,English,Home,Yes,E-books,On everyday basis,1
27,Male,23,SWE,1,To increase my English vocabulary knowledge,E-books,1-5,1-5,Biography,Increase Creative Thinking,Teachers,English,Home,Yes,Both,Less than once a year,1
28,Female,22,SWE,1,Entertainment Purpose,E-books,1-5,1-5,Fiction,Feel Relax,Friends,Bangla,Home,No,Printed,A few times a month,0
