Vmag,Plx,e_Plx,B-V,SpType,Amag,target
8.76,13.06,1.23,0.594,G1V,19.339716,0
8.29,7.19,0.83,0.402,F3V,17.573645,0
8.13,10.03,1.12,0.559,F7IV,18.136505,0
7.99,5.26,0.9,-0.058,B8/B9V,16.594929,0
7.65,77.03,0.91,1.113,K5V,22.0833,0
8.45,8.2,1.09,0.443,F5V,18.01907,0
8.49,1.47,0.79,-0.085,B3III/IV,14.326587,0
8.59,2.54,2.02,0.314,A4V+...,15.614168,0
7.5,2.81,0.99,1.397,K3III,14.743532,1
9.09,2.45,1.36,0.075,B9V,16.035831,0
8.37,1.44,1.26,1.284,K1III,14.161812,1
6.33,1.85,0.73,-0.09,B5IV,12.665859,0
5.32,5.22,0.72,-0.076,B5V,13.908352,0
8.29,3.03,0.71,1.117,K0III,15.697213,1
1.79,22.55,1.02,-0.031,B9.5III,13.555733,1
6.1,4.62,0.82,1.55,M4III,14.42321,1
7.74,3.46,0.61,0.03,B9.5V,15.43538,0
8.24,3.82,0.8,1.416,K3III,16.150318,1
8.54,-0.31,1.3,0.537,B0.5Ia,10.996808,1
8.65,6.11,1.1,0.512,F3/F5V,17.580206,0
9.78,7.92,1.66,0.515,F6/F7V,19.273624,0
8.61,5.44,0.77,0.468,F3/F5V,17.287994,0
8.65,4.4,1.5,0.502,F5V,16.867264,0
9.64,9.8,1.57,0.703,G6V,19.59613,0
9.99,3.23,1.38,0.481,G0V,17.536013,0
8.85,5.37,1.16,0.293,A4IV,17.499872,0
9.99,-1.1,1.69,0.172,B7/B8V,15.196963,0
8.45,1.67,1.17,1.625,M2III,14.563581,1
9.23,0.81,0.88,0.954,G8III,13.772425,1
8.91,0.78,1.36,1.15,G8III,13.370473,1
4.68,8.68,0.53,-0.115,B5V,14.372599,0
9.18,13.69,0.82,0.721,G6/G8V,19.862019,0
8.25,5.92,1.41,0.47,F3V,17.111609,0
7.73,14.53,0.6,0.501,F6/F7V,18.541328,0
5.39,16.56,0.55,0.03,A1V,16.485302,0
5.95,79.48,0.77,0.754,K0V,20.45129,0
7.45,10.37,0.83,0.352,F0IV/V,17.528893,0
7.7,16.46,0.72,0.456,F6V,18.782148,0
9.18,2.82,1.93,0.86,G8III,16.431246,1
9.8,6.98,1.62,0.432,F5V,19.019276,0
7.87,1.33,1.07,-0.062,B4IV,13.489258,0
8.89,25.63,0.98,1.052,K2V,20.933743,0
9.49,4.96,1.95,0.576,F7V,17.967407,0
8.64,-1.1,1.15,0.098,B0.5Ia,13.846964,1
5.89,9.43,0.88,1.109,K0III-IV,15.762558,0
6.34,40.79,0.86,0.708,G5V,19.392769,0
8.44,2.83,0.95,-0.06,B8II,15.698932,1
10.22,12.33,1.7,-0.219,B9V,20.674816,0
8.62,2.7,1.71,0.403,F3V,15.776819,0
9.02,7.81,1.3,0.798,G2III,18.483255,1
7.17,5.3,0.59,0.144,A3V,15.791379,0
7.15,2.75,1.03,1.631,M1III,14.346664,1
8.44,9.61,0.65,0.7,G3IV,18.353617,0
8.65,13.69,0.66,0.597,G0V,19.332018,0
7.67,8.06,0.76,0.271,A8IV,17.201675,0
7.76,12.34,1.08,0.389,F0V,18.216576,0
8.52,2.19,1.02,0.64,F6/F7V,15.222221,0
9.44,23.45,1.48,0.94,K3V,21.290714,0
6.76,7.75,1.25,0.12,A0III/IV,16.206509,0
6.95,5.26,0.7,0.991,K0III,15.554929,1
6.9,27.26,0.91,0.531,F8V,19.07763,0
9.02,4.71,1.61,0.425,F0V,17.385105,0
8.84,2.9,1.21,0.143,A2IV,16.15199,0
8.84,9.42,1.1,0.515,F8V,18.710255,0
6.93,8.22,0.91,0.188,A4V,16.504358,0
8.81,2.83,0.8,0.122,B9V,16.068932,0
8.37,2.37,0.98,0.064,A0III/IV,15.243742,0
3.76,23.49,0.78,1.012,K0III,15.614415,1
9.55,4.07,1.55,0.48,F2/F3V,17.597973,0
8.02,6.68,1.14,0.283,A8IV,17.143883,0
10.0,31.66,6.19,1.213,K7V,22.502556,0
6.51,21.43,0.98,0.5,F7V,18.165112,0
6.94,25.77,1.07,0.521,F7V,18.995573,0
8.24,10.74,1.33,0.859,G8IV,18.395021,0
8.45,1.37,0.83,0.038,B8/B9IV,14.133602,0
7.3,1.44,0.78,-0.177,B2IV/V,13.091812,0
8.52,3.87,0.91,0.354,F0V,16.458555,0
9.35,10.5,1.45,0.759,G5V,19.455946,0
8.78,17.28,1.23,0.738,G8IV/V,19.967716,0
8.26,5.06,0.91,0.046,A0V,16.780752,0
9.01,4.52,1.16,0.073,A0V,17.285692,0
5.94,8.04,1.04,0.336,F2Vn,15.46628,0
9.42,-0.01,3.44,0.633,F5:IV/V+...,4.42,0
9.7,1.66,0.94,0.479,F6/F7IV,15.80054,0
8.51,3.3,0.93,-0.06,B7V,16.10257,0
8.22,17.05,1.08,0.594,G1V,19.37862,0
6.5,8.28,0.56,0.997,K0III,16.09015,1
9.04,5.95,1.5,0.569,F6V,17.912584,0
9.3,6.07,1.31,0.671,G3V,18.215942,0
7.86,10.17,1.05,0.38,F0V,17.896605,0
7.57,48.06,1.14,0.868,K2V,20.978918,0
8.43,5.3,1.0,0.426,F0IV/V,17.05138,0
7.17,9.08,0.99,0.328,F0IV,16.96043,0
7.83,7.86,0.75,0.463,F5V,17.307114,0
5.78,2.31,1.0,1.646,M1III,12.598061,1
8.96,2.29,0.85,0.151,B9:Vn...,15.759178,0
7.66,3.96,0.65,1.025,K0III,15.648476,1
8.74,2.36,1.11,0.18,A3V,15.604559,0
7.63,3.89,1.21,0.038,A1V,15.579748,0
9.04,0.17,1.38,1.29,K1/K2III,10.192245,1
8.6,3.66,1.24,0.023,A0V,16.417406,0
9.38,10.7,1.39,0.692,G5IV,19.526918,0
