dataset,shot,mean_auc,std_auc,mean_std,n_success
bank_credit_scoring,0,0.6965181415443196,0.027951230968001322,0.04467038022935302,5
bank_credit_scoring,4,0.6336872551532238,0.040354664684198356,0.01788749908595962,5
bank_credit_scoring,8,0.65797971661846,0.028947858065231508,0.039741621479681084,5
bank_credit_scoring,16,0.6993153443415224,0.018973058758633508,0.02636495131164978,5
bank_credit_scoring,32,0.747545125032036,0.02608495211163793,0.033066311312784744,5
bank_credit_scoring,64,0.7156189360377841,0.07742724584573017,0.02263277269843774,5
callcenter,0,0.637825,0.052386247466401976,0.0514211266044321,5
callcenter,4,0.6625666666666666,0.04850285107599345,0.03564097044973176,5
callcenter,8,0.63775,0.03659768606073346,0.030945265193554377,5
callcenter,16,0.6455916666666666,0.032537857224743234,0.027177769631322395,5
callcenter,32,0.6280583333333334,0.0977099617845818,0.030569850693319862,5
callcenter,64,0.6703083333333334,0.02894183582827998,0.019393046340149843,5
postpartum,0,0.7305299145299144,0.013886172573884937,0.029201347064853,5
postpartum,4,0.7064102564102563,0.06558334838734603,0.04483703821010235,4
postpartum,8,0.680991452991453,0.07857219395194187,0.01681734025044564,5
postpartum,16,0.7082507122507122,0.09933672738512163,0.03497568802157212,5
postpartum,32,0.7291452991452991,0.08542686941626058,0.0074875947855657194,5
postpartum,64,0.727948717948718,0.08705320164543894,0.025194931223451556,5
machine,0,0.5508034188034188,0.009439338063416357,0.009801883960524421,5
machine,4,0.5522051282051281,0.01983033424102441,0.012934969582067479,5
machine,8,0.5554829059829058,0.023339489380778684,0.012677150101453599,5
machine,16,0.5414914529914531,0.007032907943466992,0.01659051417535016,5
machine,32,0.5327435897435897,0.01700253028915031,0.0100982818002676,5
machine,64,0.5466410256410257,0.018809047574379498,0.007448181244794479,5
stars,0,0.9591043307086615,0.02381354194576876,0.0098052893437996,4
stars,4,0.9479970472440945,0.0179845250974285,0.01371761090743862,5
stars,8,0.9562057086614175,0.0143811809932889,0.014077391215037,5
stars,16,0.9624212598425197,0.014541869005802099,0.01090316397907414,5
stars,32,0.9544340551181103,0.01998245426078729,0.016954210588473538,5
stars,64,0.9719045275590551,0.013165593437895227,0.014966483477396677,5
crimes_arrest,0,0.618571964017991,0.07858469040854901,0.03657062417638978,5
crimes_arrest,4,0.5946901549225387,0.08088284883401227,0.028894126087347483,5
crimes_arrest,8,0.6509057971014492,0.09739422137639965,0.02496121524283486,5
crimes_arrest,16,0.7287918540729635,0.0890626860493182,0.025356537394527638,5
crimes_arrest,32,0.6955647176411794,0.04707245016010736,0.0270467884593103,5
crimes_arrest,64,0.8008808095952024,0.04452050689755737,0.02104564577841994,5
reading,0,0.6198761261261262,0.029147366131407854,0.008999624624624567,3
reading,4,0.6631531531531532,0.06835901663514654,0.020868474723838397,5
reading,8,0.7324605855855855,0.05865451647841651,0.038985958564202575,4
reading,16,0.7273986486486487,0.06169960672361073,0.03986315030180047,5
reading,32,0.7533333333333333,0.03444209857527753,0.03140824302414432,5
reading,64,0.8029504504504505,0.029988582273191077,0.03035693138529006,5
extrovert,0,0.5753489728738697,0.008057983944955141,0.01421133547013698,5
extrovert,4,0.5847868661194215,0.02356520227449744,0.02506194071464398,5
extrovert,8,0.5660485853577233,0.03532753070976416,0.019950664469563017,5
extrovert,16,0.5922288428684529,0.048136928473864436,0.014000520092503941,5
extrovert,32,0.5801491728822035,0.043311175510943566,0.016647349439633218,5
extrovert,64,0.5822534272261345,0.03668035268188474,0.011662207588652978,5
