,,Models,,,,,,,,,,,,,,,,,
Dataset,Serialization,Qwen3-8B,Qwen3-14B,GPT-4o-mini,,,,,,,,,,,,,,,
,,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64
callcenter,feat_val,0.510 ± 0.000,0.674 ± 0.029,0.698 ± 0.041,0.686 ± 0.029,0.689 ± 0.036,0.706 ± 0.024,0.543 ± 0.000,0.678 ± 0.033,0.676 ± 0.043,0.656 ± 0.024,0.658 ± 0.052,0.680 ± 0.035,0.522 ± 0.010,0.685 ± 0.041,0.686 ± 0.040,0.689 ± 0.013,0.670 ± 0.049,0.682 ± 0.028
,feat_val_mask,0.543 ± 0.000,0.592 ± 0.064,0.580 ± 0.062,0.575 ± 0.062,0.608 ± 0.053,0.591 ± 0.057,0.524 ± 0.000,0.581 ± 0.072,0.559 ± 0.054,0.535 ± 0.018,0.584 ± 0.043,0.551 ± 0.044,0.555 ± 0.013,0.542 ± 0.023,0.565 ± 0.065,0.553 ± 0.052,0.557 ± 0.054,0.579 ± 0.039
,html,0.503 ± 0.000,0.670 ± 0.075,0.707 ± 0.034,0.689 ± 0.065,0.657 ± 0.032,0.683 ± 0.032,0.539 ± 0.000,0.711 ± 0.029,0.725 ± 0.030,0.710 ± 0.036,0.706 ± 0.031,0.707 ± 0.020,0.510 ± 0.010,0.685 ± 0.015,0.697 ± 0.045,0.683 ± 0.035,0.669 ± 0.023,0.696 ± 0.049
,markdown,0.529 ± 0.000,0.668 ± 0.080,0.696 ± 0.066,0.673 ± 0.041,0.681 ± 0.040,0.680 ± 0.049,0.502 ± 0.000,0.682 ± 0.054,0.682 ± 0.053,0.685 ± 0.050,0.666 ± 0.075,0.683 ± 0.038,0.523 ± 0.017,0.653 ± 0.036,0.685 ± 0.015,0.681 ± 0.028,0.668 ± 0.027,0.665 ± 0.039
,markdown_mask,0.505 ± 0.002,0.638 ± 0.055,0.654 ± 0.053,0.654 ± 0.036,0.644 ± 0.036,0.664 ± 0.036,0.568 ± 0.000,0.637 ± 0.079,0.640 ± 0.066,0.632 ± 0.032,0.588 ± 0.049,0.588 ± 0.041,0.538 ± 0.013,0.595 ± 0.048,0.608 ± 0.046,0.588 ± 0.061,0.554 ± 0.038,0.559 ± 0.062
hiring,feat_val,0.564 ± 0.000,0.572 ± 0.021,0.580 ± 0.020,0.586 ± 0.023,0.573 ± 0.014,0.563 ± 0.028,0.553 ± 0.000,0.556 ± 0.021,0.562 ± 0.026,0.554 ± 0.020,0.553 ± 0.020,0.548 ± 0.018,0.573 ± 0.003,0.581 ± 0.019,0.582 ± 0.020,0.583 ± 0.020,0.596 ± 0.023,0.605 ± 0.022
,feat_val_mask,0.596 ± 0.000,0.628 ± 0.008,0.596 ± 0.022,0.604 ± 0.055,0.580 ± 0.033,0.609 ± 0.054,0.641 ± 0.000,0.603 ± 0.038,0.594 ± 0.032,0.602 ± 0.038,0.578 ± 0.045,0.589 ± 0.048,0.605 ± 0.012,0.603 ± 0.026,0.592 ± 0.023,0.613 ± 0.031,0.619 ± 0.034,0.605 ± 0.024
,html,0.558 ± 0.000,0.556 ± 0.012,0.581 ± 0.019,0.586 ± 0.031,0.569 ± 0.017,0.589 ± 0.020,0.521 ± 0.000,0.536 ± 0.012,0.538 ± 0.032,0.548 ± 0.019,0.538 ± 0.021,0.545 ± 0.013,0.552 ± 0.007,0.581 ± 0.014,0.584 ± 0.017,0.595 ± 0.019,0.580 ± 0.015,0.582 ± 0.016
,markdown,0.583 ± 0.000,0.571 ± 0.009,0.578 ± 0.044,0.597 ± 0.027,0.570 ± 0.020,0.549 ± 0.015,0.529 ± 0.000,0.539 ± 0.006,0.541 ± 0.021,0.563 ± 0.017,0.555 ± 0.019,0.555 ± 0.013,0.578 ± 0.005,0.565 ± 0.011,0.572 ± 0.006,0.575 ± 0.011,0.566 ± 0.022,0.574 ± 0.019
,markdown_mask,0.623 ± 0.007,0.608 ± 0.030,0.579 ± 0.046,0.621 ± 0.022,0.576 ± 0.036,0.584 ± 0.045,0.624 ± 0.000,0.614 ± 0.039,0.599 ± 0.034,0.624 ± 0.016,0.612 ± 0.035,0.598 ± 0.034,0.617 ± 0.005,0.577 ± 0.022,0.565 ± 0.030,0.579 ± 0.015,0.568 ± 0.013,0.578 ± 0.022
telco,feat_val,0.619 ± 0.000,0.723 ± 0.049,0.737 ± 0.064,0.752 ± 0.008,0.727 ± 0.031,0.747 ± 0.016,0.827 ± 0.000,0.787 ± 0.043,0.782 ± 0.032,0.802 ± 0.020,0.804 ± 0.012,0.814 ± 0.004,0.807 ± 0.001,0.790 ± 0.021,0.788 ± 0.022,0.803 ± 0.010,0.730 ± 0.051,0.756 ± 0.036
,feat_val_mask,0.515 ± 0.000,0.536 ± 0.041,0.627 ± 0.101,0.660 ± 0.031,0.705 ± 0.036,0.725 ± 0.037,0.676 ± 0.000,0.751 ± 0.036,0.776 ± 0.033,0.784 ± 0.016,0.804 ± 0.005,0.809 ± 0.017,0.576 ± 0.005,0.681 ± 0.066,0.741 ± 0.063,0.789 ± 0.012,0.740 ± 0.054,0.764 ± 0.030
,html,0.580 ± 0.001,0.665 ± 0.053,0.736 ± 0.067,0.748 ± 0.016,0.762 ± 0.030,0.765 ± 0.012,0.816 ± 0.000,0.790 ± 0.029,0.766 ± 0.036,0.760 ± 0.043,0.779 ± 0.009,0.782 ± 0.006,0.741 ± 0.004,0.808 ± 0.015,0.810 ± 0.008,0.816 ± 0.007,0.759 ± 0.028,0.752 ± 0.044
,markdown,0.504 ± 0.001,0.641 ± 0.082,0.670 ± 0.064,0.701 ± 0.025,0.735 ± 0.051,0.713 ± 0.045,0.761 ± 0.000,0.801 ± 0.026,0.801 ± 0.018,0.765 ± 0.035,0.787 ± 0.010,0.806 ± 0.014,0.773 ± 0.003,0.812 ± 0.017,0.808 ± 0.015,0.816 ± 0.009,0.760 ± 0.032,0.770 ± 0.011
,markdown_mask,0.547 ± 0.009,0.554 ± 0.054,0.602 ± 0.060,0.651 ± 0.063,0.649 ± 0.047,0.591 ± 0.071,0.639 ± 0.000,0.759 ± 0.030,0.742 ± 0.020,0.725 ± 0.017,0.739 ± 0.011,0.753 ± 0.011,0.761 ± 0.003,0.730 ± 0.034,0.783 ± 0.036,0.780 ± 0.028,0.739 ± 0.048,0.734 ± 0.030
marketing,feat_val,0.688 ± 0.001,0.818 ± 0.018,0.807 ± 0.012,0.811 ± 0.017,0.807 ± 0.012,0.800 ± 0.014,0.771 ± 0.000,0.791 ± 0.021,0.785 ± 0.026,0.779 ± 0.020,0.784 ± 0.009,0.776 ± 0.017,0.754 ± 0.005,0.781 ± 0.014,0.777 ± 0.025,0.779 ± 0.019,0.778 ± 0.017,0.775 ± 0.010
,feat_val_mask,0.522 ± 0.001,0.621 ± 0.052,0.618 ± 0.043,0.649 ± 0.053,0.678 ± 0.031,0.657 ± 0.030,0.553 ± 0.000,0.600 ± 0.071,0.604 ± 0.015,0.645 ± 0.069,0.625 ± 0.023,0.629 ± 0.026,0.580 ± 0.008,0.564 ± 0.057,0.630 ± 0.045,0.588 ± 0.034,0.564 ± 0.033,0.548 ± 0.011
,html,0.692 ± 0.002,0.783 ± 0.014,0.762 ± 0.011,0.766 ± 0.018,0.753 ± 0.014,0.769 ± 0.024,0.732 ± 0.000,0.727 ± 0.013,0.719 ± 0.016,0.718 ± 0.015,0.719 ± 0.011,0.707 ± 0.005,0.622 ± 0.007,0.636 ± 0.005,0.637 ± 0.011,0.633 ± 0.012,0.634 ± 0.008,0.641 ± 0.014
,markdown,0.655 ± 0.010,0.773 ± 0.021,0.765 ± 0.033,0.790 ± 0.017,0.778 ± 0.007,0.779 ± 0.004,0.673 ± 0.000,0.748 ± 0.008,0.743 ± 0.009,0.739 ± 0.013,0.742 ± 0.024,0.723 ± 0.017,0.613 ± 0.007,0.673 ± 0.009,0.671 ± 0.014,0.654 ± 0.024,0.659 ± 0.012,0.661 ± 0.024
,markdown_mask,0.618 ± 0.010,0.602 ± 0.023,0.593 ± 0.019,0.625 ± 0.080,0.584 ± 0.049,0.643 ± 0.025,0.562 ± 0.000,0.548 ± 0.046,0.546 ± 0.035,0.565 ± 0.063,0.554 ± 0.028,0.538 ± 0.020,0.542 ± 0.008,0.551 ± 0.042,0.564 ± 0.025,0.559 ± 0.031,0.616 ± 0.034,0.625 ± 0.020
hiring_ls_qwen,feat_val,0.589 ± 0.000,0.759 ± 0.025,0.741 ± 0.017,0.741 ± 0.015,0.728 ± 0.011,0.757 ± 0.015,0.658 ± 0.000,0.732 ± 0.032,0.737 ± 0.014,0.742 ± 0.030,0.743 ± 0.020,0.774 ± 0.012,--,--,--,--,--,--
,feat_val_mask,0.554 ± 0.000,0.630 ± 0.030,0.620 ± 0.046,0.585 ± 0.058,0.616 ± 0.019,0.602 ± 0.037,0.542 ± 0.000,0.713 ± 0.054,0.727 ± 0.024,0.723 ± 0.062,0.745 ± 0.053,0.726 ± 0.048,--,--,--,--,--,--
,html,0.629 ± 0.002,0.677 ± 0.014,0.702 ± 0.020,0.719 ± 0.033,0.730 ± 0.036,0.744 ± 0.046,0.582 ± 0.000,0.730 ± 0.034,0.704 ± 0.027,0.709 ± 0.015,0.693 ± 0.012,0.723 ± 0.012,--,--,--,--,--,--
,markdown,0.570 ± 0.000,0.692 ± 0.025,0.667 ± 0.015,0.712 ± 0.063,0.711 ± 0.032,0.708 ± 0.022,0.556 ± 0.000,0.726 ± 0.031,0.705 ± 0.008,0.702 ± 0.027,0.702 ± 0.018,0.724 ± 0.027,--,--,--,--,--,--
,markdown_mask,0.557 ± 0.003,0.588 ± 0.028,0.620 ± 0.072,0.583 ± 0.064,0.591 ± 0.043,0.602 ± 0.060,0.514 ± 0.000,0.718 ± 0.059,0.662 ± 0.078,0.655 ± 0.101,0.680 ± 0.086,0.673 ± 0.063,--,--,--,--,--,--
telco_ls_qwen,feat_val,0.752 ± 0.000,0.727 ± 0.059,0.778 ± 0.047,0.818 ± 0.062,0.830 ± 0.036,0.793 ± 0.055,0.645 ± 0.000,0.616 ± 0.077,0.715 ± 0.067,0.630 ± 0.111,0.795 ± 0.081,0.716 ± 0.073,--,--,--,--,--,--
,feat_val_mask,0.735 ± 0.000,0.557 ± 0.040,0.517 ± 0.015,0.565 ± 0.047,0.611 ± 0.066,0.619 ± 0.070,0.671 ± 0.000,0.581 ± 0.030,0.554 ± 0.022,0.600 ± 0.040,0.544 ± 0.034,0.599 ± 0.031,--,--,--,--,--,--
,html,0.691 ± 0.002,0.598 ± 0.075,0.595 ± 0.065,0.554 ± 0.026,0.558 ± 0.044,0.623 ± 0.096,0.720 ± 0.000,0.816 ± 0.045,0.877 ± 0.087,0.722 ± 0.132,0.801 ± 0.124,0.715 ± 0.115,--,--,--,--,--,--
,markdown,0.895 ± 0.001,0.727 ± 0.021,0.727 ± 0.079,0.713 ± 0.108,0.713 ± 0.079,0.725 ± 0.053,0.732 ± 0.000,0.608 ± 0.119,0.737 ± 0.146,0.580 ± 0.058,0.674 ± 0.093,0.577 ± 0.068,--,--,--,--,--,--
,markdown_mask,0.608 ± 0.038,0.766 ± 0.065,0.774 ± 0.042,0.720 ± 0.092,0.697 ± 0.042,0.737 ± 0.070,0.578 ± 0.000,0.618 ± 0.039,0.597 ± 0.034,0.603 ± 0.033,0.584 ± 0.013,0.621 ± 0.052,--,--,--,--,--,--
marketing_ls_qwen,feat_val,0.661 ± 0.001,0.723 ± 0.026,0.707 ± 0.031,0.701 ± 0.015,0.700 ± 0.038,0.697 ± 0.020,0.666 ± 0.000,0.756 ± 0.020,0.756 ± 0.021,0.745 ± 0.025,0.755 ± 0.017,0.761 ± 0.038,--,--,--,--,--,--
,feat_val_mask,0.502 ± 0.000,0.553 ± 0.055,0.560 ± 0.049,0.549 ± 0.046,0.532 ± 0.033,0.575 ± 0.043,0.542 ± 0.000,0.550 ± 0.032,0.603 ± 0.060,0.618 ± 0.042,0.589 ± 0.042,0.599 ± 0.044,--,--,--,--,--,--
,html,0.558 ± 0.001,0.647 ± 0.019,0.660 ± 0.032,0.648 ± 0.017,0.643 ± 0.021,0.640 ± 0.020,0.644 ± 0.000,0.679 ± 0.018,0.685 ± 0.038,0.673 ± 0.026,0.654 ± 0.009,0.661 ± 0.025,--,--,--,--,--,--
,markdown,0.574 ± 0.008,0.625 ± 0.014,0.629 ± 0.017,0.632 ± 0.014,0.638 ± 0.025,0.629 ± 0.031,0.610 ± 0.000,0.722 ± 0.031,0.726 ± 0.024,0.686 ± 0.036,0.700 ± 0.019,0.713 ± 0.042,--,--,--,--,--,--
,markdown_mask,0.526 ± 0.009,0.579 ± 0.047,0.546 ± 0.033,0.565 ± 0.033,0.567 ± 0.044,0.583 ± 0.016,0.514 ± 0.000,0.583 ± 0.052,0.576 ± 0.021,0.579 ± 0.052,0.604 ± 0.078,0.599 ± 0.028,--,--,--,--,--,--
hiring_ls_gpt,feat_val,--,--,--,--,--,--,--,--,--,--,--,--,0.599 ± 0.011,0.644 ± 0.088,0.640 ± 0.109,0.718 ± 0.027,0.721 ± 0.048,0.704 ± 0.030
,feat_val_mask,--,--,--,--,--,--,--,--,--,--,--,--,0.525 ± 0.009,0.705 ± 0.042,0.679 ± 0.053,0.718 ± 0.036,0.725 ± 0.034,0.703 ± 0.040
