,,Models,,,,,,,,,,,,,,,,,
Dataset,Serialization,Qwen3-8B,Qwen3-14B,GPT-4o-mini,,,,,,,,,,,,,,,
,,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64
reading,feat_val,0.745 ± 0.002,0.747 ± 0.027,0.735 ± 0.028,0.731 ± 0.019,0.707 ± 0.032,0.699 ± 0.018,0.800 ± 0.000,0.775 ± 0.069,0.778 ± 0.068,0.790 ± 0.024,0.742 ± 0.035,0.771 ± 0.029,0.797 ± 0.003,0.815 ± 0.024,0.819 ± 0.011,0.797 ± 0.036,0.803 ± 0.030,0.799 ± 0.015
,feat_val_mask,0.810 ± 0.000,0.736 ± 0.055,0.748 ± 0.038,0.733 ± 0.037,0.728 ± 0.030,0.730 ± 0.028,0.734 ± 0.000,0.807 ± 0.052,0.804 ± 0.065,0.790 ± 0.039,0.774 ± 0.033,0.799 ± 0.020,0.816 ± 0.007,0.823 ± 0.014,0.823 ± 0.012,0.814 ± 0.037,0.833 ± 0.022,0.816 ± 0.027
,html,0.664 ± 0.003,0.739 ± 0.023,0.724 ± 0.038,0.702 ± 0.010,0.696 ± 0.060,0.696 ± 0.018,0.692 ± 0.000,0.784 ± 0.050,0.787 ± 0.030,0.788 ± 0.025,0.783 ± 0.041,0.805 ± 0.017,0.830 ± 0.006,0.827 ± 0.025,0.839 ± 0.022,0.806 ± 0.030,0.793 ± 0.040,0.792 ± 0.051
,markdown,0.582 ± 0.001,0.736 ± 0.034,0.732 ± 0.039,0.721 ± 0.028,0.746 ± 0.051,0.758 ± 0.035,0.663 ± 0.000,0.749 ± 0.050,0.776 ± 0.065,0.761 ± 0.032,0.743 ± 0.043,0.726 ± 0.044,0.843 ± 0.008,0.845 ± 0.015,0.846 ± 0.019,0.836 ± 0.014,0.833 ± 0.030,0.820 ± 0.017
,markdown_mask,0.609 ± 0.011,0.645 ± 0.023,0.682 ± 0.062,0.632 ± 0.017,0.697 ± 0.051,0.704 ± 0.023,0.818 ± 0.000,0.766 ± 0.076,0.765 ± 0.070,0.760 ± 0.030,0.765 ± 0.053,0.735 ± 0.060,0.845 ± 0.003,0.831 ± 0.024,0.842 ± 0.009,0.832 ± 0.020,0.840 ± 0.014,0.831 ± 0.005
student_famsup,feat_val,0.600 ± 0.000,0.550 ± 0.042,0.562 ± 0.035,0.566 ± 0.038,0.568 ± 0.031,0.572 ± 0.038,0.563 ± 0.000,0.578 ± 0.035,0.581 ± 0.016,0.602 ± 0.006,0.597 ± 0.018,0.604 ± 0.011,0.612 ± 0.006,0.583 ± 0.013,0.569 ± 0.016,0.555 ± 0.032,0.581 ± 0.011,0.597 ± 0.011
,feat_val_mask,0.551 ± 0.002,0.550 ± 0.024,0.535 ± 0.025,0.540 ± 0.038,0.577 ± 0.031,0.611 ± 0.026,0.551 ± 0.000,0.559 ± 0.011,0.544 ± 0.023,0.565 ± 0.034,0.570 ± 0.019,0.602 ± 0.017,0.524 ± 0.017,0.536 ± 0.027,0.546 ± 0.017,0.553 ± 0.031,0.554 ± 0.032,0.567 ± 0.040
,html,0.545 ± 0.004,0.571 ± 0.037,0.556 ± 0.036,0.581 ± 0.032,0.573 ± 0.018,0.576 ± 0.031,0.601 ± 0.000,0.583 ± 0.018,0.588 ± 0.020,0.590 ± 0.019,0.585 ± 0.013,0.584 ± 0.013,0.567 ± 0.009,0.573 ± 0.016,0.587 ± 0.008,0.593 ± 0.012,0.581 ± 0.013,0.577 ± 0.013
,markdown,0.589 ± 0.000,0.567 ± 0.021,0.570 ± 0.020,0.565 ± 0.036,0.577 ± 0.017,0.590 ± 0.009,0.594 ± 0.000,0.572 ± 0.018,0.569 ± 0.013,0.578 ± 0.016,0.592 ± 0.010,0.584 ± 0.011,0.581 ± 0.008,0.572 ± 0.017,0.565 ± 0.015,0.607 ± 0.016,0.606 ± 0.017,0.623 ± 0.017
,markdown_mask,0.502 ± 0.002,0.539 ± 0.030,0.537 ± 0.018,0.548 ± 0.034,0.558 ± 0.019,0.568 ± 0.009,0.531 ± 0.000,0.532 ± 0.020,0.551 ± 0.019,0.561 ± 0.022,0.561 ± 0.019,0.569 ± 0.017,0.525 ± 0.006,0.550 ± 0.028,0.575 ± 0.028,0.581 ± 0.019,0.609 ± 0.018,0.635 ± 0.020
tae,feat_val,0.715 ± 0.000,0.603 ± 0.050,0.693 ± 0.106,0.748 ± 0.069,0.771 ± 0.111,0.829 ± 0.050,0.763 ± 0.000,0.637 ± 0.076,0.689 ± 0.083,0.723 ± 0.087,0.756 ± 0.044,0.778 ± 0.025,0.800 ± 0.022,0.500 ± 0.000,0.675 ± 0.076,0.667 ± 0.114,0.791 ± 0.061,0.819 ± 0.034
,feat_val_mask,0.500 ± 0.000,0.569 ± 0.036,0.685 ± 0.061,0.695 ± 0.087,0.766 ± 0.077,0.792 ± 0.050,0.728 ± 0.000,0.605 ± 0.064,0.653 ± 0.090,0.696 ± 0.082,0.767 ± 0.015,0.817 ± 0.031,0.591 ± 0.028,0.500 ± 0.000,0.586 ± 0.060,0.662 ± 0.045,0.720 ± 0.071,0.820 ± 0.047
,html,0.587 ± 0.000,0.611 ± 0.060,0.642 ± 0.081,0.651 ± 0.123,0.774 ± 0.053,0.816 ± 0.054,0.762 ± 0.000,0.622 ± 0.014,0.636 ± 0.090,0.662 ± 0.101,0.716 ± 0.066,0.721 ± 0.063,0.745 ± 0.023,0.500 ± 0.000,0.622 ± 0.063,0.642 ± 0.084,0.705 ± 0.064,0.753 ± 0.043
,markdown,0.718 ± 0.000,0.610 ± 0.095,0.691 ± 0.098,0.642 ± 0.108,0.735 ± 0.098,0.729 ± 0.060,0.765 ± 0.000,0.581 ± 0.040,0.666 ± 0.079,0.665 ± 0.106,0.748 ± 0.045,0.712 ± 0.060,0.790 ± 0.020,0.500 ± 0.000,0.649 ± 0.089,0.663 ± 0.077,0.737 ± 0.064,0.764 ± 0.029
,markdown_mask,0.513 ± 0.000,0.570 ± 0.052,0.617 ± 0.054,0.608 ± 0.078,0.722 ± 0.060,0.794 ± 0.046,0.762 ± 0.000,0.562 ± 0.053,0.598 ± 0.067,0.641 ± 0.090,0.684 ± 0.052,0.711 ± 0.072,0.542 ± 0.042,0.500 ± 0.000,0.571 ± 0.084,0.629 ± 0.083,0.684 ± 0.077,0.767 ± 0.049
irish,feat_val,0.948 ± 0.000,0.988 ± 0.009,0.972 ± 0.023,0.991 ± 0.008,0.983 ± 0.011,0.990 ± 0.007,0.992 ± 0.000,0.994 ± 0.007,0.996 ± 0.006,0.994 ± 0.009,0.991 ± 0.011,0.998 ± 0.002,0.922 ± 0.001,0.979 ± 0.023,0.983 ± 0.015,0.977 ± 0.008,0.986 ± 0.009,0.986 ± 0.010
,feat_val_mask,0.666 ± 0.000,0.961 ± 0.047,0.969 ± 0.027,0.991 ± 0.007,0.989 ± 0.009,0.997 ± 0.004,0.850 ± 0.000,0.996 ± 0.006,0.995 ± 0.005,0.997 ± 0.005,0.995 ± 0.006,1.000 ± 0.000,0.967 ± 0.002,0.991 ± 0.011,0.990 ± 0.009,0.993 ± 0.006,0.993 ± 0.004,0.995 ± 0.005
,html,0.979 ± 0.000,0.967 ± 0.022,0.960 ± 0.032,0.983 ± 0.023,0.983 ± 0.013,0.988 ± 0.009,0.987 ± 0.000,0.996 ± 0.007,0.989 ± 0.024,0.995 ± 0.008,0.993 ± 0.007,0.998 ± 0.002,0.977 ± 0.002,0.983 ± 0.013,0.979 ± 0.006,0.977 ± 0.009,0.984 ± 0.013,0.985 ± 0.005
,markdown,0.998 ± 0.000,0.971 ± 0.020,0.982 ± 0.023,0.975 ± 0.036,0.981 ± 0.008,0.972 ± 0.020,0.998 ± 0.000,0.998 ± 0.003,0.997 ± 0.004,0.993 ± 0.013,0.992 ± 0.006,0.998 ± 0.002,0.974 ± 0.001,0.973 ± 0.021,0.987 ± 0.010,0.982 ± 0.019,0.977 ± 0.016,0.976 ± 0.010
,markdown_mask,0.850 ± 0.000,0.930 ± 0.042,0.956 ± 0.050,0.965 ± 0.029,0.967 ± 0.021,0.971 ± 0.020,0.977 ± 0.000,0.998 ± 0.003,0.997 ± 0.007,0.984 ± 0.034,0.994 ± 0.004,1.000 ± 0.000,0.939 ± 0.003,0.982 ± 0.013,0.978 ± 0.021,0.987 ± 0.018,0.982 ± 0.011,0.984 ± 0.011
student_famsup_ls_qwen,feat_val,0.690 ± 0.001,0.750 ± 0.051,0.763 ± 0.062,0.743 ± 0.042,0.778 ± 0.038,0.778 ± 0.018,0.749 ± 0.000,0.801 ± 0.030,0.825 ± 0.021,0.836 ± 0.020,0.821 ± 0.020,0.821 ± 0.025,--,--,--,--,--,--
,feat_val_mask,0.580 ± 0.000,0.702 ± 0.021,0.686 ± 0.037,0.703 ± 0.020,0.679 ± 0.032,0.715 ± 0.024,0.628 ± 0.000,0.710 ± 0.013,0.692 ± 0.014,0.726 ± 0.011,0.705 ± 0.009,0.705 ± 0.037,--,--,--,--,--,--
,html,0.573 ± 0.001,0.689 ± 0.030,0.703 ± 0.037,0.784 ± 0.028,0.717 ± 0.024,0.737 ± 0.017,0.738 ± 0.000,0.689 ± 0.013,0.715 ± 0.037,0.738 ± 0.012,0.700 ± 0.016,0.712 ± 0.020,--,--,--,--,--,--
,markdown,0.672 ± 0.000,0.645 ± 0.026,0.676 ± 0.043,0.695 ± 0.042,0.667 ± 0.016,0.697 ± 0.027,0.761 ± 0.000,0.695 ± 0.043,0.740 ± 0.049,0.758 ± 0.015,0.749 ± 0.019,0.710 ± 0.009,--,--,--,--,--,--
,markdown_mask,0.722 ± 0.003,0.673 ± 0.025,0.675 ± 0.030,0.696 ± 0.025,0.703 ± 0.015,0.719 ± 0.032,0.576 ± 0.000,0.660 ± 0.026,0.703 ± 0.027,0.723 ± 0.032,0.710 ± 0.019,0.720 ± 0.022,--,--,--,--,--,--
tae_ls_qwen,feat_val,0.500 ± 0.000,0.754 ± 0.028,0.767 ± 0.037,0.755 ± 0.030,0.772 ± 0.026,0.785 ± 0.022,0.613 ± 0.000,0.768 ± 0.055,0.766 ± 0.036,0.772 ± 0.046,0.789 ± 0.032,0.783 ± 0.014,--,--,--,--,--,--
,feat_val_mask,0.528 ± 0.000,0.647 ± 0.046,0.699 ± 0.020,0.701 ± 0.041,0.687 ± 0.041,0.738 ± 0.033,0.576 ± 0.000,0.696 ± 0.036,0.676 ± 0.046,0.684 ± 0.040,0.696 ± 0.063,0.750 ± 0.035,--,--,--,--,--,--
,html,0.591 ± 0.000,0.727 ± 0.016,0.748 ± 0.025,0.733 ± 0.027,0.729 ± 0.020,0.731 ± 0.013,0.639 ± 0.000,0.735 ± 0.014,0.722 ± 0.021,0.722 ± 0.024,0.713 ± 0.004,0.715 ± 0.007,--,--,--,--,--,--
,markdown,0.575 ± 0.000,0.710 ± 0.019,0.719 ± 0.013,0.725 ± 0.018,0.724 ± 0.007,0.726 ± 0.013,0.654 ± 0.000,0.727 ± 0.017,0.720 ± 0.023,0.723 ± 0.021,0.724 ± 0.011,0.717 ± 0.008,--,--,--,--,--,--
,markdown_mask,0.579 ± 0.000,0.635 ± 0.077,0.681 ± 0.085,0.736 ± 0.011,0.733 ± 0.042,0.750 ± 0.011,0.537 ± 0.000,0.686 ± 0.097,0.715 ± 0.059,0.748 ± 0.022,0.731 ± 0.035,0.762 ± 0.033,--,--,--,--,--,--
irish_ls_qwen,feat_val,0.628 ± 0.000,0.775 ± 0.044,0.774 ± 0.049,0.791 ± 0.042,0.809 ± 0.033,0.831 ± 0.023,0.633 ± 0.000,0.766 ± 0.018,0.798 ± 0.026,0.814 ± 0.030,0.821 ± 0.014,0.839 ± 0.009,--,--,--,--,--,--
,feat_val_mask,0.570 ± 0.000,0.709 ± 0.061,0.696 ± 0.063,0.746 ± 0.038,0.740 ± 0.037,0.746 ± 0.029,0.536 ± 0.000,0.739 ± 0.028,0.755 ± 0.055,0.769 ± 0.037,0.783 ± 0.059,0.804 ± 0.019,--,--,--,--,--,--
,html,0.659 ± 0.003,0.690 ± 0.069,0.728 ± 0.053,0.715 ± 0.060,0.734 ± 0.017,0.727 ± 0.040,0.657 ± 0.000,0.754 ± 0.073,0.792 ± 0.037,0.793 ± 0.020,0.782 ± 0.036,0.791 ± 0.026,--,--,--,--,--,--
,markdown,0.588 ± 0.000,0.714 ± 0.052,0.721 ± 0.052,0.745 ± 0.076,0.728 ± 0.063,0.757 ± 0.060,0.526 ± 0.000,0.754 ± 0.059,0.780 ± 0.053,0.773 ± 0.055,0.777 ± 0.036,0.813 ± 0.030,--,--,--,--,--,--
,markdown_mask,0.555 ± 0.001,0.665 ± 0.044,0.683 ± 0.045,0.691 ± 0.012,0.698 ± 0.020,0.703 ± 0.054,0.515 ± 0.000,0.704 ± 0.019,0.712 ± 0.068,0.701 ± 0.054,0.659 ± 0.050,0.712 ± 0.030,--,--,--,--,--,--
student_famsup_ls_gpt,feat_val,--,--,--,--,--,--,--,--,--,--,--,--,0.674 ± 0.003,0.779 ± 0.026,0.723 ± 0.057,0.743 ± 0.037,0.719 ± 0.042,0.728 ± 0.036
,feat_val_mask,--,--,--,--,--,--,--,--,--,--,--,--,0.518 ± 0.006,0.641 ± 0.009,0.621 ± 0.023,0.657 ± 0.029,0.658 ± 0.049,0.631 ± 0.020
