,,Models,,,,,,,,,,,,,,,,,
Dataset,Serialization,Qwen3-8B,Qwen3-14B,GPT-4o-mini,,,,,,,,,,,,,,,
,,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64
bank_credit_scoring,feat_val,0.529 ± 0.001,0.697 ± 0.054,0.754 ± 0.028,0.769 ± 0.044,0.799 ± 0.041,0.821 ± 0.011,0.712 ± 0.000,0.767 ± 0.053,0.804 ± 0.015,0.819 ± 0.025,0.817 ± 0.032,0.801 ± 0.012,0.707 ± 0.004,0.693 ± 0.045,0.719 ± 0.045,0.713 ± 0.043,0.721 ± 0.029,0.724 ± 0.033
,feat_val_mask,0.524 ± 0.000,0.604 ± 0.039,0.614 ± 0.035,0.642 ± 0.039,0.657 ± 0.038,0.675 ± 0.039,0.598 ± 0.000,0.648 ± 0.014,0.653 ± 0.023,0.654 ± 0.053,0.686 ± 0.041,0.686 ± 0.042,0.617 ± 0.005,0.606 ± 0.031,0.624 ± 0.061,0.639 ± 0.016,0.668 ± 0.027,0.623 ± 0.027
,html,0.510 ± 0.000,0.644 ± 0.042,0.677 ± 0.023,0.663 ± 0.018,0.671 ± 0.027,0.645 ± 0.016,0.611 ± 0.000,0.604 ± 0.028,0.603 ± 0.066,0.621 ± 0.035,0.609 ± 0.013,0.610 ± 0.019,0.558 ± 0.012,0.572 ± 0.032,0.584 ± 0.017,0.607 ± 0.019,0.597 ± 0.024,0.599 ± 0.016
,markdown,0.513 ± 0.001,0.631 ± 0.069,0.606 ± 0.044,0.652 ± 0.061,0.673 ± 0.020,0.651 ± 0.022,0.553 ± 0.000,0.638 ± 0.042,0.615 ± 0.088,0.632 ± 0.025,0.647 ± 0.025,0.652 ± 0.030,0.631 ± 0.010,0.578 ± 0.020,0.593 ± 0.033,0.593 ± 0.024,0.588 ± 0.022,0.588 ± 0.011
,markdown_mask,0.542 ± 0.020,0.561 ± 0.031,0.595 ± 0.023,0.581 ± 0.068,0.622 ± 0.039,0.627 ± 0.018,0.540 ± 0.000,0.667 ± 0.047,0.624 ± 0.086,0.656 ± 0.067,0.674 ± 0.039,0.687 ± 0.041,0.602 ± 0.009,0.600 ± 0.037,0.600 ± 0.033,0.584 ± 0.028,0.585 ± 0.011,0.605 ± 0.013
audit,feat_val,0.967 ± 0.000,0.994 ± 0.005,0.992 ± 0.003,0.997 ± 0.004,0.999 ± 0.001,0.998 ± 0.002,0.960 ± 0.000,0.995 ± 0.003,0.997 ± 0.002,0.998 ± 0.002,0.998 ± 0.001,0.998 ± 0.001,0.747 ± 0.010,0.995 ± 0.003,0.996 ± 0.002,0.998 ± 0.003,0.998 ± 0.001,0.998 ± 0.001
,feat_val_mask,0.682 ± 0.000,0.989 ± 0.008,0.988 ± 0.003,0.988 ± 0.004,0.988 ± 0.007,0.989 ± 0.005,0.880 ± 0.000,0.987 ± 0.011,0.997 ± 0.001,0.998 ± 0.001,0.999 ± 0.001,1.000 ± 0.000,0.843 ± 0.018,0.989 ± 0.006,0.988 ± 0.005,0.995 ± 0.003,0.997 ± 0.002,0.995 ± 0.003
,html,0.729 ± 0.001,0.968 ± 0.011,0.972 ± 0.007,0.980 ± 0.009,0.985 ± 0.010,0.985 ± 0.008,0.979 ± 0.000,0.934 ± 0.057,0.955 ± 0.025,0.970 ± 0.004,0.978 ± 0.005,0.978 ± 0.011,0.726 ± 0.005,0.898 ± 0.035,0.922 ± 0.031,0.930 ± 0.036,0.941 ± 0.011,0.940 ± 0.022
,markdown,0.900 ± 0.000,0.986 ± 0.009,0.981 ± 0.007,0.977 ± 0.014,0.980 ± 0.007,0.984 ± 0.010,0.960 ± 0.000,0.910 ± 0.123,0.954 ± 0.022,0.969 ± 0.012,0.978 ± 0.006,0.971 ± 0.005,0.783 ± 0.013,0.944 ± 0.012,0.956 ± 0.012,0.966 ± 0.007,0.969 ± 0.008,0.972 ± 0.008
,markdown_mask,0.906 ± 0.000,0.920 ± 0.048,0.946 ± 0.026,0.946 ± 0.014,0.952 ± 0.006,0.945 ± 0.017,0.523 ± 0.000,0.955 ± 0.020,0.950 ± 0.035,0.977 ± 0.008,0.987 ± 0.007,0.985 ± 0.006,0.597 ± 0.020,0.908 ± 0.038,0.944 ± 0.019,0.961 ± 0.009,0.970 ± 0.009,0.966 ± 0.009
fraud,feat_val,0.626 ± 0.000,0.761 ± 0.038,0.777 ± 0.041,0.813 ± 0.028,0.818 ± 0.021,0.845 ± 0.012,0.765 ± 0.000,0.800 ± 0.026,0.843 ± 0.032,0.834 ± 0.019,0.837 ± 0.019,0.848 ± 0.018,0.725 ± 0.031,0.828 ± 0.035,0.833 ± 0.031,0.848 ± 0.025,0.873 ± 0.027,0.882 ± 0.011
,feat_val_mask,0.563 ± 0.000,0.599 ± 0.058,0.698 ± 0.046,0.756 ± 0.064,0.804 ± 0.030,0.816 ± 0.021,0.651 ± 0.000,0.741 ± 0.022,0.766 ± 0.041,0.763 ± 0.068,0.783 ± 0.053,0.763 ± 0.036,0.527 ± 0.007,0.637 ± 0.031,0.691 ± 0.075,0.713 ± 0.058,0.735 ± 0.021,0.802 ± 0.020
,html,0.607 ± 0.000,0.769 ± 0.045,0.778 ± 0.063,0.806 ± 0.030,0.782 ± 0.032,0.824 ± 0.025,0.661 ± 0.000,0.832 ± 0.029,0.829 ± 0.053,0.850 ± 0.009,0.830 ± 0.028,0.867 ± 0.023,0.695 ± 0.013,0.814 ± 0.022,0.814 ± 0.024,0.830 ± 0.020,0.817 ± 0.022,0.856 ± 0.014
,markdown,0.581 ± 0.003,0.734 ± 0.059,0.781 ± 0.057,0.792 ± 0.041,0.793 ± 0.024,0.827 ± 0.040,0.622 ± 0.000,0.796 ± 0.040,0.820 ± 0.033,0.812 ± 0.043,0.807 ± 0.025,0.828 ± 0.024,0.644 ± 0.013,0.836 ± 0.019,0.825 ± 0.019,0.837 ± 0.030,0.819 ± 0.037,0.847 ± 0.033
,markdown_mask,0.506 ± 0.006,0.723 ± 0.063,0.757 ± 0.073,0.789 ± 0.034,0.819 ± 0.043,0.840 ± 0.030,0.702 ± 0.000,0.827 ± 0.032,0.838 ± 0.023,0.848 ± 0.016,0.821 ± 0.043,0.836 ± 0.010,0.523 ± 0.016,0.786 ± 0.037,0.807 ± 0.027,0.809 ± 0.050,0.805 ± 0.042,0.841 ± 0.016
credit,feat_val,0.519 ± 0.001,0.543 ± 0.028,0.578 ± 0.045,0.564 ± 0.038,0.600 ± 0.039,0.620 ± 0.048,0.520 ± 0.000,0.538 ± 0.028,0.551 ± 0.035,0.575 ± 0.049,0.588 ± 0.058,0.625 ± 0.018,0.627 ± 0.004,0.561 ± 0.017,0.575 ± 0.019,0.553 ± 0.030,0.527 ± 0.017,0.518 ± 0.034
,feat_val_mask,0.574 ± 0.003,0.552 ± 0.039,0.559 ± 0.045,0.611 ± 0.036,0.632 ± 0.046,0.634 ± 0.020,0.593 ± 0.000,0.538 ± 0.017,0.533 ± 0.026,0.557 ± 0.053,0.559 ± 0.053,0.585 ± 0.031,0.644 ± 0.004,0.578 ± 0.038,0.586 ± 0.028,0.570 ± 0.036,0.532 ± 0.009,0.563 ± 0.045
,html,0.524 ± 0.003,0.566 ± 0.031,0.563 ± 0.020,0.552 ± 0.049,0.563 ± 0.041,0.570 ± 0.015,0.544 ± 0.000,0.521 ± 0.011,0.521 ± 0.015,0.527 ± 0.022,0.531 ± 0.035,0.546 ± 0.074,0.625 ± 0.004,0.594 ± 0.021,0.576 ± 0.018,0.587 ± 0.020,0.589 ± 0.021,0.562 ± 0.027
,markdown,0.572 ± 0.003,0.524 ± 0.026,0.527 ± 0.023,0.531 ± 0.012,0.553 ± 0.045,0.572 ± 0.030,0.571 ± 0.000,0.538 ± 0.031,0.533 ± 0.021,0.535 ± 0.021,0.513 ± 0.012,0.548 ± 0.041,0.597 ± 0.002,0.568 ± 0.020,0.564 ± 0.014,0.553 ± 0.028,0.540 ± 0.029,0.539 ± 0.022
,markdown_mask,0.603 ± 0.001,0.552 ± 0.017,0.537 ± 0.035,0.557 ± 0.035,0.540 ± 0.039,0.551 ± 0.035,0.605 ± 0.000,0.563 ± 0.039,0.516 ± 0.032,0.530 ± 0.031,0.529 ± 0.019,0.519 ± 0.006,0.601 ± 0.007,0.608 ± 0.038,0.617 ± 0.024,0.586 ± 0.048,0.564 ± 0.038,0.536 ± 0.028
audit_ls_qwen,feat_val,0.699 ± 0.000,0.749 ± 0.053,0.765 ± 0.061,0.748 ± 0.069,0.749 ± 0.040,0.806 ± 0.008,0.628 ± 0.000,0.700 ± 0.036,0.658 ± 0.032,0.679 ± 0.031,0.609 ± 0.042,0.653 ± 0.032,--,--,--,--,--,--
,feat_val_mask,0.556 ± 0.000,0.520 ± 0.013,0.533 ± 0.024,0.536 ± 0.027,0.540 ± 0.017,0.539 ± 0.030,0.524 ± 0.000,0.525 ± 0.036,0.523 ± 0.016,0.524 ± 0.019,0.523 ± 0.016,0.538 ± 0.028,--,--,--,--,--,--
,html,0.516 ± 0.000,0.616 ± 0.035,0.595 ± 0.021,0.640 ± 0.039,0.572 ± 0.026,0.542 ± 0.030,0.587 ± 0.000,0.638 ± 0.025,0.630 ± 0.066,0.660 ± 0.018,0.641 ± 0.036,0.636 ± 0.018,--,--,--,--,--,--
,markdown,0.584 ± 0.001,0.581 ± 0.036,0.601 ± 0.033,0.649 ± 0.032,0.578 ± 0.026,0.581 ± 0.031,0.545 ± 0.000,0.624 ± 0.030,0.635 ± 0.048,0.611 ± 0.046,0.606 ± 0.039,0.631 ± 0.016,--,--,--,--,--,--
,markdown_mask,0.535 ± 0.000,0.623 ± 0.045,0.589 ± 0.036,0.564 ± 0.036,0.531 ± 0.027,0.538 ± 0.022,0.526 ± 0.000,0.522 ± 0.015,0.528 ± 0.008,0.520 ± 0.011,0.521 ± 0.012,0.516 ± 0.005,--,--,--,--,--,--
fraud_ls_qwen,feat_val,0.761 ± 0.000,0.826 ± 0.054,0.933 ± 0.026,0.899 ± 0.035,0.874 ± 0.028,0.826 ± 0.025,0.599 ± 0.000,0.781 ± 0.097,0.878 ± 0.051,0.896 ± 0.025,0.923 ± 0.015,0.909 ± 0.017,--,--,--,--,--,--
,feat_val_mask,0.713 ± 0.002,0.649 ± 0.100,0.780 ± 0.028,0.729 ± 0.069,0.775 ± 0.081,0.750 ± 0.017,0.515 ± 0.000,0.786 ± 0.060,0.863 ± 0.067,0.907 ± 0.046,0.912 ± 0.029,0.863 ± 0.039,--,--,--,--,--,--
,html,0.782 ± 0.002,0.872 ± 0.032,0.878 ± 0.022,0.857 ± 0.049,0.892 ± 0.033,0.820 ± 0.018,0.648 ± 0.000,0.830 ± 0.045,0.863 ± 0.036,0.884 ± 0.017,0.932 ± 0.045,0.921 ± 0.053,--,--,--,--,--,--
,markdown,0.601 ± 0.007,0.648 ± 0.051,0.657 ± 0.037,0.695 ± 0.030,0.680 ± 0.036,0.679 ± 0.024,0.594 ± 0.000,0.810 ± 0.058,0.784 ± 0.051,0.836 ± 0.055,0.905 ± 0.029,0.860 ± 0.064,--,--,--,--,--,--
,markdown_mask,0.505 ± 0.003,0.586 ± 0.028,0.568 ± 0.017,0.574 ± 0.040,0.582 ± 0.026,0.564 ± 0.027,0.530 ± 0.000,0.617 ± 0.035,0.605 ± 0.045,0.596 ± 0.033,0.569 ± 0.032,0.549 ± 0.017,--,--,--,--,--,--
credit_ls_qwen,feat_val,0.627 ± 0.001,0.631 ± 0.013,0.664 ± 0.013,0.638 ± 0.016,0.638 ± 0.037,0.650 ± 0.007,0.610 ± 0.000,0.655 ± 0.010,0.657 ± 0.018,0.657 ± 0.023,0.647 ± 0.015,0.632 ± 0.007,--,--,--,--,--,--
,feat_val_mask,0.551 ± 0.002,0.557 ± 0.036,0.555 ± 0.031,0.532 ± 0.041,0.535 ± 0.011,0.529 ± 0.015,0.536 ± 0.000,0.539 ± 0.034,0.547 ± 0.033,0.533 ± 0.029,0.556 ± 0.033,0.584 ± 0.023,--,--,--,--,--,--
,html,0.587 ± 0.007,0.792 ± 0.021,0.768 ± 0.043,0.811 ± 0.061,0.817 ± 0.018,0.801 ± 0.065,0.686 ± 0.000,0.757 ± 0.029,0.730 ± 0.066,0.771 ± 0.034,0.771 ± 0.028,0.770 ± 0.031,--,--,--,--,--,--
,markdown,0.667 ± 0.002,0.850 ± 0.017,0.839 ± 0.040,0.857 ± 0.029,0.861 ± 0.023,0.858 ± 0.036,0.748 ± 0.000,0.698 ± 0.067,0.681 ± 0.092,0.690 ± 0.048,0.695 ± 0.024,0.696 ± 0.017,--,--,--,--,--,--
,markdown_mask,0.501 ± 0.000,0.657 ± 0.048,0.627 ± 0.099,0.571 ± 0.028,0.585 ± 0.052,0.651 ± 0.084,0.524 ± 0.000,0.649 ± 0.031,0.684 ± 0.097,0.678 ± 0.043,0.711 ± 0.040,0.723 ± 0.040,--,--,--,--,--,--
audit_ls_gpt,feat_val,--,--,--,--,--,--,--,--,--,--,--,--,0.943 ± 0.003,0.929 ± 0.023,0.920 ± 0.019,0.908 ± 0.038,0.910 ± 0.017,0.888 ± 0.022
,feat_val_mask,--,--,--,--,--,--,--,--,--,--,--,--,0.537 ± 0.007,0.572 ± 0.049,0.564 ± 0.027,0.568 ± 0.055,0.562 ± 0.054,0.567 ± 0.038
