,,Models,,,,,,,,,,,,,,,,,
Dataset,Serialization,Qwen3-8B,Qwen3-14B,GPT-4o-mini,,,,,,,,,,,,,,,
,,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64
postpartum,feat_val,0.753 ± 0.001,0.746 ± 0.036,0.733 ± 0.034,0.730 ± 0.027,0.740 ± 0.025,0.750 ± 0.024,0.561 ± 0.000,0.754 ± 0.055,0.781 ± 0.019,0.807 ± 0.015,0.803 ± 0.016,0.791 ± 0.017,0.527 ± 0.009,0.737 ± 0.035,0.747 ± 0.034,0.758 ± 0.039,0.787 ± 0.019,0.787 ± 0.019
,feat_val_mask,0.641 ± 0.000,0.628 ± 0.027,0.641 ± 0.018,0.617 ± 0.021,0.650 ± 0.034,0.667 ± 0.028,0.684 ± 0.000,0.722 ± 0.020,0.711 ± 0.043,0.719 ± 0.028,0.705 ± 0.026,0.673 ± 0.016,0.663 ± 0.005,0.674 ± 0.042,0.681 ± 0.052,0.710 ± 0.030,0.704 ± 0.022,0.704 ± 0.022
,html,0.654 ± 0.006,0.596 ± 0.042,0.607 ± 0.060,0.598 ± 0.023,0.628 ± 0.023,0.609 ± 0.013,0.632 ± 0.000,0.652 ± 0.044,0.642 ± 0.047,0.675 ± 0.023,0.643 ± 0.019,0.635 ± 0.021,0.656 ± 0.005,0.660 ± 0.025,0.640 ± 0.023,0.647 ± 0.019,0.649 ± 0.026,0.649 ± 0.026
,markdown,0.670 ± 0.005,0.608 ± 0.027,0.622 ± 0.050,0.608 ± 0.013,0.616 ± 0.021,0.592 ± 0.029,0.699 ± 0.000,0.614 ± 0.034,0.615 ± 0.051,0.613 ± 0.032,0.615 ± 0.025,0.612 ± 0.027,0.624 ± 0.011,0.666 ± 0.034,0.661 ± 0.024,0.670 ± 0.027,0.673 ± 0.028,0.673 ± 0.028
,markdown_mask,0.579 ± 0.003,0.621 ± 0.044,0.647 ± 0.023,0.657 ± 0.047,0.616 ± 0.030,0.647 ± 0.040,0.675 ± 0.000,0.626 ± 0.044,0.617 ± 0.019,0.643 ± 0.052,0.632 ± 0.032,0.618 ± 0.031,0.570 ± 0.006,0.633 ± 0.038,0.628 ± 0.022,0.641 ± 0.040,0.644 ± 0.037,0.644 ± 0.037
cancer,feat_val,0.964 ± 0.000,0.985 ± 0.006,0.989 ± 0.002,0.988 ± 0.003,0.988 ± 0.003,0.989 ± 0.001,0.992 ± 0.000,0.993 ± 0.004,0.994 ± 0.002,0.993 ± 0.003,0.994 ± 0.002,0.994 ± 0.002,0.989 ± 0.001,0.992 ± 0.001,0.989 ± 0.004,0.987 ± 0.009,0.988 ± 0.002,0.989 ± 0.002
,feat_val_mask,0.704 ± 0.000,0.989 ± 0.002,0.992 ± 0.002,0.992 ± 0.006,0.992 ± 0.003,0.995 ± 0.001,0.938 ± 0.000,0.996 ± 0.001,0.992 ± 0.003,0.992 ± 0.002,0.995 ± 0.002,0.995 ± 0.001,0.963 ± 0.003,0.993 ± 0.003,0.992 ± 0.002,0.992 ± 0.001,0.992 ± 0.002,0.991 ± 0.001
,html,0.970 ± 0.000,0.991 ± 0.002,0.993 ± 0.001,0.993 ± 0.003,0.995 ± 0.001,0.994 ± 0.001,0.987 ± 0.000,0.993 ± 0.003,0.994 ± 0.002,0.994 ± 0.003,0.995 ± 0.002,0.996 ± 0.001,0.981 ± 0.001,0.992 ± 0.002,0.993 ± 0.001,0.992 ± 0.002,0.991 ± 0.003,0.992 ± 0.001
,markdown,0.966 ± 0.000,0.990 ± 0.002,0.993 ± 0.002,0.994 ± 0.002,0.995 ± 0.002,0.993 ± 0.003,0.990 ± 0.000,0.993 ± 0.005,0.994 ± 0.002,0.995 ± 0.003,0.996 ± 0.001,0.997 ± 0.000,0.989 ± 0.001,0.988 ± 0.005,0.989 ± 0.002,0.987 ± 0.002,0.986 ± 0.003,0.988 ± 0.000
,markdown_mask,0.896 ± 0.000,0.989 ± 0.008,0.994 ± 0.002,0.990 ± 0.003,0.994 ± 0.002,0.994 ± 0.003,0.982 ± 0.000,0.995 ± 0.003,0.995 ± 0.003,0.995 ± 0.004,0.996 ± 0.001,0.997 ± 0.000,0.857 ± 0.005,0.992 ± 0.002,0.994 ± 0.001,0.992 ± 0.002,0.993 ± 0.002,0.992 ± 0.001
transfusion,feat_val,0.715 ± 0.002,0.665 ± 0.022,0.638 ± 0.051,0.620 ± 0.039,0.660 ± 0.043,0.630 ± 0.024,0.713 ± 0.000,0.655 ± 0.026,0.645 ± 0.049,0.617 ± 0.036,0.646 ± 0.041,0.622 ± 0.045,0.657 ± 0.005,0.664 ± 0.038,0.658 ± 0.060,0.662 ± 0.026,0.670 ± 0.042,0.646 ± 0.026
,feat_val_mask,0.738 ± 0.003,0.614 ± 0.039,0.626 ± 0.046,0.600 ± 0.044,0.642 ± 0.038,0.609 ± 0.055,0.597 ± 0.000,0.639 ± 0.024,0.653 ± 0.050,0.608 ± 0.042,0.620 ± 0.039,0.595 ± 0.049,0.552 ± 0.011,0.550 ± 0.046,0.567 ± 0.061,0.564 ± 0.050,0.590 ± 0.054,0.584 ± 0.033
,html,0.694 ± 0.008,0.671 ± 0.012,0.659 ± 0.043,0.631 ± 0.047,0.650 ± 0.042,0.671 ± 0.005,0.670 ± 0.000,0.659 ± 0.020,0.660 ± 0.038,0.624 ± 0.027,0.633 ± 0.042,0.664 ± 0.025,0.662 ± 0.004,0.684 ± 0.031,0.668 ± 0.029,0.655 ± 0.030,0.660 ± 0.036,0.664 ± 0.023
,markdown,0.703 ± 0.003,0.681 ± 0.016,0.681 ± 0.042,0.677 ± 0.041,0.699 ± 0.022,0.687 ± 0.034,0.525 ± 0.001,0.654 ± 0.036,0.657 ± 0.041,0.632 ± 0.034,0.657 ± 0.025,0.637 ± 0.036,0.664 ± 0.003,0.679 ± 0.028,0.659 ± 0.032,0.647 ± 0.030,0.673 ± 0.035,0.687 ± 0.024
,markdown_mask,0.690 ± 0.007,0.642 ± 0.054,0.628 ± 0.049,0.607 ± 0.060,0.657 ± 0.035,0.624 ± 0.044,0.585 ± 0.000,0.635 ± 0.019,0.635 ± 0.029,0.627 ± 0.044,0.650 ± 0.036,0.620 ± 0.037,0.550 ± 0.013,0.556 ± 0.037,0.543 ± 0.041,0.530 ± 0.021,0.580 ± 0.049,0.596 ± 0.029
diabetes,feat_val,0.759 ± 0.000,0.803 ± 0.012,0.821 ± 0.007,0.810 ± 0.024,0.797 ± 0.030,0.808 ± 0.013,0.774 ± 0.000,0.816 ± 0.013,0.829 ± 0.006,0.835 ± 0.018,0.832 ± 0.008,0.844 ± 0.011,0.805 ± 0.003,0.815 ± 0.013,0.813 ± 0.013,0.812 ± 0.014,0.816 ± 0.012,0.821 ± 0.014
,feat_val_mask,0.697 ± 0.000,0.755 ± 0.041,0.770 ± 0.012,0.750 ± 0.028,0.733 ± 0.045,0.765 ± 0.028,0.721 ± 0.000,0.775 ± 0.018,0.771 ± 0.020,0.779 ± 0.033,0.776 ± 0.030,0.781 ± 0.013,0.715 ± 0.002,0.782 ± 0.021,0.780 ± 0.016,0.774 ± 0.031,0.776 ± 0.023,0.786 ± 0.025
,html,0.713 ± 0.000,0.780 ± 0.010,0.787 ± 0.019,0.782 ± 0.010,0.772 ± 0.019,0.780 ± 0.017,0.773 ± 0.000,0.816 ± 0.012,0.809 ± 0.007,0.820 ± 0.011,0.820 ± 0.009,0.817 ± 0.007,0.803 ± 0.003,0.810 ± 0.013,0.810 ± 0.005,0.798 ± 0.011,0.793 ± 0.009,0.796 ± 0.007
,markdown,0.715 ± 0.000,0.788 ± 0.010,0.787 ± 0.027,0.784 ± 0.028,0.778 ± 0.020,0.788 ± 0.016,0.765 ± 0.000,0.805 ± 0.017,0.809 ± 0.019,0.811 ± 0.012,0.815 ± 0.012,0.814 ± 0.005,0.798 ± 0.002,0.799 ± 0.023,0.804 ± 0.010,0.793 ± 0.018,0.791 ± 0.019,0.793 ± 0.008
,markdown_mask,0.732 ± 0.000,0.776 ± 0.013,0.756 ± 0.026,0.755 ± 0.026,0.748 ± 0.015,0.767 ± 0.034,0.730 ± 0.000,0.755 ± 0.045,0.765 ± 0.031,0.758 ± 0.030,0.787 ± 0.022,0.794 ± 0.006,0.764 ± 0.001,0.813 ± 0.019,0.816 ± 0.012,0.809 ± 0.025,0.812 ± 0.010,0.803 ± 0.017
cancer_ls_qwen,feat_val,0.605 ± 0.000,0.698 ± 0.048,0.688 ± 0.070,0.824 ± 0.024,0.814 ± 0.041,--,0.850 ± 0.000,0.716 ± 0.046,0.716 ± 0.108,0.773 ± 0.054,0.829 ± 0.042,--,--,--,--,--,--,--
,feat_val_mask,0.539 ± 0.000,0.711 ± 0.066,0.729 ± 0.056,0.827 ± 0.029,0.804 ± 0.073,--,0.540 ± 0.000,0.682 ± 0.058,0.744 ± 0.125,0.781 ± 0.036,0.800 ± 0.048,--,--,--,--,--,--,--
,html,0.522 ± 0.012,0.869 ± 0.090,0.887 ± 0.038,0.902 ± 0.045,0.912 ± 0.009,--,0.516 ± 0.008,0.911 ± 0.068,0.922 ± 0.022,0.931 ± 0.008,0.939 ± 0.009,--,--,--,--,--,--,--
,markdown,0.728 ± 0.001,0.901 ± 0.027,0.901 ± 0.033,0.924 ± 0.019,0.922 ± 0.018,--,0.698 ± 0.000,0.895 ± 0.054,0.916 ± 0.028,0.929 ± 0.018,0.935 ± 0.008,--,--,--,--,--,--,--
,markdown_mask,0.620 ± 0.006,0.913 ± 0.011,0.909 ± 0.025,0.925 ± 0.029,0.917 ± 0.014,--,0.603 ± 0.000,0.846 ± 0.066,0.884 ± 0.023,0.921 ± 0.026,0.919 ± 0.017,--,--,--,--,--,--,--
transfusion_ls_qwen,feat_val,0.633 ± 0.001,0.661 ± 0.030,0.680 ± 0.039,0.683 ± 0.040,0.698 ± 0.029,0.684 ± 0.022,0.607 ± 0.000,0.662 ± 0.022,0.689 ± 0.050,0.688 ± 0.021,0.689 ± 0.031,0.672 ± 0.031,--,--,--,--,--,--
,feat_val_mask,0.535 ± 0.002,0.589 ± 0.015,0.531 ± 0.028,0.542 ± 0.026,0.532 ± 0.015,0.533 ± 0.043,0.527 ± 0.000,0.541 ± 0.019,0.540 ± 0.038,0.531 ± 0.026,0.580 ± 0.043,0.584 ± 0.040,--,--,--,--,--,--
,html,0.541 ± 0.001,0.575 ± 0.025,0.604 ± 0.023,0.624 ± 0.021,0.597 ± 0.034,0.583 ± 0.011,0.557 ± 0.000,0.581 ± 0.014,0.571 ± 0.019,0.589 ± 0.016,0.614 ± 0.010,0.617 ± 0.015,--,--,--,--,--,--
,markdown,0.534 ± 0.001,0.558 ± 0.017,0.548 ± 0.014,0.563 ± 0.033,0.590 ± 0.018,0.561 ± 0.024,0.548 ± 0.000,0.621 ± 0.018,0.619 ± 0.029,0.614 ± 0.018,0.609 ± 0.012,0.623 ± 0.014,--,--,--,--,--,--
,markdown_mask,0.519 ± 0.023,0.529 ± 0.014,0.548 ± 0.020,0.521 ± 0.017,0.518 ± 0.012,0.542 ± 0.031,0.574 ± 0.000,0.541 ± 0.018,0.537 ± 0.016,0.530 ± 0.025,0.535 ± 0.016,0.542 ± 0.029,--,--,--,--,--,--
diabetes_ls_qwen,feat_val,0.642 ± 0.000,0.762 ± 0.018,0.752 ± 0.032,0.788 ± 0.045,0.788 ± 0.041,0.838 ± 0.038,0.712 ± 0.000,0.721 ± 0.021,0.734 ± 0.044,0.729 ± 0.029,0.749 ± 0.033,0.713 ± 0.024,--,--,--,--,--,--
,feat_val_mask,0.545 ± 0.000,0.666 ± 0.056,0.692 ± 0.033,0.728 ± 0.029,0.696 ± 0.046,0.712 ± 0.038,0.562 ± 0.000,0.572 ± 0.043,0.611 ± 0.033,0.616 ± 0.071,0.598 ± 0.047,0.651 ± 0.048,--,--,--,--,--,--
,html,0.703 ± 0.000,0.781 ± 0.036,0.812 ± 0.039,0.769 ± 0.046,0.757 ± 0.021,0.770 ± 0.029,0.704 ± 0.000,0.670 ± 0.042,0.683 ± 0.011,0.687 ± 0.021,0.703 ± 0.030,0.705 ± 0.035,--,--,--,--,--,--
,markdown,0.709 ± 0.002,0.750 ± 0.024,0.768 ± 0.024,0.775 ± 0.015,0.777 ± 0.016,0.762 ± 0.018,0.686 ± 0.000,0.709 ± 0.038,0.722 ± 0.023,0.714 ± 0.021,0.701 ± 0.034,0.687 ± 0.018,--,--,--,--,--,--
,markdown_mask,0.572 ± 0.001,0.637 ± 0.046,0.655 ± 0.037,0.635 ± 0.033,0.655 ± 0.049,0.681 ± 0.040,0.502 ± 0.000,0.627 ± 0.036,0.647 ± 0.034,0.618 ± 0.046,0.620 ± 0.034,0.613 ± 0.014,--,--,--,--,--,--
cancer_ls_gpt,feat_val,--,--,--,--,--,--,--,--,--,--,--,--,0.716 ± 0.006,0.754 ± 0.019,0.823 ± 0.056,0.865 ± 0.023,0.801 ± 0.025,0.827 ± 0.034
,feat_val_mask,--,--,--,--,--,--,--,--,--,--,--,--,0.631 ± 0.016,0.739 ± 0.057,0.806 ± 0.016,0.833 ± 0.028,0.834 ± 0.026,0.857 ± 0.029
,html,--,--,--,--,--,--,--,--,--,--,--,--,0.738 ± 0.004,0.697 ± 0.017,0.697 ± 0.034,0.716 ± 0.008,0.717 ± 0.033,0.725 ± 0.016
