,,Models,,,,,,,,,,,,,,,,,
Dataset,Serialization,Qwen3-8B,Qwen3-14B,GPT-4o-mini,,,,,,,,,,,,,,,
,,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64
crimes_arrest,feat_val,0.590 ± 0.000,0.590 ± 0.047,0.603 ± 0.078,0.699 ± 0.064,0.727 ± 0.061,0.772 ± 0.058,0.514 ± 0.000,0.590 ± 0.052,0.605 ± 0.067,0.682 ± 0.058,0.715 ± 0.033,0.807 ± 0.039,0.650 ± 0.005,0.658 ± 0.060,0.672 ± 0.054,0.697 ± 0.084,0.697 ± 0.084,0.697 ± 0.084
,feat_val_mask,0.505 ± 0.000,0.590 ± 0.063,0.612 ± 0.077,0.694 ± 0.053,0.726 ± 0.051,0.779 ± 0.039,0.552 ± 0.000,0.584 ± 0.074,0.610 ± 0.049,0.676 ± 0.079,0.726 ± 0.044,0.779 ± 0.034,0.697 ± 0.009,0.639 ± 0.040,0.656 ± 0.063,0.687 ± 0.061,0.687 ± 0.061,0.687 ± 0.061
,html,0.618 ± 0.000,0.576 ± 0.041,0.592 ± 0.079,0.677 ± 0.046,0.718 ± 0.067,0.738 ± 0.046,0.501 ± 0.000,0.559 ± 0.062,0.600 ± 0.058,0.655 ± 0.064,0.702 ± 0.039,0.764 ± 0.022,0.684 ± 0.007,0.646 ± 0.037,0.663 ± 0.035,0.683 ± 0.042,0.683 ± 0.042,0.683 ± 0.042
,markdown,0.515 ± 0.000,0.596 ± 0.060,0.592 ± 0.091,0.678 ± 0.035,0.679 ± 0.017,0.722 ± 0.020,0.548 ± 0.000,0.593 ± 0.049,0.596 ± 0.056,0.652 ± 0.082,0.701 ± 0.061,0.748 ± 0.042,0.631 ± 0.006,0.612 ± 0.029,0.654 ± 0.049,0.660 ± 0.066,0.660 ± 0.066,0.660 ± 0.066
,markdown_mask,0.690 ± 0.002,0.587 ± 0.049,0.590 ± 0.077,0.665 ± 0.052,0.664 ± 0.046,0.681 ± 0.030,0.616 ± 0.000,0.594 ± 0.075,0.609 ± 0.041,0.674 ± 0.093,0.722 ± 0.045,0.750 ± 0.054,0.650 ± 0.004,0.628 ± 0.043,0.660 ± 0.055,0.676 ± 0.041,0.676 ± 0.041,0.676 ± 0.041
san_francisco_crimes,feat_val,0.678 ± 0.000,0.641 ± 0.096,0.757 ± 0.054,0.771 ± 0.059,0.822 ± 0.015,0.835 ± 0.021,0.755 ± 0.000,0.712 ± 0.099,0.810 ± 0.053,0.807 ± 0.053,0.852 ± 0.015,0.882 ± 0.019,0.689 ± 0.004,0.789 ± 0.029,0.819 ± 0.041,0.844 ± 0.014,0.868 ± 0.014,0.873 ± 0.005
,feat_val_mask,0.632 ± 0.000,0.626 ± 0.099,0.741 ± 0.094,0.756 ± 0.070,0.823 ± 0.039,0.836 ± 0.020,0.655 ± 0.000,0.682 ± 0.081,0.775 ± 0.076,0.793 ± 0.051,0.850 ± 0.024,0.879 ± 0.012,0.696 ± 0.003,0.792 ± 0.061,0.823 ± 0.049,0.838 ± 0.029,0.855 ± 0.017,0.877 ± 0.009
,html,0.677 ± 0.000,0.633 ± 0.067,0.746 ± 0.056,0.734 ± 0.055,0.826 ± 0.023,0.835 ± 0.025,0.740 ± 0.000,0.711 ± 0.088,0.792 ± 0.072,0.798 ± 0.062,0.848 ± 0.028,0.842 ± 0.025,0.747 ± 0.011,0.800 ± 0.023,0.817 ± 0.037,0.834 ± 0.013,0.854 ± 0.019,0.853 ± 0.015
,markdown,0.626 ± 0.000,0.579 ± 0.043,0.649 ± 0.024,0.696 ± 0.040,0.790 ± 0.028,0.819 ± 0.038,0.846 ± 0.000,0.735 ± 0.077,0.779 ± 0.063,0.825 ± 0.050,0.855 ± 0.020,0.867 ± 0.030,0.738 ± 0.005,0.771 ± 0.049,0.807 ± 0.034,0.816 ± 0.026,0.848 ± 0.016,0.866 ± 0.018
,markdown_mask,0.598 ± 0.000,0.558 ± 0.056,0.645 ± 0.034,0.668 ± 0.072,0.758 ± 0.037,0.777 ± 0.054,0.823 ± 0.000,0.683 ± 0.082,0.761 ± 0.064,0.814 ± 0.041,0.843 ± 0.023,0.859 ± 0.030,0.659 ± 0.005,0.714 ± 0.051,0.776 ± 0.049,0.805 ± 0.044,0.840 ± 0.021,0.865 ± 0.015
compas,feat_val,0.653 ± 0.000,0.628 ± 0.066,0.653 ± 0.047,0.673 ± 0.027,0.669 ± 0.025,0.676 ± 0.019,0.571 ± 0.000,0.622 ± 0.062,0.606 ± 0.071,0.644 ± 0.049,0.629 ± 0.046,0.658 ± 0.032,0.672 ± 0.003,0.680 ± 0.020,0.665 ± 0.046,0.681 ± 0.009,0.669 ± 0.006,0.671 ± 0.007
,feat_val_mask,0.596 ± 0.000,0.609 ± 0.075,0.593 ± 0.062,0.637 ± 0.043,0.609 ± 0.036,0.627 ± 0.029,0.541 ± 0.000,0.635 ± 0.058,0.590 ± 0.048,0.656 ± 0.052,0.629 ± 0.035,0.649 ± 0.022,0.568 ± 0.006,0.630 ± 0.055,0.601 ± 0.025,0.649 ± 0.007,0.620 ± 0.020,0.651 ± 0.018
,html,0.650 ± 0.000,0.685 ± 0.012,0.678 ± 0.011,0.673 ± 0.021,0.684 ± 0.009,0.688 ± 0.014,0.586 ± 0.000,0.634 ± 0.070,0.658 ± 0.034,0.665 ± 0.034,0.682 ± 0.020,0.674 ± 0.022,0.705 ± 0.002,0.681 ± 0.005,0.689 ± 0.018,0.686 ± 0.019,0.678 ± 0.009,0.679 ± 0.008
,markdown,0.616 ± 0.000,0.651 ± 0.022,0.663 ± 0.018,0.664 ± 0.023,0.688 ± 0.015,0.683 ± 0.023,0.542 ± 0.000,0.643 ± 0.035,0.643 ± 0.039,0.652 ± 0.023,0.674 ± 0.007,0.658 ± 0.030,0.698 ± 0.001,0.684 ± 0.008,0.686 ± 0.013,0.690 ± 0.011,0.689 ± 0.010,0.690 ± 0.003
,markdown_mask,0.525 ± 0.000,0.631 ± 0.048,0.605 ± 0.050,0.626 ± 0.016,0.651 ± 0.030,0.653 ± 0.037,0.522 ± 0.000,0.652 ± 0.034,0.652 ± 0.044,0.649 ± 0.017,0.621 ± 0.022,0.620 ± 0.048,0.585 ± 0.002,0.606 ± 0.036,0.590 ± 0.072,0.634 ± 0.037,0.631 ± 0.031,0.655 ± 0.030
vote,feat_val,0.574 ± 0.000,0.897 ± 0.024,0.918 ± 0.027,0.942 ± 0.027,0.947 ± 0.013,0.953 ± 0.020,0.598 ± 0.000,0.870 ± 0.072,0.902 ± 0.041,0.923 ± 0.026,0.936 ± 0.016,0.933 ± 0.018,0.626 ± 0.026,0.842 ± 0.086,0.869 ± 0.091,0.894 ± 0.014,0.908 ± 0.018,0.919 ± 0.026
,feat_val_mask,0.686 ± 0.000,0.835 ± 0.076,0.843 ± 0.063,0.875 ± 0.067,0.878 ± 0.040,0.892 ± 0.026,0.521 ± 0.000,0.892 ± 0.082,0.921 ± 0.020,0.917 ± 0.046,0.929 ± 0.014,0.943 ± 0.027,0.598 ± 0.012,0.864 ± 0.097,0.822 ± 0.073,0.840 ± 0.023,0.909 ± 0.053,0.912 ± 0.041
,html,0.719 ± 0.001,0.802 ± 0.067,0.777 ± 0.130,0.794 ± 0.079,0.749 ± 0.086,0.766 ± 0.077,0.776 ± 0.000,0.892 ± 0.035,0.783 ± 0.149,0.845 ± 0.052,0.895 ± 0.028,0.887 ± 0.031,0.669 ± 0.056,0.688 ± 0.150,0.708 ± 0.148,0.807 ± 0.074,0.803 ± 0.092,0.814 ± 0.045
,markdown,0.721 ± 0.000,0.736 ± 0.134,0.661 ± 0.115,0.747 ± 0.040,0.770 ± 0.083,0.734 ± 0.103,0.535 ± 0.000,0.767 ± 0.035,0.749 ± 0.148,0.860 ± 0.043,0.833 ± 0.052,0.855 ± 0.033,0.673 ± 0.019,0.705 ± 0.103,0.755 ± 0.129,0.872 ± 0.074,0.801 ± 0.180,0.915 ± 0.028
,markdown_mask,0.653 ± 0.000,0.819 ± 0.053,0.812 ± 0.043,0.787 ± 0.043,0.803 ± 0.059,0.806 ± 0.049,0.645 ± 0.000,0.881 ± 0.055,0.935 ± 0.041,0.923 ± 0.043,0.913 ± 0.020,0.915 ± 0.032,0.540 ± 0.018,0.738 ± 0.160,0.804 ± 0.113,0.861 ± 0.096,0.810 ± 0.150,0.905 ± 0.037
san_francisco_crimes_ls_qwen,feat_val,0.532 ± 0.000,0.761 ± 0.017,0.749 ± 0.030,0.733 ± 0.018,0.745 ± 0.056,0.758 ± 0.041,0.511 ± 0.000,0.644 ± 0.038,0.621 ± 0.024,0.630 ± 0.060,0.630 ± 0.038,0.649 ± 0.024,--,--,--,--,--,--
,feat_val_mask,0.508 ± 0.000,0.554 ± 0.036,0.556 ± 0.029,0.540 ± 0.030,0.558 ± 0.017,0.567 ± 0.036,0.600 ± 0.000,0.549 ± 0.050,0.533 ± 0.025,0.522 ± 0.016,0.535 ± 0.015,0.519 ± 0.011,--,--,--,--,--,--
,html,0.556 ± 0.000,0.619 ± 0.034,0.614 ± 0.022,0.603 ± 0.040,0.591 ± 0.041,0.620 ± 0.027,0.547 ± 0.000,0.595 ± 0.053,0.613 ± 0.030,0.614 ± 0.058,0.587 ± 0.037,0.593 ± 0.019,--,--,--,--,--,--
,markdown,0.541 ± 0.000,0.652 ± 0.032,0.673 ± 0.036,0.656 ± 0.032,0.618 ± 0.025,0.685 ± 0.040,0.612 ± 0.000,0.634 ± 0.036,0.629 ± 0.023,0.645 ± 0.014,0.590 ± 0.049,0.618 ± 0.020,--,--,--,--,--,--
,markdown_mask,0.518 ± 0.002,0.567 ± 0.035,0.584 ± 0.046,0.559 ± 0.042,0.562 ± 0.038,0.605 ± 0.066,0.544 ± 0.000,0.540 ± 0.034,0.548 ± 0.027,0.537 ± 0.023,0.527 ± 0.019,0.528 ± 0.019,--,--,--,--,--,--
compas_ls_qwen,feat_val,0.690 ± 0.000,0.800 ± 0.018,0.792 ± 0.013,0.792 ± 0.020,0.774 ± 0.016,0.785 ± 0.027,0.686 ± 0.000,0.742 ± 0.023,0.772 ± 0.019,0.770 ± 0.023,0.792 ± 0.013,0.804 ± 0.013,--,--,--,--,--,--
,feat_val_mask,0.540 ± 0.000,0.617 ± 0.015,0.593 ± 0.057,0.608 ± 0.072,0.577 ± 0.026,0.593 ± 0.024,0.596 ± 0.000,0.625 ± 0.027,0.634 ± 0.042,0.650 ± 0.083,0.631 ± 0.034,0.618 ± 0.026,--,--,--,--,--,--
,html,0.639 ± 0.001,0.763 ± 0.021,0.743 ± 0.038,0.727 ± 0.028,0.744 ± 0.021,0.706 ± 0.017,0.604 ± 0.000,0.697 ± 0.104,0.700 ± 0.069,0.708 ± 0.057,0.751 ± 0.018,0.738 ± 0.010,--,--,--,--,--,--
,markdown,0.691 ± 0.000,0.738 ± 0.021,0.739 ± 0.023,0.736 ± 0.012,0.759 ± 0.021,0.730 ± 0.025,0.577 ± 0.000,0.649 ± 0.073,0.695 ± 0.043,0.688 ± 0.089,0.770 ± 0.037,0.785 ± 0.032,--,--,--,--,--,--
,markdown_mask,0.552 ± 0.006,0.617 ± 0.033,0.624 ± 0.022,0.617 ± 0.039,0.625 ± 0.038,0.604 ± 0.040,0.519 ± 0.000,0.594 ± 0.046,0.610 ± 0.009,0.632 ± 0.053,0.637 ± 0.054,0.653 ± 0.034,--,--,--,--,--,--
vote_ls_qwen,feat_val,0.557 ± 0.000,0.552 ± 0.023,0.581 ± 0.037,0.573 ± 0.034,0.576 ± 0.019,0.603 ± 0.040,0.519 ± 0.000,0.557 ± 0.031,0.588 ± 0.024,0.578 ± 0.021,0.605 ± 0.018,0.612 ± 0.016,--,--,--,--,--,--
,feat_val_mask,0.515 ± 0.000,0.532 ± 0.027,0.543 ± 0.031,0.540 ± 0.029,0.575 ± 0.019,0.561 ± 0.048,0.517 ± 0.000,0.513 ± 0.007,0.524 ± 0.010,0.541 ± 0.013,0.545 ± 0.018,0.558 ± 0.021,--,--,--,--,--,--
,html,0.558 ± 0.000,0.532 ± 0.022,0.536 ± 0.034,0.563 ± 0.053,0.535 ± 0.014,0.539 ± 0.036,0.548 ± 0.000,0.519 ± 0.020,0.576 ± 0.015,0.565 ± 0.018,0.590 ± 0.027,0.581 ± 0.020,--,--,--,--,--,--
,markdown,0.567 ± 0.001,0.542 ± 0.025,0.554 ± 0.023,0.557 ± 0.024,0.549 ± 0.031,0.553 ± 0.029,0.560 ± 0.000,0.519 ± 0.008,0.582 ± 0.013,0.549 ± 0.027,0.568 ± 0.048,0.576 ± 0.047,--,--,--,--,--,--
,markdown_mask,0.532 ± 0.002,0.523 ± 0.012,0.548 ± 0.020,0.540 ± 0.021,0.540 ± 0.022,0.528 ± 0.020,0.518 ± 0.000,0.523 ± 0.017,0.540 ± 0.009,0.540 ± 0.009,0.525 ± 0.008,0.541 ± 0.022,--,--,--,--,--,--
san_francisco_crimes_ls_gpt,feat_val,--,--,--,--,--,--,--,--,--,--,--,--,0.684 ± 0.004,0.827 ± 0.078,0.920 ± 0.062,0.977 ± 0.024,0.988 ± 0.020,0.969 ± 0.038
,feat_val_mask,--,--,--,--,--,--,--,--,--,--,--,--,0.605 ± 0.013,0.660 ± 0.030,0.749 ± 0.080,0.785 ± 0.048,0.910 ± 0.059,0.859 ± 0.057
