,,Models,,,,,,,,,,,,,,,,,
Dataset,Serialization,Qwen3-8B,Qwen3-14B,GPT-4o-mini,,,,,,,,,,,,,,,
,,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64
seismic_bumps,feat_val,0.768 ± 0.000,0.748 ± 0.029,0.760 ± 0.017,0.751 ± 0.010,0.748 ± 0.023,0.754 ± 0.010,0.708 ± 0.000,0.749 ± 0.026,0.765 ± 0.013,0.775 ± 0.012,0.766 ± 0.004,0.769 ± 0.025,0.755 ± 0.008,0.763 ± 0.013,0.762 ± 0.015,0.750 ± 0.011,0.729 ± 0.040,0.750 ± 0.012
,feat_val_mask,0.666 ± 0.000,0.762 ± 0.012,0.748 ± 0.031,0.754 ± 0.013,0.750 ± 0.013,0.757 ± 0.013,0.700 ± 0.000,0.758 ± 0.018,0.753 ± 0.017,0.754 ± 0.019,0.742 ± 0.024,0.746 ± 0.021,0.718 ± 0.014,0.751 ± 0.030,0.749 ± 0.016,0.737 ± 0.016,0.728 ± 0.021,0.742 ± 0.023
,html,0.708 ± 0.000,0.759 ± 0.014,0.762 ± 0.012,0.763 ± 0.010,0.754 ± 0.018,0.741 ± 0.016,0.709 ± 0.000,0.766 ± 0.007,0.748 ± 0.016,0.769 ± 0.007,0.751 ± 0.008,0.750 ± 0.007,0.717 ± 0.010,0.740 ± 0.023,0.753 ± 0.014,0.756 ± 0.009,0.760 ± 0.008,0.745 ± 0.006
,markdown,0.740 ± 0.000,0.729 ± 0.022,0.753 ± 0.015,0.776 ± 0.008,0.771 ± 0.010,0.772 ± 0.007,0.717 ± 0.000,0.757 ± 0.010,0.755 ± 0.010,0.763 ± 0.015,0.743 ± 0.008,0.732 ± 0.024,0.733 ± 0.011,0.753 ± 0.023,0.755 ± 0.008,0.762 ± 0.015,0.747 ± 0.022,0.745 ± 0.011
,markdown_mask,0.743 ± 0.001,0.740 ± 0.017,0.764 ± 0.004,0.769 ± 0.008,0.762 ± 0.012,0.760 ± 0.013,0.749 ± 0.000,0.771 ± 0.011,0.772 ± 0.010,0.775 ± 0.010,0.772 ± 0.009,0.752 ± 0.025,0.731 ± 0.003,0.691 ± 0.043,0.691 ± 0.029,0.699 ± 0.043,0.694 ± 0.036,0.705 ± 0.028
bbbp,feat_val,0.711 ± 0.000,0.706 ± 0.065,0.793 ± 0.015,0.809 ± 0.021,0.828 ± 0.030,0.843 ± 0.013,0.804 ± 0.000,0.804 ± 0.025,0.812 ± 0.012,0.827 ± 0.013,0.832 ± 0.007,0.844 ± 0.023,0.753 ± 0.003,0.707 ± 0.085,0.736 ± 0.041,0.753 ± 0.040,0.775 ± 0.028,0.788 ± 0.025
,feat_val_mask,0.663 ± 0.000,0.635 ± 0.049,0.686 ± 0.056,0.765 ± 0.060,0.791 ± 0.019,0.828 ± 0.018,0.726 ± 0.000,0.788 ± 0.024,0.783 ± 0.034,0.801 ± 0.033,0.792 ± 0.023,0.811 ± 0.016,0.531 ± 0.010,0.578 ± 0.052,0.547 ± 0.033,0.666 ± 0.075,0.691 ± 0.103,0.740 ± 0.019
,html,0.713 ± 0.000,0.730 ± 0.061,0.792 ± 0.010,0.781 ± 0.022,0.787 ± 0.029,0.817 ± 0.021,0.802 ± 0.000,0.811 ± 0.021,0.813 ± 0.024,0.811 ± 0.020,0.823 ± 0.014,0.836 ± 0.013,0.717 ± 0.004,0.726 ± 0.037,0.708 ± 0.034,0.699 ± 0.048,0.696 ± 0.016,0.713 ± 0.027
,markdown,0.583 ± 0.000,0.713 ± 0.064,0.758 ± 0.018,0.782 ± 0.035,0.778 ± 0.023,0.792 ± 0.019,0.793 ± 0.000,0.799 ± 0.046,0.825 ± 0.018,0.828 ± 0.022,0.829 ± 0.009,0.837 ± 0.029,0.726 ± 0.007,0.666 ± 0.060,0.721 ± 0.036,0.708 ± 0.035,0.705 ± 0.029,0.719 ± 0.048
,markdown_mask,0.623 ± 0.001,0.721 ± 0.039,0.767 ± 0.026,0.771 ± 0.052,0.786 ± 0.017,0.792 ± 0.027,0.743 ± 0.000,0.778 ± 0.021,0.804 ± 0.040,0.809 ± 0.021,0.798 ± 0.027,0.811 ± 0.040,0.630 ± 0.009,0.560 ± 0.029,0.549 ± 0.053,0.616 ± 0.100,0.613 ± 0.084,0.724 ± 0.013
biodegr,feat_val,0.662 ± 0.000,0.674 ± 0.138,0.758 ± 0.137,0.772 ± 0.116,0.830 ± 0.034,0.846 ± 0.026,0.612 ± 0.000,0.618 ± 0.086,0.758 ± 0.094,0.780 ± 0.050,0.802 ± 0.047,0.840 ± 0.015,0.513 ± 0.007,0.614 ± 0.040,0.670 ± 0.107,0.651 ± 0.120,0.702 ± 0.080,0.711 ± 0.060
,feat_val_mask,0.566 ± 0.001,0.671 ± 0.048,0.712 ± 0.107,0.749 ± 0.080,0.801 ± 0.039,0.830 ± 0.019,0.732 ± 0.000,0.694 ± 0.043,0.771 ± 0.053,0.774 ± 0.059,0.781 ± 0.063,0.833 ± 0.006,0.656 ± 0.014,0.561 ± 0.043,0.659 ± 0.105,0.688 ± 0.078,0.684 ± 0.076,0.730 ± 0.066
,html,0.540 ± 0.001,0.641 ± 0.061,0.621 ± 0.102,0.682 ± 0.099,0.646 ± 0.070,0.671 ± 0.063,0.701 ± 0.000,0.600 ± 0.070,0.619 ± 0.078,0.607 ± 0.074,0.588 ± 0.059,0.599 ± 0.048,0.583 ± 0.006,0.672 ± 0.094,0.693 ± 0.037,0.712 ± 0.027,0.727 ± 0.027,0.711 ± 0.029
,markdown,0.692 ± 0.000,0.651 ± 0.054,0.647 ± 0.084,0.664 ± 0.090,0.619 ± 0.068,0.694 ± 0.036,0.549 ± 0.000,0.563 ± 0.057,0.586 ± 0.044,0.569 ± 0.045,0.585 ± 0.068,0.594 ± 0.039,0.666 ± 0.011,0.684 ± 0.063,0.646 ± 0.036,0.650 ± 0.021,0.665 ± 0.040,0.624 ± 0.060
,markdown_mask,0.532 ± 0.001,0.555 ± 0.063,0.692 ± 0.038,0.669 ± 0.111,0.663 ± 0.045,0.702 ± 0.035,0.537 ± 0.000,0.595 ± 0.050,0.555 ± 0.050,0.580 ± 0.055,0.522 ± 0.019,0.574 ± 0.080,0.529 ± 0.007,0.675 ± 0.101,0.612 ± 0.051,0.618 ± 0.014,0.647 ± 0.043,0.625 ± 0.079
seismic_bumps_ls_qwen,feat_val,0.523 ± 0.000,0.655 ± 0.109,0.743 ± 0.055,0.719 ± 0.056,0.740 ± 0.049,0.746 ± 0.041,0.557 ± 0.000,0.725 ± 0.101,0.730 ± 0.045,0.646 ± 0.058,0.647 ± 0.048,0.613 ± 0.043,--,--,--,--,--,--
,feat_val_mask,0.624 ± 0.000,0.575 ± 0.056,0.624 ± 0.050,0.584 ± 0.027,0.577 ± 0.042,0.605 ± 0.032,0.506 ± 0.000,0.666 ± 0.048,0.647 ± 0.036,0.628 ± 0.028,0.605 ± 0.033,0.630 ± 0.061,--,--,--,--,--,--
,html,0.511 ± 0.000,0.621 ± 0.030,0.683 ± 0.044,0.619 ± 0.033,0.682 ± 0.070,0.662 ± 0.036,0.510 ± 0.000,0.691 ± 0.116,0.641 ± 0.099,0.574 ± 0.056,0.621 ± 0.041,0.601 ± 0.024,--,--,--,--,--,--
,markdown,0.539 ± 0.000,0.568 ± 0.033,0.628 ± 0.057,0.581 ± 0.047,0.655 ± 0.060,0.597 ± 0.013,0.515 ± 0.000,0.615 ± 0.068,0.651 ± 0.069,0.590 ± 0.035,0.595 ± 0.032,0.586 ± 0.038,--,--,--,--,--,--
,markdown_mask,0.626 ± 0.003,0.579 ± 0.045,0.612 ± 0.085,0.599 ± 0.045,0.638 ± 0.059,0.642 ± 0.075,0.615 ± 0.000,0.626 ± 0.070,0.653 ± 0.075,0.589 ± 0.041,0.601 ± 0.056,0.613 ± 0.055,--,--,--,--,--,--
bbbp_ls_qwen,feat_val,0.864 ± 0.000,0.738 ± 0.131,0.752 ± 0.038,0.799 ± 0.084,0.855 ± 0.034,0.850 ± 0.048,0.725 ± 0.000,0.852 ± 0.091,0.879 ± 0.046,0.930 ± 0.034,0.940 ± 0.041,0.971 ± 0.008,--,--,--,--,--,--
,feat_val_mask,0.535 ± 0.000,0.720 ± 0.193,0.843 ± 0.096,0.940 ± 0.030,0.952 ± 0.014,0.938 ± 0.015,0.596 ± 0.000,0.807 ± 0.159,0.888 ± 0.098,0.963 ± 0.008,0.965 ± 0.011,0.977 ± 0.002,--,--,--,--,--,--
,html,0.928 ± 0.000,0.726 ± 0.115,0.726 ± 0.034,0.807 ± 0.077,0.821 ± 0.038,0.917 ± 0.029,0.754 ± 0.000,0.777 ± 0.049,0.837 ± 0.043,0.834 ± 0.050,0.848 ± 0.039,0.887 ± 0.036,--,--,--,--,--,--
,markdown,0.768 ± 0.001,0.624 ± 0.088,0.677 ± 0.061,0.832 ± 0.109,0.857 ± 0.032,0.891 ± 0.050,0.916 ± 0.000,0.648 ± 0.081,0.792 ± 0.073,0.848 ± 0.071,0.844 ± 0.052,0.892 ± 0.045,--,--,--,--,--,--
,markdown_mask,0.565 ± 0.004,0.665 ± 0.167,0.574 ± 0.053,0.759 ± 0.085,0.804 ± 0.106,0.821 ± 0.069,0.848 ± 0.000,0.722 ± 0.100,0.859 ± 0.079,0.930 ± 0.060,0.907 ± 0.050,0.936 ± 0.025,--,--,--,--,--,--
biodegr_ls_qwen,feat_val,0.621 ± 0.000,0.709 ± 0.040,0.732 ± 0.079,0.709 ± 0.078,0.787 ± 0.046,0.801 ± 0.097,0.534 ± 0.000,0.649 ± 0.066,0.665 ± 0.059,0.634 ± 0.016,0.699 ± 0.033,0.714 ± 0.079,--,--,--,--,--,--
,feat_val_mask,0.522 ± 0.000,0.576 ± 0.059,0.576 ± 0.127,0.608 ± 0.051,0.641 ± 0.038,0.671 ± 0.089,0.600 ± 0.000,0.674 ± 0.064,0.671 ± 0.059,0.692 ± 0.053,0.756 ± 0.059,0.782 ± 0.071,--,--,--,--,--,--
,html,0.708 ± 0.000,0.747 ± 0.071,0.789 ± 0.054,0.745 ± 0.037,0.744 ± 0.043,0.768 ± 0.044,0.665 ± 0.000,0.666 ± 0.029,0.680 ± 0.084,0.739 ± 0.097,0.793 ± 0.044,0.790 ± 0.027,--,--,--,--,--,--
,markdown,0.611 ± 0.000,0.739 ± 0.054,0.749 ± 0.024,0.741 ± 0.038,0.727 ± 0.053,0.762 ± 0.058,0.702 ± 0.000,0.685 ± 0.033,0.726 ± 0.063,0.648 ± 0.074,0.728 ± 0.052,0.785 ± 0.022,--,--,--,--,--,--
,markdown_mask,0.604 ± 0.000,0.814 ± 0.035,0.823 ± 0.017,0.827 ± 0.014,0.811 ± 0.038,0.826 ± 0.023,0.633 ± 0.000,0.743 ± 0.065,0.726 ± 0.083,0.709 ± 0.036,0.754 ± 0.056,0.840 ± 0.055,--,--,--,--,--,--
seismic_bumps_ls_gpt,feat_val,--,--,--,--,--,--,--,--,--,--,--,--,0.845 ± 0.013,0.937 ± 0.023,0.947 ± 0.016,0.957 ± 0.011,0.968 ± 0.007,0.960 ± 0.009
,feat_val_mask,--,--,--,--,--,--,--,--,--,--,--,--,0.837 ± 0.009,0.889 ± 0.014,0.893 ± 0.019,0.900 ± 0.016,0.923 ± 0.010,0.924 ± 0.014
,html,--,--,--,--,--,--,--,--,--,--,--,--,0.817 ± 0.005,0.955 ± 0.011,0.961 ± 0.007,0.949 ± 0.011,0.957 ± 0.007,0.952 ± 0.005
,markdown,--,--,--,--,--,--,--,--,--,--,--,--,0.825 ± 0.006,0.946 ± 0.013,0.945 ± 0.015,0.956 ± 0.005,0.943 ± 0.013,0.956 ± 0.004
,markdown_mask,--,--,--,--,--,--,--,--,--,--,--,--,0.804 ± 0.011,0.909 ± 0.026,0.931 ± 0.010,0.925 ± 0.012,0.925 ± 0.012,0.932 ± 0.007
bbbp_ls_gpt,feat_val,--,--,--,--,--,--,--,--,--,--,--,--,0.826 ± 0.005,0.761 ± 0.110,0.726 ± 0.031,0.747 ± 0.034,0.804 ± 0.032,0.788 ± 0.049
,feat_val_mask,--,--,--,--,--,--,--,--,--,--,--,--,0.573 ± 0.019,0.560 ± 0.042,0.541 ± 0.039,0.590 ± 0.066,0.649 ± 0.041,0.606 ± 0.077
,html,--,--,--,--,--,--,--,--,--,--,--,--,0.704 ± 0.005,0.691 ± 0.047,0.695 ± 0.038,0.716 ± 0.068,0.699 ± 0.034,0.685 ± 0.034
,markdown,--,--,--,--,--,--,--,--,--,--,--,--,0.768 ± 0.004,0.721 ± 0.046,0.681 ± 0.068,0.684 ± 0.051,0.709 ± 0.057,0.688 ± 0.047
,markdown_mask,--,--,--,--,--,--,--,--,--,--,--,--,0.549 ± 0.021,0.629 ± 0.058,0.623 ± 0.075,0.617 ± 0.046,0.618 ± 0.059,0.640 ± 0.036
biodegr_ls_gpt,feat_val,--,--,--,--,--,--,--,--,--,--,--,--,0.639 ± 0.003,0.655 ± 0.033,0.652 ± 0.041,0.672 ± 0.061,0.661 ± 0.025,0.718 ± 0.038
,feat_val_mask,--,--,--,--,--,--,--,--,--,--,--,--,0.594 ± 0.006,0.600 ± 0.033,0.604 ± 0.029,0.606 ± 0.043,0.586 ± 0.035,0.630 ± 0.016
,html,--,--,--,--,--,--,--,--,--,--,--,--,0.647 ± 0.003,0.676 ± 0.016,0.652 ± 0.016,0.669 ± 0.017,0.641 ± 0.036,0.696 ± 0.025
