,,Models,,,,,,,,,,,,,,,,,
Dataset,Serialization,Qwen3-8B,Qwen3-14B,GPT-4o-mini,,,,,,,,,,,,,,,
,,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64
extrovert,feat_val,0.614 ± 0.000,0.592 ± 0.009,0.599 ± 0.024,0.589 ± 0.039,0.612 ± 0.013,0.641 ± 0.028,0.627 ± 0.000,0.576 ± 0.029,0.582 ± 0.056,0.580 ± 0.033,0.598 ± 0.036,0.635 ± 0.023,0.568 ± 0.001,0.582 ± 0.022,0.592 ± 0.040,0.610 ± 0.010,0.600 ± 0.014,0.635 ± 0.020
,feat_val_mask,0.600 ± 0.000,0.577 ± 0.019,0.571 ± 0.036,0.589 ± 0.012,0.591 ± 0.010,0.593 ± 0.011,0.562 ± 0.000,0.586 ± 0.041,0.575 ± 0.037,0.578 ± 0.036,0.592 ± 0.040,0.650 ± 0.029,0.588 ± 0.003,0.567 ± 0.033,0.565 ± 0.044,0.579 ± 0.017,0.577 ± 0.025,0.624 ± 0.020
,html,0.523 ± 0.000,0.578 ± 0.014,0.568 ± 0.025,0.584 ± 0.032,0.564 ± 0.035,0.586 ± 0.043,0.603 ± 0.000,0.570 ± 0.018,0.566 ± 0.044,0.566 ± 0.030,0.600 ± 0.033,0.628 ± 0.033,0.556 ± 0.003,0.561 ± 0.019,0.575 ± 0.016,0.580 ± 0.017,0.586 ± 0.026,0.597 ± 0.017
,markdown,0.587 ± 0.000,0.576 ± 0.006,0.562 ± 0.015,0.585 ± 0.059,0.567 ± 0.040,0.611 ± 0.017,0.596 ± 0.000,0.567 ± 0.024,0.550 ± 0.040,0.572 ± 0.043,0.604 ± 0.061,0.606 ± 0.056,0.554 ± 0.003,0.555 ± 0.023,0.561 ± 0.026,0.561 ± 0.011,0.572 ± 0.047,0.595 ± 0.021
,markdown_mask,0.606 ± 0.000,0.604 ± 0.020,0.573 ± 0.042,0.604 ± 0.028,0.591 ± 0.041,0.632 ± 0.041,0.615 ± 0.000,0.581 ± 0.045,0.569 ± 0.048,0.584 ± 0.019,0.616 ± 0.045,0.604 ± 0.049,0.573 ± 0.004,0.580 ± 0.028,0.586 ± 0.021,0.588 ± 0.010,0.588 ± 0.020,0.608 ± 0.021
adult,feat_val,0.827 ± 0.000,0.817 ± 0.026,0.799 ± 0.036,0.833 ± 0.020,0.842 ± 0.017,0.854 ± 0.014,0.834 ± 0.000,0.826 ± 0.030,0.816 ± 0.023,0.841 ± 0.024,0.856 ± 0.016,0.865 ± 0.013,0.839 ± 0.001,0.833 ± 0.026,0.853 ± 0.009,0.858 ± 0.008,0.872 ± 0.015,0.868 ± 0.009
,feat_val_mask,0.764 ± 0.000,0.831 ± 0.045,0.831 ± 0.023,0.840 ± 0.036,0.863 ± 0.024,0.879 ± 0.005,0.813 ± 0.000,0.835 ± 0.045,0.810 ± 0.027,0.857 ± 0.027,0.857 ± 0.027,0.882 ± 0.015,0.703 ± 0.008,0.759 ± 0.079,0.757 ± 0.027,0.749 ± 0.055,0.770 ± 0.021,0.787 ± 0.030
,html,0.852 ± 0.000,0.849 ± 0.019,0.853 ± 0.030,0.864 ± 0.011,0.873 ± 0.015,0.867 ± 0.017,0.840 ± 0.000,0.822 ± 0.040,0.802 ± 0.012,0.830 ± 0.014,0.840 ± 0.033,0.853 ± 0.012,0.864 ± 0.001,0.842 ± 0.010,0.858 ± 0.009,0.852 ± 0.011,0.851 ± 0.014,0.848 ± 0.019
,markdown,0.843 ± 0.000,0.811 ± 0.035,0.820 ± 0.029,0.852 ± 0.012,0.857 ± 0.014,0.823 ± 0.015,0.823 ± 0.000,0.816 ± 0.030,0.802 ± 0.007,0.822 ± 0.023,0.837 ± 0.036,0.842 ± 0.016,0.848 ± 0.003,0.828 ± 0.014,0.850 ± 0.012,0.847 ± 0.011,0.853 ± 0.019,0.847 ± 0.015
,markdown_mask,0.729 ± 0.002,0.828 ± 0.033,0.839 ± 0.016,0.847 ± 0.028,0.868 ± 0.011,0.829 ± 0.037,0.813 ± 0.000,0.847 ± 0.041,0.821 ± 0.026,0.847 ± 0.036,0.851 ± 0.051,0.867 ± 0.029,0.707 ± 0.006,0.800 ± 0.048,0.782 ± 0.036,0.809 ± 0.047,0.799 ± 0.039,0.814 ± 0.028
tech_mental_health_survey,feat_val,0.695 ± 0.000,0.863 ± 0.018,0.865 ± 0.020,0.869 ± 0.020,0.885 ± 0.015,0.877 ± 0.027,0.721 ± 0.000,0.826 ± 0.071,0.854 ± 0.021,0.840 ± 0.035,0.878 ± 0.012,0.858 ± 0.049,0.715 ± 0.003,0.706 ± 0.096,0.809 ± 0.044,0.822 ± 0.067,0.871 ± 0.022,0.881 ± 0.019
,feat_val_mask,0.536 ± 0.000,0.642 ± 0.064,0.676 ± 0.034,0.671 ± 0.065,0.686 ± 0.018,0.689 ± 0.052,0.595 ± 0.000,0.677 ± 0.077,0.754 ± 0.031,0.737 ± 0.052,0.771 ± 0.015,0.739 ± 0.037,0.559 ± 0.007,0.651 ± 0.078,0.673 ± 0.072,0.668 ± 0.047,0.670 ± 0.017,0.692 ± 0.035
,html,0.621 ± 0.003,0.719 ± 0.019,0.759 ± 0.056,0.700 ± 0.054,0.723 ± 0.024,0.726 ± 0.045,0.663 ± 0.000,0.638 ± 0.030,0.653 ± 0.031,0.661 ± 0.036,0.719 ± 0.021,0.710 ± 0.040,0.640 ± 0.007,0.646 ± 0.028,0.661 ± 0.019,0.663 ± 0.020,0.674 ± 0.019,0.669 ± 0.034
,markdown,0.611 ± 0.004,0.738 ± 0.030,0.769 ± 0.052,0.711 ± 0.059,0.766 ± 0.055,0.724 ± 0.030,0.643 ± 0.000,0.681 ± 0.025,0.700 ± 0.041,0.711 ± 0.052,0.741 ± 0.027,0.711 ± 0.023,0.651 ± 0.003,0.688 ± 0.022,0.700 ± 0.022,0.698 ± 0.023,0.703 ± 0.019,0.689 ± 0.033
,markdown_mask,0.512 ± 0.002,0.588 ± 0.039,0.612 ± 0.040,0.572 ± 0.020,0.632 ± 0.047,0.606 ± 0.051,0.584 ± 0.000,0.639 ± 0.055,0.685 ± 0.025,0.707 ± 0.038,0.752 ± 0.031,0.743 ± 0.028,0.505 ± 0.004,0.613 ± 0.028,0.647 ± 0.033,0.639 ± 0.039,0.636 ± 0.034,0.631 ± 0.045
fitness,feat_val,0.627 ± 0.000,0.620 ± 0.075,0.631 ± 0.039,0.599 ± 0.037,0.628 ± 0.046,0.649 ± 0.033,0.642 ± 0.000,0.673 ± 0.066,0.676 ± 0.049,0.655 ± 0.043,0.662 ± 0.020,0.676 ± 0.018,0.654 ± 0.009,0.708 ± 0.043,0.712 ± 0.020,0.681 ± 0.037,0.696 ± 0.019,0.719 ± 0.017
,feat_val_mask,0.556 ± 0.000,0.538 ± 0.022,0.564 ± 0.037,0.586 ± 0.045,0.571 ± 0.034,0.623 ± 0.046,0.565 ± 0.000,0.582 ± 0.067,0.616 ± 0.055,0.620 ± 0.048,0.587 ± 0.047,0.643 ± 0.052,0.512 ± 0.011,0.647 ± 0.057,0.653 ± 0.009,0.605 ± 0.054,0.623 ± 0.026,0.667 ± 0.028
,html,0.551 ± 0.001,0.650 ± 0.052,0.693 ± 0.024,0.631 ± 0.020,0.645 ± 0.045,0.658 ± 0.012,0.608 ± 0.000,0.644 ± 0.051,0.646 ± 0.047,0.632 ± 0.035,0.648 ± 0.022,0.668 ± 0.020,0.597 ± 0.015,0.733 ± 0.023,0.713 ± 0.038,0.681 ± 0.035,0.678 ± 0.044,0.705 ± 0.028
,markdown,0.511 ± 0.002,0.615 ± 0.059,0.622 ± 0.028,0.614 ± 0.046,0.618 ± 0.054,0.630 ± 0.012,0.502 ± 0.000,0.620 ± 0.047,0.631 ± 0.053,0.644 ± 0.044,0.645 ± 0.043,0.658 ± 0.031,0.627 ± 0.006,0.732 ± 0.042,0.696 ± 0.035,0.660 ± 0.039,0.653 ± 0.048,0.653 ± 0.029
,markdown_mask,0.501 ± 0.001,0.564 ± 0.056,0.567 ± 0.023,0.572 ± 0.045,0.563 ± 0.035,0.584 ± 0.037,0.501 ± 0.000,0.623 ± 0.048,0.626 ± 0.037,0.619 ± 0.038,0.594 ± 0.032,0.633 ± 0.048,0.564 ± 0.009,0.578 ± 0.074,0.654 ± 0.054,0.569 ± 0.056,0.528 ± 0.018,0.554 ± 0.045
adult_ls_qwen,feat_val,0.721 ± 0.000,0.928 ± 0.016,0.937 ± 0.026,0.953 ± 0.014,0.949 ± 0.013,0.957 ± 0.004,0.742 ± 0.000,0.943 ± 0.029,0.963 ± 0.006,0.960 ± 0.010,0.964 ± 0.009,0.963 ± 0.004,--,--,--,--,--,--
,feat_val_mask,0.504 ± 0.000,0.814 ± 0.037,0.864 ± 0.069,0.888 ± 0.050,0.894 ± 0.061,0.923 ± 0.012,0.504 ± 0.000,0.917 ± 0.013,0.949 ± 0.020,0.952 ± 0.013,0.960 ± 0.018,0.962 ± 0.011,--,--,--,--,--,--
,html,0.632 ± 0.000,0.959 ± 0.011,0.962 ± 0.008,0.956 ± 0.013,0.967 ± 0.006,0.966 ± 0.003,0.858 ± 0.000,0.960 ± 0.012,0.960 ± 0.014,0.957 ± 0.012,0.968 ± 0.012,0.960 ± 0.005,--,--,--,--,--,--
,markdown,0.521 ± 0.000,0.950 ± 0.016,0.959 ± 0.013,0.938 ± 0.028,0.944 ± 0.014,0.942 ± 0.009,0.863 ± 0.000,0.968 ± 0.003,0.963 ± 0.010,0.961 ± 0.008,0.962 ± 0.015,0.964 ± 0.004,--,--,--,--,--,--
,markdown_mask,0.527 ± 0.006,0.783 ± 0.098,0.771 ± 0.081,0.725 ± 0.070,0.744 ± 0.066,0.766 ± 0.076,0.628 ± 0.000,0.891 ± 0.023,0.929 ± 0.030,0.887 ± 0.032,0.935 ± 0.026,0.918 ± 0.010,--,--,--,--,--,--
tech_mental_health_survey_ls_qwen,feat_val,0.674 ± 0.001,0.829 ± 0.033,0.828 ± 0.032,0.822 ± 0.032,0.816 ± 0.026,0.792 ± 0.024,0.767 ± 0.000,0.824 ± 0.031,0.834 ± 0.017,0.833 ± 0.014,0.827 ± 0.019,0.808 ± 0.013,--,--,--,--,--,--
,feat_val_mask,0.533 ± 0.001,0.630 ± 0.028,0.584 ± 0.056,0.552 ± 0.044,0.547 ± 0.027,0.562 ± 0.028,0.573 ± 0.000,0.634 ± 0.039,0.609 ± 0.042,0.663 ± 0.034,0.598 ± 0.025,0.645 ± 0.017,--,--,--,--,--,--
,html,0.628 ± 0.001,0.699 ± 0.024,0.713 ± 0.025,0.721 ± 0.010,0.717 ± 0.020,0.670 ± 0.014,0.719 ± 0.000,0.723 ± 0.019,0.691 ± 0.025,0.707 ± 0.028,0.677 ± 0.024,0.648 ± 0.010,--,--,--,--,--,--
,markdown,0.701 ± 0.001,0.745 ± 0.018,0.711 ± 0.013,0.684 ± 0.015,0.697 ± 0.017,0.720 ± 0.011,0.698 ± 0.000,0.742 ± 0.019,0.743 ± 0.024,0.723 ± 0.006,0.720 ± 0.028,0.750 ± 0.017,--,--,--,--,--,--
,markdown_mask,0.683 ± 0.006,0.694 ± 0.035,0.666 ± 0.037,0.615 ± 0.031,0.616 ± 0.030,0.618 ± 0.030,0.673 ± 0.000,0.630 ± 0.011,0.656 ± 0.043,0.645 ± 0.032,0.663 ± 0.040,0.642 ± 0.027,--,--,--,--,--,--
fitness_ls_qwen,feat_val,0.707 ± 0.000,0.779 ± 0.029,0.768 ± 0.061,0.778 ± 0.035,0.792 ± 0.028,0.789 ± 0.037,0.696 ± 0.000,0.848 ± 0.063,0.852 ± 0.062,0.842 ± 0.053,0.843 ± 0.056,0.815 ± 0.057,--,--,--,--,--,--
,feat_val_mask,0.510 ± 0.000,0.633 ± 0.041,0.639 ± 0.032,0.631 ± 0.058,0.637 ± 0.020,0.643 ± 0.033,0.604 ± 0.000,0.671 ± 0.047,0.686 ± 0.051,0.733 ± 0.049,0.759 ± 0.061,0.735 ± 0.040,--,--,--,--,--,--
,html,0.589 ± 0.000,0.562 ± 0.045,0.634 ± 0.049,0.624 ± 0.053,0.628 ± 0.064,0.622 ± 0.028,0.720 ± 0.000,0.823 ± 0.023,0.876 ± 0.021,0.862 ± 0.024,0.840 ± 0.018,0.847 ± 0.033,--,--,--,--,--,--
,markdown,0.532 ± 0.000,0.699 ± 0.030,0.698 ± 0.054,0.784 ± 0.017,0.730 ± 0.057,0.727 ± 0.036,0.621 ± 0.000,0.808 ± 0.050,0.868 ± 0.023,0.873 ± 0.023,0.871 ± 0.033,0.865 ± 0.025,--,--,--,--,--,--
,markdown_mask,0.508 ± 0.004,0.572 ± 0.036,0.646 ± 0.144,0.600 ± 0.112,0.748 ± 0.082,0.712 ± 0.120,0.612 ± 0.000,0.688 ± 0.063,0.690 ± 0.043,0.730 ± 0.078,0.747 ± 0.067,0.764 ± 0.039,--,--,--,--,--,--
adult_ls_gpt,feat_val,--,--,--,--,--,--,--,--,--,--,--,--,0.821 ± 0.005,0.833 ± 0.018,0.838 ± 0.025,0.852 ± 0.041,0.830 ± 0.030,0.840 ± 0.025
,feat_val_mask,--,--,--,--,--,--,--,--,--,--,--,--,0.918 ± 0.003,0.899 ± 0.028,0.891 ± 0.028,0.907 ± 0.014,0.912 ± 0.017,0.910 ± 0.016
