,,Models,,,,,,,,,,,,,,,,,
Dataset,Serialization,Qwen3-8B,Qwen3-14B,GPT-4o-mini,,,,,,,,,,,,,,,
,,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64
machine,feat_val,0.536 ± 0.000,0.520 ± 0.015,0.523 ± 0.020,0.531 ± 0.017,0.522 ± 0.011,0.537 ± 0.016,0.512 ± 0.000,0.530 ± 0.021,0.524 ± 0.025,0.536 ± 0.021,0.540 ± 0.019,0.539 ± 0.022,0.545 ± 0.016,0.527 ± 0.017,0.533 ± 0.016,0.536 ± 0.017,0.541 ± 0.028,0.541 ± 0.028
,feat_val_mask,0.502 ± 0.000,0.544 ± 0.031,0.524 ± 0.018,0.528 ± 0.021,0.527 ± 0.030,0.542 ± 0.022,0.506 ± 0.000,0.535 ± 0.036,0.533 ± 0.018,0.530 ± 0.017,0.544 ± 0.037,0.548 ± 0.028,0.510 ± 0.006,0.532 ± 0.028,0.532 ± 0.023,0.530 ± 0.018,0.516 ± 0.013,0.516 ± 0.013
,html,0.504 ± 0.000,0.530 ± 0.020,0.526 ± 0.015,0.551 ± 0.016,0.536 ± 0.017,0.534 ± 0.013,0.549 ± 0.000,0.534 ± 0.017,0.537 ± 0.023,0.545 ± 0.025,0.545 ± 0.004,0.548 ± 0.005,0.554 ± 0.006,0.541 ± 0.012,0.523 ± 0.016,0.549 ± 0.007,0.548 ± 0.020,0.548 ± 0.020
,markdown,0.506 ± 0.000,0.523 ± 0.021,0.522 ± 0.020,0.539 ± 0.021,0.524 ± 0.022,0.525 ± 0.014,0.531 ± 0.000,0.537 ± 0.017,0.533 ± 0.019,0.533 ± 0.019,0.539 ± 0.010,0.538 ± 0.010,0.535 ± 0.013,0.538 ± 0.017,0.534 ± 0.019,0.536 ± 0.012,0.535 ± 0.017,0.535 ± 0.017
,markdown_mask,0.525 ± 0.001,0.534 ± 0.023,0.521 ± 0.017,0.523 ± 0.026,0.528 ± 0.033,0.531 ± 0.023,0.507 ± 0.000,0.553 ± 0.038,0.544 ± 0.026,0.538 ± 0.028,0.524 ± 0.016,0.542 ± 0.025,0.509 ± 0.011,0.526 ± 0.021,0.537 ± 0.025,0.540 ± 0.013,0.541 ± 0.027,0.541 ± 0.027
pc4,feat_val,0.504 ± 0.000,0.581 ± 0.061,0.598 ± 0.054,0.666 ± 0.057,0.703 ± 0.015,0.724 ± 0.032,0.531 ± 0.000,0.639 ± 0.049,0.675 ± 0.055,0.699 ± 0.034,0.689 ± 0.012,0.705 ± 0.018,0.582 ± 0.009,0.601 ± 0.026,0.630 ± 0.054,0.675 ± 0.032,0.695 ± 0.020,0.702 ± 0.027
,feat_val_mask,0.654 ± 0.000,0.678 ± 0.048,0.676 ± 0.082,0.746 ± 0.026,0.717 ± 0.017,0.737 ± 0.010,0.596 ± 0.000,0.704 ± 0.018,0.714 ± 0.026,0.750 ± 0.028,0.729 ± 0.017,0.741 ± 0.019,0.605 ± 0.032,0.687 ± 0.046,0.724 ± 0.016,0.762 ± 0.021,0.766 ± 0.014,0.779 ± 0.018
,html,0.573 ± 0.036,0.575 ± 0.059,0.628 ± 0.047,0.650 ± 0.074,0.667 ± 0.027,0.669 ± 0.055,0.624 ± 0.000,0.606 ± 0.032,0.637 ± 0.052,0.641 ± 0.060,0.649 ± 0.029,0.634 ± 0.008,0.717 ± 0.006,0.611 ± 0.035,0.656 ± 0.026,0.646 ± 0.018,0.664 ± 0.016,0.653 ± 0.016
,markdown,0.521 ± 0.013,0.591 ± 0.058,0.625 ± 0.065,0.632 ± 0.080,0.694 ± 0.030,0.646 ± 0.036,0.614 ± 0.000,0.604 ± 0.039,0.636 ± 0.032,0.637 ± 0.074,0.619 ± 0.072,0.620 ± 0.054,0.650 ± 0.004,0.631 ± 0.051,0.646 ± 0.041,0.648 ± 0.021,0.683 ± 0.014,0.689 ± 0.016
,markdown_mask,0.557 ± 0.032,0.647 ± 0.075,0.692 ± 0.068,0.729 ± 0.036,0.740 ± 0.016,0.738 ± 0.014,0.767 ± 0.000,0.650 ± 0.062,0.662 ± 0.062,0.697 ± 0.039,0.678 ± 0.046,0.677 ± 0.040,0.601 ± 0.024,0.677 ± 0.041,0.687 ± 0.038,0.706 ± 0.020,0.714 ± 0.013,0.714 ± 0.013
steel,feat_val,0.970 ± 0.000,0.999 ± 0.002,0.998 ± 0.004,0.993 ± 0.015,0.998 ± 0.001,--,0.996 ± 0.000,0.910 ± 0.056,0.964 ± 0.019,0.982 ± 0.010,0.983 ± 0.015,0.996 ± 0.005,0.930 ± 0.002,0.981 ± 0.019,0.991 ± 0.008,0.989 ± 0.013,0.994 ± 0.004,0.995 ± 0.003
,feat_val_mask,0.740 ± 0.000,0.792 ± 0.058,0.752 ± 0.064,0.798 ± 0.030,0.818 ± 0.032,0.827 ± 0.050,0.509 ± 0.000,0.695 ± 0.048,0.736 ± 0.034,0.768 ± 0.042,0.811 ± 0.013,0.796 ± 0.024,0.628 ± 0.006,0.766 ± 0.058,0.742 ± 0.072,0.775 ± 0.077,0.815 ± 0.033,0.774 ± 0.040
,html,0.987 ± 0.001,0.986 ± 0.011,0.990 ± 0.008,0.982 ± 0.022,0.969 ± 0.014,--,0.999 ± 0.000,0.891 ± 0.042,0.836 ± 0.039,0.847 ± 0.047,0.851 ± 0.019,0.853 ± 0.018,0.893 ± 0.009,0.832 ± 0.035,0.801 ± 0.035,0.742 ± 0.019,0.711 ± 0.033,0.659 ± 0.035
,markdown,0.967 ± 0.003,0.965 ± 0.027,0.935 ± 0.043,0.966 ± 0.011,0.989 ± 0.008,--,0.974 ± 0.000,0.892 ± 0.064,0.863 ± 0.035,0.851 ± 0.041,0.895 ± 0.045,0.886 ± 0.032,0.953 ± 0.003,0.844 ± 0.041,0.862 ± 0.009,0.869 ± 0.023,0.872 ± 0.031,0.848 ± 0.026
,markdown_mask,0.760 ± 0.005,0.866 ± 0.043,0.825 ± 0.058,0.872 ± 0.035,0.874 ± 0.036,0.845 ± 0.029,0.743 ± 0.000,0.656 ± 0.055,0.642 ± 0.046,0.645 ± 0.022,0.662 ± 0.029,0.661 ± 0.024,0.547 ± 0.023,0.621 ± 0.037,0.661 ± 0.042,0.667 ± 0.042,0.714 ± 0.040,0.676 ± 0.037
kc1,feat_val,0.708 ± 0.000,0.731 ± 0.047,0.714 ± 0.053,0.750 ± 0.020,0.754 ± 0.021,0.763 ± 0.009,0.633 ± 0.000,0.711 ± 0.023,0.687 ± 0.074,0.732 ± 0.037,0.747 ± 0.015,0.745 ± 0.035,0.735 ± 0.008,0.747 ± 0.019,0.730 ± 0.059,0.757 ± 0.020,0.764 ± 0.009,0.759 ± 0.008
,feat_val_mask,0.598 ± 0.000,0.747 ± 0.042,0.743 ± 0.025,0.748 ± 0.031,0.751 ± 0.030,0.764 ± 0.008,0.519 ± 0.000,0.755 ± 0.017,0.724 ± 0.041,0.752 ± 0.024,0.757 ± 0.017,0.764 ± 0.017,0.534 ± 0.013,0.770 ± 0.020,0.707 ± 0.100,0.759 ± 0.017,0.757 ± 0.010,0.763 ± 0.016
,html,0.739 ± 0.001,0.693 ± 0.061,0.679 ± 0.070,0.727 ± 0.021,0.756 ± 0.013,0.764 ± 0.010,0.712 ± 0.000,0.703 ± 0.059,0.652 ± 0.110,0.721 ± 0.041,0.727 ± 0.022,0.749 ± 0.036,0.663 ± 0.006,0.741 ± 0.044,0.724 ± 0.034,0.755 ± 0.021,0.770 ± 0.011,0.763 ± 0.013
,markdown,0.722 ± 0.000,0.643 ± 0.053,0.720 ± 0.034,0.697 ± 0.049,0.722 ± 0.039,0.688 ± 0.095,0.673 ± 0.000,0.590 ± 0.059,0.682 ± 0.086,0.690 ± 0.035,0.716 ± 0.035,0.736 ± 0.041,0.707 ± 0.006,0.770 ± 0.008,0.748 ± 0.032,0.753 ± 0.021,0.768 ± 0.009,0.774 ± 0.004
,markdown_mask,0.548 ± 0.000,0.736 ± 0.025,0.753 ± 0.014,0.704 ± 0.077,0.729 ± 0.042,0.731 ± 0.025,0.759 ± 0.000,0.698 ± 0.093,0.688 ± 0.105,0.761 ± 0.005,0.760 ± 0.013,0.755 ± 0.023,0.587 ± 0.007,0.760 ± 0.015,0.704 ± 0.077,0.737 ± 0.050,0.772 ± 0.005,0.775 ± 0.003
pc4_ls_qwen,feat_val,0.829 ± 0.000,0.730 ± 0.029,0.747 ± 0.018,0.760 ± 0.019,0.793 ± 0.017,0.785 ± 0.018,0.695 ± 0.000,0.738 ± 0.042,0.753 ± 0.019,0.773 ± 0.032,0.794 ± 0.014,0.775 ± 0.016,--,--,--,--,--,--
,feat_val_mask,0.541 ± 0.001,0.562 ± 0.021,0.527 ± 0.030,0.528 ± 0.027,0.548 ± 0.041,0.543 ± 0.032,0.667 ± 0.000,0.587 ± 0.041,0.551 ± 0.045,0.556 ± 0.035,0.565 ± 0.043,0.576 ± 0.073,--,--,--,--,--,--
,html,0.776 ± 0.000,0.713 ± 0.016,0.689 ± 0.058,0.720 ± 0.022,0.709 ± 0.032,0.678 ± 0.013,0.723 ± 0.000,0.733 ± 0.022,0.717 ± 0.011,0.710 ± 0.040,0.738 ± 0.016,0.741 ± 0.020,--,--,--,--,--,--
,markdown,0.682 ± 0.000,0.657 ± 0.031,0.697 ± 0.022,0.714 ± 0.025,0.679 ± 0.040,0.709 ± 0.034,0.569 ± 0.000,0.677 ± 0.062,0.665 ± 0.033,0.643 ± 0.050,0.697 ± 0.040,0.688 ± 0.017,--,--,--,--,--,--
,markdown_mask,0.504 ± 0.003,0.595 ± 0.020,0.601 ± 0.035,0.584 ± 0.012,0.589 ± 0.018,0.576 ± 0.022,0.562 ± 0.000,0.589 ± 0.033,0.567 ± 0.021,0.569 ± 0.022,0.568 ± 0.041,0.542 ± 0.031,--,--,--,--,--,--
steel_ls_qwen,feat_val,0.995 ± 0.000,0.997 ± 0.002,0.994 ± 0.002,0.995 ± 0.004,0.998 ± 0.003,0.998 ± 0.002,0.989 ± 0.000,0.993 ± 0.002,0.991 ± 0.004,0.991 ± 0.004,0.992 ± 0.002,0.992 ± 0.004,--,--,--,--,--,--
,feat_val_mask,0.568 ± 0.000,0.989 ± 0.006,0.992 ± 0.002,0.982 ± 0.026,0.990 ± 0.004,0.977 ± 0.021,0.879 ± 0.000,0.988 ± 0.007,0.995 ± 0.002,0.994 ± 0.005,0.995 ± 0.001,0.993 ± 0.002,--,--,--,--,--,--
,html,0.994 ± 0.000,0.997 ± 0.003,0.995 ± 0.003,0.992 ± 0.002,0.990 ± 0.005,0.993 ± 0.005,0.987 ± 0.000,0.992 ± 0.003,0.992 ± 0.002,0.991 ± 0.003,0.993 ± 0.005,0.988 ± 0.002,--,--,--,--,--,--
,markdown,0.985 ± 0.000,0.997 ± 0.002,0.993 ± 0.005,0.993 ± 0.004,0.995 ± 0.002,0.993 ± 0.003,0.998 ± 0.000,0.993 ± 0.004,0.994 ± 0.002,0.992 ± 0.003,0.995 ± 0.003,0.994 ± 0.002,--,--,--,--,--,--
,markdown_mask,0.982 ± 0.003,0.993 ± 0.001,0.995 ± 0.001,0.989 ± 0.008,0.981 ± 0.013,0.964 ± 0.050,0.898 ± 0.000,0.977 ± 0.016,0.995 ± 0.002,0.977 ± 0.023,0.952 ± 0.096,0.962 ± 0.038,--,--,--,--,--,--
kc1_ls_qwen,feat_val,0.501 ± 0.000,0.715 ± 0.033,0.718 ± 0.076,0.761 ± 0.024,0.763 ± 0.025,0.758 ± 0.024,0.559 ± 0.000,0.703 ± 0.032,0.706 ± 0.053,0.743 ± 0.031,0.760 ± 0.023,0.756 ± 0.010,--,--,--,--,--,--
,feat_val_mask,0.519 ± 0.000,0.647 ± 0.047,0.658 ± 0.048,0.696 ± 0.012,0.704 ± 0.027,0.699 ± 0.052,0.559 ± 0.000,0.594 ± 0.061,0.621 ± 0.067,0.658 ± 0.072,0.660 ± 0.056,0.649 ± 0.063,--,--,--,--,--,--
,html,0.522 ± 0.000,0.664 ± 0.024,0.644 ± 0.028,0.677 ± 0.027,0.693 ± 0.021,0.664 ± 0.041,0.548 ± 0.000,0.674 ± 0.024,0.658 ± 0.053,0.691 ± 0.047,0.723 ± 0.017,0.681 ± 0.026,--,--,--,--,--,--
,markdown,0.527 ± 0.001,0.681 ± 0.037,0.614 ± 0.020,0.674 ± 0.023,0.661 ± 0.031,0.639 ± 0.026,0.500 ± 0.000,0.635 ± 0.019,0.611 ± 0.051,0.645 ± 0.055,0.695 ± 0.012,0.698 ± 0.024,--,--,--,--,--,--
,markdown_mask,0.512 ± 0.004,0.640 ± 0.068,0.635 ± 0.031,0.665 ± 0.042,0.687 ± 0.015,0.662 ± 0.045,0.513 ± 0.000,0.628 ± 0.051,0.618 ± 0.068,0.637 ± 0.055,0.654 ± 0.017,0.624 ± 0.045,--,--,--,--,--,--
pc4_ls_gpt,feat_val,--,--,--,--,--,--,--,--,--,--,--,--,0.635 ± 0.005,0.739 ± 0.025,0.736 ± 0.031,0.747 ± 0.018,0.740 ± 0.013,0.755 ± 0.015
,feat_val_mask,--,--,--,--,--,--,--,--,--,--,--,--,0.596 ± 0.015,0.727 ± 0.040,0.737 ± 0.056,0.723 ± 0.019,0.748 ± 0.024,0.745 ± 0.035
,html,--,--,--,--,--,--,--,--,--,--,--,--,0.680 ± 0.007,0.756 ± 0.014,0.776 ± 0.018,0.770 ± 0.012,0.742 ± 0.010,0.752 ± 0.013
