,,Models,,,,,,,,,,,,,,,,,
Dataset,Serialization,Qwen3-8B,Qwen3-14B,GPT-4o-mini,,,,,,,,,,,,,,,
,,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64,shot 0,shot 4,shot 8,shot 16,shot 32,shot 64
mlp0_f5_h0_no_noise_ReLU,feat_val_mask,0.564 ± 0.001,0.639 ± 0.070,0.676 ± 0.063,0.713 ± 0.059,0.717 ± 0.042,0.746 ± 0.039,0.602 ± 0.000,0.688 ± 0.088,0.707 ± 0.079,0.748 ± 0.059,0.759 ± 0.047,0.778 ± 0.044,0.608 ± 0.004,0.645 ± 0.065,0.689 ± 0.079,0.708 ± 0.055,0.741 ± 0.040,0.740 ± 0.047
,markdown_mask,0.548 ± 0.010,0.644 ± 0.068,0.684 ± 0.081,0.702 ± 0.058,0.721 ± 0.047,0.739 ± 0.044,0.571 ± 0.000,0.683 ± 0.093,0.718 ± 0.084,0.761 ± 0.060,0.775 ± 0.040,0.782 ± 0.040,--,--,--,--,--,--
mlp1_f10_h10_no_noise_ReLU,feat_val_mask,0.562 ± 0.004,0.587 ± 0.032,0.573 ± 0.034,0.568 ± 0.051,0.568 ± 0.041,0.579 ± 0.039,0.562 ± 0.000,0.584 ± 0.032,0.580 ± 0.048,0.579 ± 0.053,0.596 ± 0.042,0.594 ± 0.031,0.596 ± 0.007,0.593 ± 0.023,0.591 ± 0.034,0.578 ± 0.033,0.578 ± 0.032,0.580 ± 0.025
,markdown_mask,0.516 ± 0.007,0.583 ± 0.038,0.582 ± 0.040,0.579 ± 0.038,0.581 ± 0.032,0.573 ± 0.025,0.585 ± 0.000,0.586 ± 0.044,0.583 ± 0.052,0.593 ± 0.039,0.587 ± 0.034,0.583 ± 0.038,--,--,--,--,--,--
mlp2_f15_h15_no_noise_ReLU,feat_val_mask,0.547 ± 0.004,0.564 ± 0.022,0.582 ± 0.033,0.580 ± 0.030,0.581 ± 0.035,0.578 ± 0.031,0.535 ± 0.000,0.564 ± 0.029,0.576 ± 0.030,0.577 ± 0.028,0.574 ± 0.025,0.580 ± 0.028,0.563 ± 0.010,0.558 ± 0.023,0.567 ± 0.033,0.566 ± 0.020,0.565 ± 0.020,0.565 ± 0.018
,markdown_mask,0.529 ± 0.004,0.560 ± 0.036,0.579 ± 0.037,0.578 ± 0.034,0.575 ± 0.036,0.570 ± 0.021,0.551 ± 0.000,0.567 ± 0.033,0.577 ± 0.028,0.579 ± 0.033,0.575 ± 0.031,0.579 ± 0.020,--,--,--,--,--,--
mlp3_f20_h20_no_noise_ReLU,feat_val_mask,0.566 ± 0.011,0.576 ± 0.027,0.565 ± 0.035,0.573 ± 0.027,0.562 ± 0.033,0.583 ± 0.025,0.583 ± 0.001,0.587 ± 0.041,0.580 ± 0.034,0.587 ± 0.031,0.567 ± 0.033,0.580 ± 0.034,0.603 ± 0.008,0.569 ± 0.035,0.573 ± 0.030,0.581 ± 0.026,0.574 ± 0.023,0.575 ± 0.018
,markdown_mask,0.544 ± 0.004,0.559 ± 0.038,0.561 ± 0.025,0.565 ± 0.033,0.565 ± 0.019,0.566 ± 0.024,0.600 ± 0.001,0.585 ± 0.041,0.577 ± 0.038,0.586 ± 0.028,0.567 ± 0.025,0.571 ± 0.037,--,--,--,--,--,--
mlp5_f30_h30_no_noise_ReLU,feat_val_mask,0.527 ± 0.007,0.536 ± 0.016,0.536 ± 0.022,0.538 ± 0.018,0.540 ± 0.019,0.538 ± 0.018,0.541 ± 0.000,0.537 ± 0.015,0.538 ± 0.021,0.543 ± 0.026,0.536 ± 0.019,0.547 ± 0.014,0.546 ± 0.006,0.542 ± 0.014,0.542 ± 0.016,0.541 ± 0.013,0.538 ± 0.017,0.539 ± 0.010
,markdown_mask,0.526 ± 0.007,0.536 ± 0.026,0.532 ± 0.020,0.534 ± 0.021,0.534 ± 0.015,0.543 ± 0.020,0.527 ± 0.001,0.535 ± 0.018,0.542 ± 0.020,0.544 ± 0.013,0.534 ± 0.012,0.549 ± 0.012,--,--,--,--,--,--
mlp7_f40_h40_no_noise_ReLU,feat_val_mask,0.523 ± 0.006,0.534 ± 0.018,0.532 ± 0.017,0.535 ± 0.018,0.527 ± 0.014,0.530 ± 0.014,0.537 ± 0.000,0.534 ± 0.017,0.531 ± 0.019,0.540 ± 0.019,0.544 ± 0.015,0.545 ± 0.017,0.533 ± 0.005,0.538 ± 0.019,0.534 ± 0.012,0.541 ± 0.012,0.535 ± 0.016,0.538 ± 0.014
,markdown_mask,0.518 ± 0.011,0.528 ± 0.017,0.531 ± 0.020,0.538 ± 0.020,0.536 ± 0.024,0.535 ± 0.016,0.526 ± 0.001,0.543 ± 0.020,0.544 ± 0.019,0.548 ± 0.013,0.553 ± 0.025,0.552 ± 0.017,--,--,--,--,--,--
mlp9_f50_h50_no_noise_ReLU,feat_val_mask,0.526 ± 0.009,0.525 ± 0.016,0.523 ± 0.014,0.529 ± 0.014,0.524 ± 0.011,0.522 ± 0.019,0.521 ± 0.000,0.528 ± 0.012,0.528 ± 0.019,0.523 ± 0.011,0.529 ± 0.015,0.536 ± 0.019,0.526 ± 0.007,0.526 ± 0.012,0.528 ± 0.014,0.525 ± 0.009,0.528 ± 0.012,0.527 ± 0.011
,markdown_mask,0.519 ± 0.009,0.525 ± 0.011,0.530 ± 0.016,0.526 ± 0.018,0.532 ± 0.023,0.523 ± 0.014,0.526 ± 0.000,0.528 ± 0.017,0.525 ± 0.013,0.531 ± 0.016,0.539 ± 0.013,0.539 ± 0.014,--,--,--,--,--,--
