,,Models,,,,,,,,
Dataset,Shots,Qwen3-8B,Qwen3-14B,GPT-4o-mini,TabPFN,LogReg,Random Forest,XGBoost,,
,,gen,fwd,gen,fwd,gen,/,/,/,/
callcenter,0,0.510 ± 0.000,0.503 ± 0.000,0.543 ± 0.000,0.543 ± 0.000,0.522 ± 0.010,--,--,--,--
,4,0.674 ± 0.029,0.664 ± 0.049,0.678 ± 0.033,0.689 ± 0.029,0.685 ± 0.041,0.583 ± 0.112,0.578 ± 0.059,0.500 ± 0.000,0.558 ± 0.059
,8,0.698 ± 0.041,0.684 ± 0.046,0.676 ± 0.043,0.684 ± 0.039,0.686 ± 0.040,0.605 ± 0.093,0.655 ± 0.069,0.540 ± 0.089,0.565 ± 0.090
,16,0.686 ± 0.029,0.690 ± 0.039,0.656 ± 0.024,0.668 ± 0.026,0.689 ± 0.013,0.616 ± 0.091,0.627 ± 0.043,0.557 ± 0.052,0.526 ± 0.036
,32,0.689 ± 0.036,0.704 ± 0.040,0.658 ± 0.052,0.658 ± 0.062,0.670 ± 0.049,0.641 ± 0.081,0.678 ± 0.046,0.636 ± 0.056,0.583 ± 0.070
,64,0.706 ± 0.024,0.712 ± 0.025,0.680 ± 0.035,0.685 ± 0.035,0.682 ± 0.028,0.657 ± 0.076,0.686 ± 0.072,0.660 ± 0.076,0.645 ± 0.073
hiring,0,0.564 ± 0.000,0.540 ± 0.000,0.553 ± 0.000,0.586 ± 0.000,0.573 ± 0.003,--,--,--,--
,4,0.572 ± 0.021,0.576 ± 0.015,0.556 ± 0.021,0.575 ± 0.033,0.581 ± 0.019,0.537 ± 0.065,0.545 ± 0.030,0.500 ± 0.000,0.504 ± 0.009
,8,0.580 ± 0.020,0.569 ± 0.030,0.562 ± 0.026,0.588 ± 0.018,0.582 ± 0.020,0.531 ± 0.062,0.536 ± 0.032,0.504 ± 0.008,0.510 ± 0.020
,16,0.586 ± 0.023,0.591 ± 0.038,0.554 ± 0.020,0.587 ± 0.020,0.583 ± 0.020,0.563 ± 0.080,0.577 ± 0.060,0.525 ± 0.044,0.542 ± 0.045
,32,0.573 ± 0.014,0.566 ± 0.010,0.553 ± 0.020,0.576 ± 0.019,0.596 ± 0.023,0.611 ± 0.055,0.593 ± 0.060,0.559 ± 0.047,0.591 ± 0.050
,64,0.563 ± 0.028,0.560 ± 0.027,0.548 ± 0.018,0.553 ± 0.018,0.605 ± 0.022,0.656 ± 0.029,0.581 ± 0.038,0.592 ± 0.042,0.583 ± 0.033
telco,0,0.619 ± 0.000,0.614 ± 0.000,0.827 ± 0.000,0.820 ± 0.000,0.807 ± 0.001,--,--,--,--
,4,0.723 ± 0.049,0.650 ± 0.053,0.787 ± 0.043,0.784 ± 0.033,0.790 ± 0.021,0.590 ± 0.104,0.655 ± 0.062,0.500 ± 0.000,0.500 ± 0.000
,8,0.737 ± 0.064,0.680 ± 0.101,0.782 ± 0.032,0.776 ± 0.021,0.788 ± 0.022,0.696 ± 0.097,0.700 ± 0.115,0.559 ± 0.131,0.510 ± 0.020
,16,0.752 ± 0.008,0.734 ± 0.029,0.802 ± 0.020,0.771 ± 0.019,0.803 ± 0.010,0.748 ± 0.049,0.782 ± 0.022,0.774 ± 0.041,0.681 ± 0.074
,32,0.727 ± 0.031,0.714 ± 0.030,0.804 ± 0.012,0.797 ± 0.008,0.730 ± 0.051,0.780 ± 0.030,0.791 ± 0.021,0.793 ± 0.015,0.780 ± 0.033
,64,0.747 ± 0.016,0.726 ± 0.023,0.814 ± 0.004,0.810 ± 0.007,0.756 ± 0.036,0.805 ± 0.014,0.793 ± 0.027,0.817 ± 0.014,0.790 ± 0.019
marketing,0,0.688 ± 0.001,0.677 ± 0.000,0.771 ± 0.000,0.730 ± 0.000,0.754 ± 0.005,--,--,--,--
,4,0.818 ± 0.018,0.812 ± 0.019,0.791 ± 0.021,0.798 ± 0.019,0.781 ± 0.014,0.616 ± 0.089,0.643 ± 0.070,0.500 ± 0.000,0.508 ± 0.013
,8,0.807 ± 0.012,0.802 ± 0.014,0.785 ± 0.026,0.787 ± 0.025,0.777 ± 0.025,0.592 ± 0.090,0.682 ± 0.059,0.584 ± 0.122,0.530 ± 0.066
,16,0.811 ± 0.017,0.812 ± 0.016,0.779 ± 0.020,0.790 ± 0.018,0.779 ± 0.019,0.733 ± 0.082,0.692 ± 0.074,0.621 ± 0.132,0.651 ± 0.095
,32,0.807 ± 0.012,0.807 ± 0.011,0.784 ± 0.009,0.789 ± 0.011,0.778 ± 0.017,0.815 ± 0.056,0.768 ± 0.028,0.782 ± 0.018,0.728 ± 0.132
,64,0.800 ± 0.014,0.789 ± 0.019,0.776 ± 0.017,0.785 ± 0.017,0.775 ± 0.010,0.852 ± 0.025,0.786 ± 0.022,0.824 ± 0.031,0.778 ± 0.018
hiring_ls_qwen,0,0.589 ± 0.000,0.573 ± 0.000,0.658 ± 0.000,0.675 ± 0.000,--,--,--,--,--
,4,0.759 ± 0.025,0.736 ± 0.022,0.732 ± 0.032,0.716 ± 0.017,--,0.543 ± 0.048,0.612 ± 0.108,0.500 ± 0.000,0.500 ± 0.000
,8,0.741 ± 0.017,0.718 ± 0.011,0.737 ± 0.014,0.713 ± 0.015,--,0.597 ± 0.084,0.610 ± 0.046,0.515 ± 0.034,0.553 ± 0.115
,16,0.741 ± 0.015,0.742 ± 0.016,0.742 ± 0.030,0.723 ± 0.023,--,0.596 ± 0.074,0.657 ± 0.020,0.819 ± 0.073,0.809 ± 0.116
,32,0.728 ± 0.011,0.716 ± 0.014,0.743 ± 0.020,0.723 ± 0.016,--,0.656 ± 0.060,0.658 ± 0.016,0.918 ± 0.032,0.941 ± 0.013
,64,0.757 ± 0.015,0.749 ± 0.009,0.774 ± 0.012,0.753 ± 0.012,--,0.551 ± 0.141,0.672 ± 0.016,0.955 ± 0.012,0.970 ± 0.029
telco_ls_qwen,0,0.752 ± 0.000,0.786 ± 0.000,0.645 ± 0.000,0.518 ± 0.000,--,--,--,--,--
,4,0.727 ± 0.059,0.707 ± 0.068,0.616 ± 0.077,0.603 ± 0.031,--,0.617 ± 0.098,0.657 ± 0.178,0.500 ± 0.000,0.500 ± 0.000
,8,0.778 ± 0.047,0.802 ± 0.060,0.715 ± 0.067,0.668 ± 0.035,--,0.617 ± 0.084,0.838 ± 0.175,0.744 ± 0.139,0.591 ± 0.127
,16,0.818 ± 0.062,0.820 ± 0.066,0.630 ± 0.111,0.612 ± 0.035,--,0.712 ± 0.070,0.931 ± 0.018,0.934 ± 0.038,0.927 ± 0.066
,32,0.830 ± 0.036,0.833 ± 0.039,0.795 ± 0.081,0.770 ± 0.077,--,0.767 ± 0.028,0.957 ± 0.015,0.983 ± 0.015,0.984 ± 0.021
