,,Models,,,,,,,,
Dataset,Shots,Qwen3-8B,Qwen3-14B,GPT-4o-mini,TabPFN,LogReg,Random Forest,XGBoost,,
,,gen,fwd,gen,fwd,gen,/,/,/,/
reading,0,0.745 ± 0.002,0.648 ± 0.000,0.800 ± 0.000,0.760 ± 0.000,0.797 ± 0.003,--,--,--,--
,4,0.747 ± 0.027,0.719 ± 0.045,0.775 ± 0.069,0.766 ± 0.067,0.815 ± 0.024,0.633 ± 0.134,0.561 ± 0.043,0.500 ± 0.000,0.512 ± 0.017
,8,0.735 ± 0.028,0.712 ± 0.040,0.778 ± 0.068,0.766 ± 0.067,0.819 ± 0.011,0.712 ± 0.117,0.616 ± 0.050,0.511 ± 0.026,0.592 ± 0.125
,16,0.731 ± 0.019,0.717 ± 0.027,0.790 ± 0.024,0.777 ± 0.026,0.797 ± 0.036,0.712 ± 0.110,0.651 ± 0.087,0.647 ± 0.133,0.673 ± 0.140
,32,0.707 ± 0.032,0.694 ± 0.031,0.742 ± 0.035,0.726 ± 0.043,0.803 ± 0.030,0.744 ± 0.106,0.676 ± 0.046,0.755 ± 0.052,0.700 ± 0.078
,64,0.699 ± 0.018,0.702 ± 0.017,0.771 ± 0.029,0.767 ± 0.030,0.799 ± 0.015,0.815 ± 0.065,0.718 ± 0.029,0.810 ± 0.012,0.746 ± 0.045
student_famsup,0,0.600 ± 0.000,0.584 ± 0.000,0.563 ± 0.000,0.552 ± 0.000,0.612 ± 0.006,--,--,--,--
,4,0.550 ± 0.042,0.568 ± 0.026,0.578 ± 0.035,0.581 ± 0.030,0.583 ± 0.013,0.565 ± 0.069,0.542 ± 0.030,0.500 ± 0.000,0.532 ± 0.030
,8,0.562 ± 0.035,0.571 ± 0.024,0.581 ± 0.016,0.587 ± 0.014,0.569 ± 0.016,0.550 ± 0.052,0.541 ± 0.021,0.511 ± 0.025,0.541 ± 0.027
,16,0.566 ± 0.038,0.579 ± 0.040,0.602 ± 0.006,0.606 ± 0.008,0.555 ± 0.032,0.539 ± 0.043,0.542 ± 0.023,0.547 ± 0.045,0.535 ± 0.033
,32,0.568 ± 0.031,0.580 ± 0.030,0.597 ± 0.018,0.600 ± 0.016,0.581 ± 0.011,0.530 ± 0.040,0.524 ± 0.026,0.523 ± 0.021,0.546 ± 0.022
,64,0.572 ± 0.038,0.588 ± 0.027,0.604 ± 0.011,0.607 ± 0.011,0.597 ± 0.011,0.595 ± 0.049,0.546 ± 0.034,0.554 ± 0.038,0.561 ± 0.054
tae,0,0.715 ± 0.000,0.500 ± 0.000,0.763 ± 0.000,0.763 ± 0.000,0.800 ± 0.022,--,--,--,--
,4,0.603 ± 0.050,0.615 ± 0.049,0.637 ± 0.076,0.673 ± 0.085,0.500 ± 0.000,0.563 ± 0.076,0.530 ± 0.014,0.500 ± 0.000,0.517 ± 0.027
,8,0.693 ± 0.106,0.686 ± 0.051,0.689 ± 0.083,0.705 ± 0.099,0.675 ± 0.076,0.601 ± 0.085,0.525 ± 0.013,0.508 ± 0.017,0.563 ± 0.053
,16,0.748 ± 0.069,0.715 ± 0.084,0.723 ± 0.087,0.737 ± 0.073,0.667 ± 0.114,0.665 ± 0.087,0.638 ± 0.114,0.570 ± 0.109,0.546 ± 0.072
,32,0.771 ± 0.111,0.795 ± 0.057,0.756 ± 0.044,0.773 ± 0.030,0.791 ± 0.061,0.799 ± 0.081,0.599 ± 0.079,0.642 ± 0.089,0.596 ± 0.063
,64,0.829 ± 0.050,0.819 ± 0.035,0.778 ± 0.025,0.791 ± 0.039,0.819 ± 0.034,0.861 ± 0.042,0.663 ± 0.079,0.739 ± 0.047,0.762 ± 0.081
irish,0,0.948 ± 0.000,0.824 ± 0.000,0.992 ± 0.000,0.979 ± 0.000,0.922 ± 0.001,--,--,--,--
,4,0.988 ± 0.009,0.890 ± 0.095,0.994 ± 0.007,0.995 ± 0.005,0.979 ± 0.023,0.912 ± 0.089,0.689 ± 0.044,0.500 ± 0.000,0.538 ± 0.066
,8,0.972 ± 0.023,0.947 ± 0.040,0.996 ± 0.006,0.992 ± 0.016,0.983 ± 0.015,0.920 ± 0.023,0.738 ± 0.020,0.831 ± 0.079,0.732 ± 0.114
,16,0.991 ± 0.008,0.935 ± 0.057,0.994 ± 0.009,0.993 ± 0.012,0.977 ± 0.008,0.998 ± 0.001,0.767 ± 0.054,0.900 ± 0.040,0.954 ± 0.027
,32,0.983 ± 0.011,0.972 ± 0.010,0.991 ± 0.011,0.989 ± 0.016,0.986 ± 0.009,0.999 ± 0.000,0.809 ± 0.021,0.953 ± 0.011,0.963 ± 0.010
,64,0.990 ± 0.007,0.986 ± 0.010,0.998 ± 0.002,0.999 ± 0.001,0.986 ± 0.010,1.000 ± 0.000,0.829 ± 0.010,0.972 ± 0.005,0.975 ± 0.006
student_famsup_ls_qwen,0,0.690 ± 0.001,0.661 ± 0.000,0.749 ± 0.000,0.734 ± 0.000,--,--,--,--,--
,4,0.750 ± 0.051,0.765 ± 0.031,0.801 ± 0.030,0.803 ± 0.002,--,0.602 ± 0.085,0.625 ± 0.039,0.500 ± 0.000,0.506 ± 0.009
,8,0.763 ± 0.062,0.800 ± 0.024,0.825 ± 0.021,0.821 ± 0.019,--,0.664 ± 0.090,0.616 ± 0.044,0.551 ± 0.100,0.506 ± 0.014
,16,0.743 ± 0.042,0.765 ± 0.033,0.836 ± 0.020,0.842 ± 0.015,--,0.711 ± 0.063,0.627 ± 0.056,0.592 ± 0.126,0.717 ± 0.098
,32,0.778 ± 0.038,0.797 ± 0.025,0.821 ± 0.020,0.838 ± 0.012,--,0.754 ± 0.053,0.684 ± 0.047,0.812 ± 0.048,0.794 ± 0.063
,64,0.778 ± 0.018,0.795 ± 0.022,0.821 ± 0.025,0.843 ± 0.019,--,0.796 ± 0.035,0.719 ± 0.015,0.875 ± 0.021,0.898 ± 0.032
tae_ls_qwen,0,0.500 ± 0.000,0.502 ± 0.000,0.613 ± 0.000,0.596 ± 0.000,--,--,--,--,--
,4,0.754 ± 0.028,0.744 ± 0.033,0.768 ± 0.055,0.775 ± 0.042,--,0.631 ± 0.051,0.640 ± 0.081,0.500 ± 0.000,0.502 ± 0.002
,8,0.767 ± 0.037,0.736 ± 0.041,0.766 ± 0.036,0.774 ± 0.033,--,0.720 ± 0.052,0.722 ± 0.067,0.590 ± 0.133,0.577 ± 0.112
,16,0.755 ± 0.030,0.744 ± 0.041,0.772 ± 0.046,0.776 ± 0.043,--,0.785 ± 0.043,0.791 ± 0.061,0.817 ± 0.015,0.708 ± 0.119
,32,0.772 ± 0.026,0.765 ± 0.024,0.789 ± 0.032,0.783 ± 0.024,--,0.887 ± 0.029,0.844 ± 0.031,0.871 ± 0.042,0.874 ± 0.062
