,,Models,,,,,,,,
Dataset,Shots,Qwen3-8B,Qwen3-14B,GPT-4o-mini,TabPFN,LogReg,Random Forest,XGBoost,,
,,gen,fwd,gen,fwd,gen,/,/,/,/
bank_credit_scoring,0,0.529 ± 0.001,0.500 ± 0.000,0.712 ± 0.000,0.649 ± 0.000,0.707 ± 0.004,--,--,--,--
,4,0.697 ± 0.054,0.674 ± 0.071,0.767 ± 0.053,0.791 ± 0.057,0.693 ± 0.045,0.620 ± 0.084,0.540 ± 0.022,0.500 ± 0.000,0.500 ± 0.000
,8,0.754 ± 0.028,0.747 ± 0.024,0.804 ± 0.015,0.811 ± 0.018,0.719 ± 0.045,0.790 ± 0.060,0.534 ± 0.026,0.538 ± 0.086,0.560 ± 0.134
,16,0.769 ± 0.044,0.779 ± 0.044,0.819 ± 0.025,0.818 ± 0.028,0.713 ± 0.043,0.834 ± 0.056,0.581 ± 0.049,0.731 ± 0.130,0.785 ± 0.051
,32,0.799 ± 0.041,0.819 ± 0.030,0.817 ± 0.032,0.822 ± 0.037,0.721 ± 0.029,0.867 ± 0.027,0.650 ± 0.067,0.781 ± 0.076,0.825 ± 0.036
,64,0.821 ± 0.011,0.831 ± 0.015,0.801 ± 0.012,0.798 ± 0.012,0.724 ± 0.033,0.890 ± 0.019,0.673 ± 0.079,0.828 ± 0.051,0.844 ± 0.038
audit,0,0.967 ± 0.000,0.991 ± 0.000,0.960 ± 0.000,0.932 ± 0.000,0.747 ± 0.010,--,--,--,--
,4,0.994 ± 0.005,0.998 ± 0.002,0.995 ± 0.003,0.984 ± 0.020,0.995 ± 0.003,0.953 ± 0.018,0.824 ± 0.153,0.500 ± 0.000,0.542 ± 0.094
,8,0.992 ± 0.003,0.988 ± 0.019,0.997 ± 0.002,0.995 ± 0.006,0.996 ± 0.002,0.976 ± 0.012,0.842 ± 0.129,0.972 ± 0.017,0.734 ± 0.142
,16,0.997 ± 0.004,0.994 ± 0.012,0.998 ± 0.002,0.997 ± 0.003,0.998 ± 0.003,0.988 ± 0.016,0.956 ± 0.023,0.983 ± 0.011,0.934 ± 0.049
,32,0.999 ± 0.001,0.999 ± 0.001,0.998 ± 0.001,0.997 ± 0.001,0.998 ± 0.001,1.000 ± 0.007,0.987 ± 0.013,0.991 ± 0.007,0.951 ± 0.052
,64,0.998 ± 0.002,0.991 ± 0.013,0.998 ± 0.001,0.996 ± 0.001,0.998 ± 0.001,1.000 ± 0.003,0.997 ± 0.003,0.996 ± 0.005,0.974 ± 0.049
fraud,0,0.626 ± 0.000,0.648 ± 0.000,0.765 ± 0.000,0.715 ± 0.000,0.725 ± 0.031,--,--,--,--
,4,0.761 ± 0.038,0.653 ± 0.053,0.800 ± 0.026,0.761 ± 0.045,0.828 ± 0.035,0.694 ± 0.105,0.654 ± 0.119,0.500 ± 0.000,0.577 ± 0.115
,8,0.777 ± 0.041,0.705 ± 0.120,0.843 ± 0.032,0.794 ± 0.055,0.833 ± 0.031,0.785 ± 0.126,0.741 ± 0.068,0.591 ± 0.175,0.570 ± 0.110
,16,0.813 ± 0.028,0.666 ± 0.073,0.834 ± 0.019,0.813 ± 0.022,0.848 ± 0.025,0.948 ± 0.037,0.801 ± 0.022,0.781 ± 0.082,0.836 ± 0.122
,32,0.818 ± 0.021,0.746 ± 0.049,0.837 ± 0.019,0.851 ± 0.020,0.873 ± 0.027,0.982 ± 0.010,0.821 ± 0.027,0.903 ± 0.033,0.903 ± 0.076
,64,0.845 ± 0.012,0.782 ± 0.032,0.848 ± 0.018,0.854 ± 0.014,0.882 ± 0.011,0.991 ± 0.003,0.817 ± 0.027,0.936 ± 0.020,0.979 ± 0.015
credit,0,0.519 ± 0.001,0.568 ± 0.000,0.520 ± 0.000,0.513 ± 0.000,0.627 ± 0.004,--,--,--,--
,4,0.543 ± 0.028,0.586 ± 0.033,0.538 ± 0.028,0.544 ± 0.018,0.561 ± 0.017,0.568 ± 0.073,0.559 ± 0.052,0.500 ± 0.000,0.594 ± 0.093
,8,0.578 ± 0.045,0.612 ± 0.055,0.551 ± 0.035,0.551 ± 0.036,0.575 ± 0.019,0.634 ± 0.064,0.575 ± 0.045,0.503 ± 0.007,0.604 ± 0.093
,16,0.564 ± 0.038,0.583 ± 0.040,0.575 ± 0.049,0.561 ± 0.039,0.553 ± 0.030,0.657 ± 0.071,0.653 ± 0.076,0.646 ± 0.088,0.654 ± 0.095
,32,0.600 ± 0.039,0.577 ± 0.039,0.588 ± 0.058,0.560 ± 0.040,0.527 ± 0.017,0.658 ± 0.055,0.660 ± 0.070,0.673 ± 0.071,0.636 ± 0.105
,64,0.620 ± 0.048,0.631 ± 0.049,0.625 ± 0.018,0.598 ± 0.015,0.518 ± 0.034,0.715 ± 0.030,0.678 ± 0.035,0.694 ± 0.024,0.677 ± 0.029
audit_ls_qwen,0,0.699 ± 0.000,0.506 ± 0.000,0.628 ± 0.000,0.587 ± 0.000,--,--,--,--,--
,4,0.749 ± 0.053,0.703 ± 0.081,0.700 ± 0.036,0.649 ± 0.035,--,0.577 ± 0.117,0.526 ± 0.019,0.500 ± 0.000,0.507 ± 0.012
,8,0.765 ± 0.061,0.751 ± 0.061,0.658 ± 0.032,0.629 ± 0.048,--,0.630 ± 0.098,0.515 ± 0.013,0.541 ± 0.072,0.531 ± 0.070
,16,0.748 ± 0.069,0.736 ± 0.076,0.679 ± 0.031,0.672 ± 0.029,--,0.671 ± 0.065,0.530 ± 0.021,0.586 ± 0.119,0.658 ± 0.188
,32,0.749 ± 0.040,0.761 ± 0.028,0.609 ± 0.042,0.620 ± 0.043,--,0.738 ± 0.016,0.519 ± 0.011,0.864 ± 0.064,0.973 ± 0.024
,64,0.806 ± 0.008,0.813 ± 0.009,0.653 ± 0.032,0.670 ± 0.033,--,0.760 ± 0.023,0.531 ± 0.016,0.978 ± 0.016,0.975 ± 0.015
fraud_ls_qwen,0,0.761 ± 0.000,0.621 ± 0.000,0.599 ± 0.000,0.658 ± 0.000,--,--,--,--,--
,4,0.826 ± 0.054,0.812 ± 0.051,0.781 ± 0.097,0.760 ± 0.102,--,0.866 ± 0.097,0.513 ± 0.008,0.500 ± 0.000,0.502 ± 0.005
,8,0.933 ± 0.026,0.911 ± 0.017,0.878 ± 0.051,0.830 ± 0.075,--,0.929 ± 0.047,0.528 ± 0.010,0.585 ± 0.188,0.720 ± 0.218
,16,0.899 ± 0.035,0.893 ± 0.038,0.896 ± 0.025,0.892 ± 0.028,--,0.946 ± 0.015,0.535 ± 0.022,0.730 ± 0.213,0.922 ± 0.054
,32,0.874 ± 0.028,0.892 ± 0.027,0.923 ± 0.015,0.920 ± 0.012,--,0.961 ± 0.015,0.526 ± 0.022,0.948 ± 0.017,0.941 ± 0.005
