,,Models,,,,,,,,
Dataset,Shots,Qwen3-8B,Qwen3-14B,GPT-4o-mini,TabPFN,LogReg,Random Forest,XGBoost,,
,,gen,fwd,gen,fwd,gen,/,/,/,/
postpartum,0,0.753 ± 0.001,0.716 ± 0.000,0.561 ± 0.000,0.561 ± 0.000,0.527 ± 0.009,--,--,--,--
,4,0.746 ± 0.036,0.654 ± 0.074,0.754 ± 0.055,0.758 ± 0.019,0.737 ± 0.035,0.607 ± 0.107,0.539 ± 0.020,0.500 ± 0.000,0.503 ± 0.007
,8,0.733 ± 0.034,0.687 ± 0.039,0.781 ± 0.019,0.779 ± 0.022,0.747 ± 0.034,0.632 ± 0.077,0.564 ± 0.033,0.577 ± 0.081,0.584 ± 0.050
,16,0.730 ± 0.027,0.716 ± 0.036,0.807 ± 0.015,0.783 ± 0.023,0.758 ± 0.039,0.659 ± 0.085,0.594 ± 0.060,0.693 ± 0.089,0.612 ± 0.075
,32,0.740 ± 0.025,0.761 ± 0.032,0.803 ± 0.016,0.797 ± 0.015,0.787 ± 0.019,0.714 ± 0.048,0.637 ± 0.061,0.747 ± 0.044,0.657 ± 0.022
,64,0.750 ± 0.024,0.755 ± 0.017,0.791 ± 0.017,0.794 ± 0.014,0.787 ± 0.019,0.780 ± 0.031,0.698 ± 0.064,0.765 ± 0.055,0.731 ± 0.055
cancer,0,0.964 ± 0.000,0.553 ± 0.000,0.992 ± 0.000,0.945 ± 0.000,0.989 ± 0.001,--,--,--,--
,4,0.985 ± 0.006,0.976 ± 0.009,0.993 ± 0.004,0.991 ± 0.002,0.992 ± 0.001,0.990 ± 0.003,0.996 ± 0.001,0.500 ± 0.000,0.765 ± 0.148
,8,0.989 ± 0.002,0.987 ± 0.002,0.994 ± 0.002,0.991 ± 0.001,0.989 ± 0.004,0.993 ± 0.003,0.980 ± 0.032,0.895 ± 0.221,0.860 ± 0.042
,16,0.988 ± 0.003,0.983 ± 0.005,0.993 ± 0.003,0.991 ± 0.002,0.987 ± 0.009,0.987 ± 0.004,0.984 ± 0.016,0.993 ± 0.003,0.882 ± 0.098
,32,0.988 ± 0.003,0.980 ± 0.003,0.994 ± 0.002,0.992 ± 0.002,0.988 ± 0.002,0.989 ± 0.003,0.991 ± 0.007,0.990 ± 0.003,0.957 ± 0.038
,64,0.989 ± 0.001,0.984 ± 0.007,0.994 ± 0.002,0.993 ± 0.002,0.989 ± 0.002,0.992 ± 0.002,0.988 ± 0.008,0.991 ± 0.004,0.984 ± 0.018
transfusion,0,0.715 ± 0.002,0.709 ± 0.000,0.713 ± 0.000,0.719 ± 0.000,0.657 ± 0.005,--,--,--,--
,4,0.665 ± 0.022,0.660 ± 0.028,0.655 ± 0.026,0.662 ± 0.018,0.664 ± 0.038,0.611 ± 0.072,0.671 ± 0.043,0.500 ± 0.000,0.537 ± 0.083
,8,0.638 ± 0.051,0.635 ± 0.062,0.645 ± 0.049,0.659 ± 0.013,0.658 ± 0.060,0.613 ± 0.100,0.653 ± 0.055,0.541 ± 0.092,0.633 ± 0.082
,16,0.620 ± 0.039,0.619 ± 0.038,0.617 ± 0.036,0.633 ± 0.038,0.662 ± 0.026,0.614 ± 0.072,0.706 ± 0.038,0.632 ± 0.113,0.590 ± 0.089
,32,0.660 ± 0.043,0.650 ± 0.042,0.646 ± 0.041,0.653 ± 0.041,0.670 ± 0.042,0.686 ± 0.050,0.729 ± 0.012,0.677 ± 0.040,0.666 ± 0.079
,64,0.630 ± 0.024,0.634 ± 0.026,0.622 ± 0.045,0.627 ± 0.036,0.646 ± 0.026,0.694 ± 0.035,0.736 ± 0.011,0.699 ± 0.031,0.679 ± 0.030
diabetes,0,0.759 ± 0.000,0.704 ± 0.000,0.774 ± 0.000,0.759 ± 0.000,0.805 ± 0.003,--,--,--,--
,4,0.803 ± 0.012,0.753 ± 0.018,0.816 ± 0.013,0.791 ± 0.042,0.815 ± 0.013,0.677 ± 0.109,0.680 ± 0.066,0.500 ± 0.000,0.564 ± 0.071
,8,0.821 ± 0.007,0.785 ± 0.034,0.829 ± 0.006,0.811 ± 0.014,0.813 ± 0.013,0.745 ± 0.112,0.750 ± 0.036,0.655 ± 0.147,0.545 ± 0.079
,16,0.810 ± 0.024,0.795 ± 0.041,0.835 ± 0.018,0.818 ± 0.026,0.812 ± 0.014,0.774 ± 0.090,0.742 ± 0.031,0.775 ± 0.021,0.687 ± 0.111
,32,0.797 ± 0.030,0.774 ± 0.044,0.832 ± 0.008,0.816 ± 0.011,0.816 ± 0.012,0.797 ± 0.057,0.774 ± 0.036,0.785 ± 0.023,0.739 ± 0.049
,64,0.808 ± 0.013,0.781 ± 0.024,0.844 ± 0.011,0.826 ± 0.012,0.821 ± 0.014,0.804 ± 0.035,0.733 ± 0.028,0.794 ± 0.016,0.757 ± 0.029
cancer_ls_qwen,0,0.605 ± 0.000,0.620 ± 0.000,0.850 ± 0.000,0.833 ± 0.000,--,--,--,--,--
,4,0.698 ± 0.048,0.739 ± 0.029,0.716 ± 0.046,0.611 ± 0.060,--,0.662 ± 0.081,0.536 ± 0.011,0.500 ± 0.000,0.738 ± 0.223
,8,0.688 ± 0.070,0.704 ± 0.067,0.716 ± 0.108,0.622 ± 0.080,--,0.682 ± 0.061,0.565 ± 0.055,0.525 ± 0.056,0.658 ± 0.206
,16,0.824 ± 0.024,0.809 ± 0.062,0.773 ± 0.054,0.659 ± 0.099,--,0.702 ± 0.000,0.743 ± 0.068,0.766 ± 0.164,0.815 ± 0.182
,32,0.814 ± 0.041,0.825 ± 0.036,0.829 ± 0.042,0.746 ± 0.085,--,0.702 ± 0.000,0.846 ± 0.023,0.897 ± 0.050,0.933 ± 0.015
,64,--,0.866 ± 0.035,--,0.791 ± 0.039,--,0.702 ± 0.000,0.885 ± 0.022,0.940 ± 0.008,0.969 ± 0.020
transfusion_ls_qwen,0,0.633 ± 0.001,0.664 ± 0.000,0.607 ± 0.000,0.617 ± 0.000,--,--,--,--,--
,4,0.661 ± 0.030,0.660 ± 0.027,0.662 ± 0.022,0.662 ± 0.016,--,0.550 ± 0.059,0.529 ± 0.020,0.500 ± 0.000,0.507 ± 0.016
,8,0.680 ± 0.039,0.694 ± 0.041,0.689 ± 0.050,0.676 ± 0.030,--,0.577 ± 0.088,0.544 ± 0.043,0.500 ± 0.000,0.510 ± 0.017
,16,0.683 ± 0.040,0.698 ± 0.049,0.688 ± 0.021,0.674 ± 0.012,--,0.600 ± 0.060,0.648 ± 0.064,0.633 ± 0.054,0.653 ± 0.053
,32,0.698 ± 0.029,0.708 ± 0.023,0.689 ± 0.031,0.686 ± 0.027,--,0.656 ± 0.045,0.693 ± 0.018,0.730 ± 0.048,0.697 ± 0.113
