,,Models,,,,,,,,
Dataset,Shots,Qwen3-8B,Qwen3-14B,GPT-4o-mini,TabPFN,LogReg,Random Forest,XGBoost,,
,,gen,fwd,gen,fwd,gen,/,/,/,/
crimes_arrest,0,0.590 ± 0.000,0.565 ± 0.000,0.514 ± 0.000,0.581 ± 0.000,0.650 ± 0.005,--,--,--,--
,4,0.590 ± 0.047,0.571 ± 0.046,0.590 ± 0.052,0.585 ± 0.063,0.658 ± 0.060,0.508 ± 0.099,0.578 ± 0.064,0.500 ± 0.000,0.500 ± 0.000
,8,0.603 ± 0.078,0.593 ± 0.074,0.605 ± 0.067,0.597 ± 0.071,0.672 ± 0.054,0.536 ± 0.106,0.598 ± 0.039,0.519 ± 0.042,0.581 ± 0.115
,16,0.699 ± 0.064,0.671 ± 0.060,0.682 ± 0.058,0.667 ± 0.069,0.697 ± 0.084,0.656 ± 0.089,0.618 ± 0.093,0.645 ± 0.135,0.569 ± 0.134
,32,0.727 ± 0.061,0.719 ± 0.042,0.715 ± 0.033,0.703 ± 0.046,0.697 ± 0.084,0.749 ± 0.072,0.631 ± 0.098,0.712 ± 0.118,0.731 ± 0.081
,64,0.772 ± 0.058,0.745 ± 0.045,0.807 ± 0.039,0.792 ± 0.037,0.697 ± 0.084,0.833 ± 0.046,0.657 ± 0.027,0.798 ± 0.045,0.826 ± 0.035
san_francisco_crimes,0,0.678 ± 0.000,0.690 ± 0.000,0.755 ± 0.000,0.713 ± 0.000,0.689 ± 0.004,--,--,--,--
,4,0.641 ± 0.096,0.638 ± 0.080,0.712 ± 0.099,0.672 ± 0.109,0.789 ± 0.029,0.526 ± 0.074,0.595 ± 0.033,0.500 ± 0.000,0.509 ± 0.020
,8,0.757 ± 0.054,0.750 ± 0.053,0.810 ± 0.053,0.793 ± 0.062,0.819 ± 0.041,0.580 ± 0.065,0.602 ± 0.052,0.540 ± 0.055,0.512 ± 0.028
,16,0.771 ± 0.059,0.770 ± 0.059,0.807 ± 0.053,0.806 ± 0.055,0.844 ± 0.014,0.559 ± 0.069,0.562 ± 0.045,0.548 ± 0.032,0.566 ± 0.059
,32,0.822 ± 0.015,0.809 ± 0.034,0.852 ± 0.015,0.843 ± 0.013,0.868 ± 0.014,0.721 ± 0.078,0.551 ± 0.034,0.580 ± 0.058,0.589 ± 0.055
,64,0.835 ± 0.021,0.839 ± 0.012,0.882 ± 0.019,0.874 ± 0.019,0.873 ± 0.005,0.851 ± 0.086,0.572 ± 0.046,0.694 ± 0.043,0.709 ± 0.076
compas,0,0.653 ± 0.000,0.518 ± 0.000,0.571 ± 0.000,0.530 ± 0.000,0.672 ± 0.003,--,--,--,--
,4,0.628 ± 0.066,0.600 ± 0.063,0.622 ± 0.062,0.612 ± 0.061,0.680 ± 0.020,0.603 ± 0.069,0.689 ± 0.041,0.500 ± 0.000,0.522 ± 0.031
,8,0.653 ± 0.047,0.641 ± 0.050,0.606 ± 0.071,0.610 ± 0.050,0.665 ± 0.046,0.560 ± 0.044,0.624 ± 0.075,0.521 ± 0.046,0.539 ± 0.071
,16,0.673 ± 0.027,0.664 ± 0.023,0.644 ± 0.049,0.634 ± 0.046,0.681 ± 0.009,0.628 ± 0.039,0.684 ± 0.037,0.612 ± 0.071,0.598 ± 0.056
,32,0.669 ± 0.025,0.669 ± 0.027,0.629 ± 0.046,0.626 ± 0.047,0.669 ± 0.006,0.609 ± 0.051,0.641 ± 0.053,0.641 ± 0.031,0.606 ± 0.069
,64,0.676 ± 0.019,0.673 ± 0.021,0.658 ± 0.032,0.652 ± 0.034,0.671 ± 0.007,0.679 ± 0.024,0.682 ± 0.036,0.672 ± 0.019,0.618 ± 0.048
vote,0,0.574 ± 0.000,0.544 ± 0.000,0.598 ± 0.000,0.563 ± 0.000,0.626 ± 0.026,--,--,--,--
,4,0.897 ± 0.024,0.836 ± 0.048,0.870 ± 0.072,0.813 ± 0.061,0.842 ± 0.086,0.979 ± 0.056,0.934 ± 0.057,0.500 ± 0.000,0.650 ± 0.159
,8,0.918 ± 0.027,0.905 ± 0.028,0.902 ± 0.041,0.875 ± 0.064,0.869 ± 0.091,0.985 ± 0.012,0.964 ± 0.015,0.690 ± 0.260,0.894 ± 0.130
,16,0.942 ± 0.027,0.922 ± 0.028,0.923 ± 0.026,0.918 ± 0.034,0.894 ± 0.014,0.992 ± 0.009,0.972 ± 0.003,0.991 ± 0.003,0.967 ± 0.021
,32,0.947 ± 0.013,0.925 ± 0.019,0.936 ± 0.016,0.930 ± 0.032,0.908 ± 0.018,0.993 ± 0.004,0.972 ± 0.013,0.986 ± 0.005,0.981 ± 0.016
,64,0.953 ± 0.020,0.938 ± 0.012,0.933 ± 0.018,0.934 ± 0.017,0.919 ± 0.026,0.995 ± 0.002,0.973 ± 0.010,0.992 ± 0.002,0.985 ± 0.010
san_francisco_crimes_ls_qwen,0,0.532 ± 0.000,0.542 ± 0.000,0.511 ± 0.000,0.561 ± 0.000,--,--,--,--,--
,4,0.761 ± 0.017,0.708 ± 0.053,0.644 ± 0.038,0.656 ± 0.016,--,0.659 ± 0.093,0.532 ± 0.017,0.500 ± 0.000,0.500 ± 0.000
,8,0.749 ± 0.030,0.711 ± 0.063,0.621 ± 0.024,0.630 ± 0.020,--,0.739 ± 0.110,0.568 ± 0.083,0.527 ± 0.061,0.585 ± 0.120
,16,0.733 ± 0.018,0.726 ± 0.022,0.630 ± 0.060,0.637 ± 0.050,--,0.786 ± 0.094,0.714 ± 0.103,0.709 ± 0.157,0.751 ± 0.159
,32,0.745 ± 0.056,0.734 ± 0.073,0.630 ± 0.038,0.630 ± 0.030,--,0.887 ± 0.031,0.807 ± 0.025,0.878 ± 0.037,0.916 ± 0.040
,64,0.758 ± 0.041,0.762 ± 0.050,0.649 ± 0.024,0.641 ± 0.025,--,0.933 ± 0.021,0.828 ± 0.029,0.918 ± 0.033,0.965 ± 0.015
compas_ls_qwen,0,0.690 ± 0.000,0.661 ± 0.000,0.686 ± 0.000,0.675 ± 0.000,--,--,--,--,--
,4,0.800 ± 0.018,0.782 ± 0.024,0.742 ± 0.023,0.700 ± 0.043,--,0.624 ± 0.060,0.510 ± 0.005,0.500 ± 0.000,0.501 ± 0.001
,8,0.792 ± 0.013,0.771 ± 0.018,0.772 ± 0.019,0.765 ± 0.024,--,0.640 ± 0.067,0.533 ± 0.018,0.500 ± 0.000,0.520 ± 0.031
,16,0.792 ± 0.020,0.771 ± 0.019,0.770 ± 0.023,0.752 ± 0.043,--,0.683 ± 0.052,0.622 ± 0.044,0.588 ± 0.089,0.597 ± 0.088
,32,0.774 ± 0.016,0.775 ± 0.021,0.792 ± 0.013,0.799 ± 0.009,--,0.744 ± 0.053,0.760 ± 0.059,0.762 ± 0.050,0.693 ± 0.143
