,,Models,,,,,,,,
Dataset,Shots,Qwen3-8B,Qwen3-14B,GPT-4o-mini,TabPFN,LogReg,Random Forest,XGBoost,,
,,gen,fwd,gen,fwd,gen,/,/,/,/
seismic_bumps,0,0.768 ± 0.000,0.744 ± 0.000,0.708 ± 0.000,0.702 ± 0.000,0.755 ± 0.008,--,--,--,--
,4,0.748 ± 0.029,0.732 ± 0.023,0.749 ± 0.026,0.729 ± 0.019,0.763 ± 0.013,0.751 ± 0.099,0.639 ± 0.093,0.500 ± 0.000,0.543 ± 0.059
,8,0.760 ± 0.017,0.747 ± 0.033,0.765 ± 0.013,0.749 ± 0.014,0.762 ± 0.015,0.728 ± 0.137,0.579 ± 0.073,0.617 ± 0.143,0.584 ± 0.116
,16,0.751 ± 0.010,0.739 ± 0.017,0.775 ± 0.012,0.764 ± 0.016,0.750 ± 0.011,0.729 ± 0.075,0.595 ± 0.086,0.730 ± 0.129,0.710 ± 0.069
,32,0.748 ± 0.023,0.739 ± 0.031,0.766 ± 0.004,0.753 ± 0.012,0.729 ± 0.040,0.740 ± 0.045,0.614 ± 0.089,0.762 ± 0.029,0.685 ± 0.052
,64,0.754 ± 0.010,0.751 ± 0.011,0.769 ± 0.025,0.768 ± 0.024,0.750 ± 0.012,0.749 ± 0.021,0.602 ± 0.068,0.768 ± 0.011,0.732 ± 0.043
bbbp,0,0.711 ± 0.000,0.704 ± 0.000,0.804 ± 0.000,0.800 ± 0.000,0.753 ± 0.003,--,--,--,--
,4,0.706 ± 0.065,0.724 ± 0.060,0.804 ± 0.025,0.802 ± 0.015,0.707 ± 0.085,0.707 ± 0.129,0.694 ± 0.028,0.500 ± 0.000,0.500 ± 0.000
,8,0.793 ± 0.015,0.786 ± 0.012,0.812 ± 0.012,0.805 ± 0.015,0.736 ± 0.041,0.737 ± 0.053,0.696 ± 0.078,0.644 ± 0.132,0.540 ± 0.065
,16,0.809 ± 0.021,0.799 ± 0.018,0.827 ± 0.013,0.824 ± 0.014,0.753 ± 0.040,0.771 ± 0.021,0.733 ± 0.033,0.779 ± 0.016,0.717 ± 0.064
,32,0.828 ± 0.030,0.813 ± 0.030,0.832 ± 0.007,0.833 ± 0.008,0.775 ± 0.028,0.788 ± 0.026,0.719 ± 0.055,0.794 ± 0.023,0.722 ± 0.059
,64,0.843 ± 0.013,0.828 ± 0.010,0.844 ± 0.023,0.840 ± 0.021,0.788 ± 0.025,0.818 ± 0.032,0.751 ± 0.054,0.813 ± 0.017,0.795 ± 0.026
biodegr,0,0.662 ± 0.000,0.637 ± 0.000,0.612 ± 0.000,0.589 ± 0.000,0.513 ± 0.007,--,--,--,--
,4,0.674 ± 0.138,0.679 ± 0.149,0.618 ± 0.086,0.629 ± 0.097,0.614 ± 0.040,0.724 ± 0.099,0.652 ± 0.078,0.500 ± 0.000,0.540 ± 0.090
,8,0.758 ± 0.137,0.759 ± 0.134,0.758 ± 0.094,0.688 ± 0.106,0.670 ± 0.107,0.790 ± 0.047,0.695 ± 0.053,0.615 ± 0.158,0.622 ± 0.079
,16,0.772 ± 0.116,0.797 ± 0.079,0.780 ± 0.050,0.742 ± 0.079,0.651 ± 0.120,0.795 ± 0.056,0.725 ± 0.081,0.771 ± 0.062,0.724 ± 0.138
,32,0.830 ± 0.034,0.829 ± 0.041,0.802 ± 0.047,0.786 ± 0.058,0.702 ± 0.080,0.868 ± 0.025,0.837 ± 0.032,0.844 ± 0.013,0.791 ± 0.044
,64,0.846 ± 0.026,0.844 ± 0.019,0.840 ± 0.015,--,0.711 ± 0.060,0.882 ± 0.019,0.881 ± 0.013,0.858 ± 0.022,0.812 ± 0.057
seismic_bumps_ls_qwen,0,0.523 ± 0.000,0.522 ± 0.000,0.557 ± 0.000,0.518 ± 0.000,--,--,--,--,--
,4,0.655 ± 0.109,0.623 ± 0.044,0.725 ± 0.101,0.693 ± 0.092,--,0.648 ± 0.142,0.562 ± 0.000,0.500 ± 0.000,0.503 ± 0.007
,8,0.743 ± 0.055,0.746 ± 0.068,0.730 ± 0.045,0.746 ± 0.036,--,0.674 ± 0.093,0.562 ± 0.000,0.749 ± 0.229,0.669 ± 0.232
,16,0.719 ± 0.056,0.717 ± 0.057,0.646 ± 0.058,0.655 ± 0.041,--,0.715 ± 0.062,0.562 ± 0.000,0.914 ± 0.018,0.920 ± 0.021
,32,0.740 ± 0.049,0.781 ± 0.061,0.647 ± 0.048,0.664 ± 0.064,--,0.744 ± 0.016,0.562 ± 0.000,0.949 ± 0.010,0.946 ± 0.015
,64,0.746 ± 0.041,0.753 ± 0.052,0.613 ± 0.043,0.612 ± 0.026,--,0.764 ± 0.024,0.562 ± 0.000,0.964 ± 0.006,0.961 ± 0.008
bbbp_ls_qwen,0,0.864 ± 0.000,0.772 ± 0.000,0.725 ± 0.000,0.708 ± 0.000,--,--,--,--,--
,4,0.738 ± 0.131,0.702 ± 0.155,0.852 ± 0.091,0.792 ± 0.131,--,0.523 ± 0.045,0.925 ± 0.040,0.500 ± 0.000,0.737 ± 0.224
,8,0.752 ± 0.038,0.734 ± 0.037,0.879 ± 0.046,0.823 ± 0.046,--,0.530 ± 0.035,0.818 ± 0.176,0.587 ± 0.136,0.792 ± 0.175
,16,0.799 ± 0.084,0.828 ± 0.087,0.930 ± 0.034,0.911 ± 0.035,--,0.525 ± 0.043,0.895 ± 0.090,0.948 ± 0.039,0.903 ± 0.085
,32,0.855 ± 0.034,0.869 ± 0.025,0.940 ± 0.041,0.916 ± 0.036,--,0.518 ± 0.039,0.925 ± 0.037,0.977 ± 0.007,0.948 ± 0.050
,64,0.850 ± 0.048,0.863 ± 0.059,0.971 ± 0.008,0.963 ± 0.012,--,0.524 ± 0.027,0.939 ± 0.017,0.983 ± 0.002,0.985 ± 0.005
biodegr_ls_qwen,0,0.621 ± 0.000,0.749 ± 0.000,0.534 ± 0.000,0.569 ± 0.000,--,--,--,--,--
,4,0.709 ± 0.040,0.729 ± 0.049,0.649 ± 0.066,0.669 ± 0.043,--,0.691 ± 0.093,0.527 ± 0.025,0.500 ± 0.000,0.509 ± 0.019
,8,0.732 ± 0.079,0.764 ± 0.071,0.665 ± 0.059,0.665 ± 0.044,--,0.823 ± 0.041,0.563 ± 0.038,0.546 ± 0.096,0.500 ± 0.000
,16,0.709 ± 0.078,0.746 ± 0.056,0.634 ± 0.016,0.617 ± 0.020,--,0.847 ± 0.017,0.593 ± 0.081,0.623 ± 0.169,0.699 ± 0.182
,32,0.787 ± 0.046,0.807 ± 0.052,0.699 ± 0.033,0.699 ± 0.028,--,0.872 ± 0.027,0.614 ± 0.054,0.829 ± 0.016,0.841 ± 0.031
