,,Models,,,,,,,,
Dataset,Shots,Qwen3-8B,Qwen3-14B,GPT-4o-mini,TabPFN,LogReg,Random Forest,XGBoost,,
,,gen,fwd,gen,fwd,gen,/,/,/,/
extrovert,0,0.614 ± 0.000,0.572 ± 0.000,0.627 ± 0.000,0.618 ± 0.000,0.568 ± 0.001,--,--,--,--
,4,0.592 ± 0.009,0.596 ± 0.005,0.576 ± 0.029,0.584 ± 0.009,0.582 ± 0.022,0.572 ± 0.070,0.599 ± 0.049,0.500 ± 0.000,0.500 ± 0.000
,8,0.599 ± 0.024,0.581 ± 0.032,0.582 ± 0.056,0.590 ± 0.047,0.592 ± 0.040,0.563 ± 0.051,0.606 ± 0.041,0.500 ± 0.000,0.504 ± 0.009
,16,0.589 ± 0.039,0.590 ± 0.052,0.580 ± 0.033,0.592 ± 0.024,0.610 ± 0.010,0.636 ± 0.060,0.614 ± 0.047,0.582 ± 0.078,0.559 ± 0.081
,32,0.612 ± 0.013,0.627 ± 0.009,0.598 ± 0.036,0.591 ± 0.028,0.600 ± 0.014,0.655 ± 0.055,0.622 ± 0.043,0.641 ± 0.013,0.624 ± 0.026
,64,0.641 ± 0.028,0.640 ± 0.027,0.635 ± 0.023,0.631 ± 0.027,0.635 ± 0.020,0.686 ± 0.044,0.643 ± 0.024,0.672 ± 0.022,0.640 ± 0.015
adult,0,0.827 ± 0.000,0.837 ± 0.000,0.834 ± 0.000,0.845 ± 0.000,0.839 ± 0.001,--,--,--,--
,4,0.817 ± 0.026,0.826 ± 0.031,0.826 ± 0.030,0.791 ± 0.038,0.833 ± 0.026,0.676 ± 0.094,0.558 ± 0.059,0.500 ± 0.000,0.566 ± 0.093
,8,0.799 ± 0.036,0.803 ± 0.034,0.816 ± 0.023,0.782 ± 0.017,0.853 ± 0.009,0.725 ± 0.121,0.624 ± 0.074,0.500 ± 0.000,0.534 ± 0.077
,16,0.833 ± 0.020,0.822 ± 0.031,0.841 ± 0.024,0.811 ± 0.022,0.858 ± 0.008,0.807 ± 0.086,0.609 ± 0.089,0.691 ± 0.118,0.621 ± 0.115
,32,0.842 ± 0.017,0.833 ± 0.035,0.856 ± 0.016,0.820 ± 0.019,0.872 ± 0.015,0.833 ± 0.028,0.737 ± 0.023,0.816 ± 0.020,0.771 ± 0.050
,64,0.854 ± 0.014,0.841 ± 0.026,0.865 ± 0.013,0.852 ± 0.014,0.868 ± 0.009,0.874 ± 0.020,0.722 ± 0.040,0.844 ± 0.019,0.801 ± 0.021
tech_mental_health_survey,0,0.695 ± 0.000,0.631 ± 0.000,0.721 ± 0.000,0.690 ± 0.000,0.715 ± 0.003,--,--,--,--
,4,0.863 ± 0.018,0.835 ± 0.028,0.826 ± 0.071,0.783 ± 0.052,0.706 ± 0.096,0.819 ± 0.125,0.675 ± 0.149,0.500 ± 0.000,0.500 ± 0.000
,8,0.865 ± 0.020,0.852 ± 0.039,0.854 ± 0.021,0.826 ± 0.029,0.809 ± 0.044,0.803 ± 0.124,0.806 ± 0.169,0.642 ± 0.220,0.572 ± 0.076
,16,0.869 ± 0.020,0.855 ± 0.022,0.840 ± 0.035,0.815 ± 0.039,0.822 ± 0.067,0.956 ± 0.078,0.819 ± 0.108,0.925 ± 0.124,0.775 ± 0.228
,32,0.885 ± 0.015,0.875 ± 0.018,0.878 ± 0.012,0.849 ± 0.018,0.871 ± 0.022,0.994 ± 0.008,0.933 ± 0.037,0.992 ± 0.019,0.969 ± 0.021
,64,0.877 ± 0.027,0.880 ± 0.026,0.858 ± 0.049,0.825 ± 0.067,0.881 ± 0.019,1.000 ± 0.000,0.958 ± 0.000,0.994 ± 0.008,0.942 ± 0.025
fitness,0,0.627 ± 0.000,0.504 ± 0.000,0.642 ± 0.000,0.587 ± 0.000,0.654 ± 0.009,--,--,--,--
,4,0.620 ± 0.075,0.583 ± 0.049,0.673 ± 0.066,0.682 ± 0.066,0.708 ± 0.043,0.649 ± 0.131,0.666 ± 0.096,0.500 ± 0.000,0.545 ± 0.101
,8,0.631 ± 0.039,0.622 ± 0.045,0.676 ± 0.049,0.682 ± 0.032,0.712 ± 0.020,0.643 ± 0.076,0.719 ± 0.037,0.544 ± 0.099,0.612 ± 0.110
,16,0.599 ± 0.037,0.583 ± 0.030,0.655 ± 0.043,0.652 ± 0.044,0.681 ± 0.037,0.741 ± 0.053,0.751 ± 0.022,0.671 ± 0.097,0.687 ± 0.090
,32,0.628 ± 0.046,0.630 ± 0.049,0.662 ± 0.020,0.650 ± 0.012,0.696 ± 0.019,0.760 ± 0.047,0.770 ± 0.018,0.742 ± 0.018,0.688 ± 0.045
,64,0.649 ± 0.033,0.660 ± 0.037,0.676 ± 0.018,0.661 ± 0.029,0.719 ± 0.017,0.804 ± 0.010,0.770 ± 0.016,0.762 ± 0.008,0.761 ± 0.018
adult_ls_qwen,0,0.721 ± 0.000,0.666 ± 0.000,0.742 ± 0.000,0.664 ± 0.000,--,--,--,--,--
,4,0.928 ± 0.016,0.894 ± 0.030,0.943 ± 0.029,0.940 ± 0.033,--,0.575 ± 0.076,0.734 ± 0.097,0.500 ± 0.000,0.503 ± 0.007
,8,0.937 ± 0.026,0.907 ± 0.033,0.963 ± 0.006,0.950 ± 0.021,--,0.616 ± 0.049,0.726 ± 0.056,0.564 ± 0.144,0.605 ± 0.186
,16,0.953 ± 0.014,0.942 ± 0.018,0.960 ± 0.010,0.954 ± 0.013,--,0.657 ± 0.052,0.779 ± 0.077,0.919 ± 0.034,0.891 ± 0.063
,32,0.949 ± 0.013,0.932 ± 0.012,0.964 ± 0.009,0.959 ± 0.010,--,0.686 ± 0.039,0.833 ± 0.045,0.946 ± 0.020,0.963 ± 0.006
,64,0.957 ± 0.004,0.954 ± 0.005,0.963 ± 0.004,0.956 ± 0.005,--,0.755 ± 0.026,0.880 ± 0.011,0.974 ± 0.004,0.971 ± 0.011
tech_mental_health_survey_ls_qwen,0,0.674 ± 0.001,0.674 ± 0.000,0.767 ± 0.000,0.742 ± 0.000,--,--,--,--,--
,4,0.829 ± 0.033,0.788 ± 0.029,0.824 ± 0.031,0.792 ± 0.035,--,0.625 ± 0.078,0.525 ± 0.020,0.500 ± 0.000,0.500 ± 0.000
,8,0.828 ± 0.032,0.806 ± 0.041,0.834 ± 0.017,0.811 ± 0.013,--,0.599 ± 0.059,0.533 ± 0.020,0.516 ± 0.027,0.511 ± 0.015
,16,0.822 ± 0.032,0.806 ± 0.026,0.833 ± 0.014,0.829 ± 0.013,--,0.725 ± 0.058,0.618 ± 0.068,0.657 ± 0.121,0.623 ± 0.115
,32,0.816 ± 0.026,0.816 ± 0.024,0.827 ± 0.019,0.818 ± 0.021,--,0.845 ± 0.072,0.700 ± 0.068,0.790 ± 0.079,0.755 ± 0.079
