,,Models,,,,,,,,
Dataset,Shots,Qwen3-8B,Qwen3-14B,GPT-4o-mini,TabPFN,LogReg,Random Forest,XGBoost,,
,,gen,fwd,gen,fwd,gen,/,/,/,/
machine,0,0.536 ± 0.000,0.520 ± 0.000,0.512 ± 0.000,0.515 ± 0.000,0.545 ± 0.016,--,--,--,--
,4,0.520 ± 0.015,0.518 ± 0.022,0.530 ± 0.021,0.539 ± 0.021,0.527 ± 0.017,0.539 ± 0.035,0.510 ± 0.007,0.500 ± 0.000,0.500 ± 0.000
,8,0.523 ± 0.020,0.533 ± 0.018,0.524 ± 0.025,0.529 ± 0.023,0.533 ± 0.016,0.517 ± 0.016,0.517 ± 0.017,0.507 ± 0.012,0.507 ± 0.015
,16,0.531 ± 0.017,0.531 ± 0.024,0.536 ± 0.021,0.539 ± 0.020,0.536 ± 0.017,0.523 ± 0.021,0.523 ± 0.022,0.522 ± 0.022,0.513 ± 0.014
,32,0.522 ± 0.011,0.534 ± 0.012,0.540 ± 0.019,0.539 ± 0.026,0.541 ± 0.028,0.506 ± 0.033,0.523 ± 0.019,0.524 ± 0.024,0.530 ± 0.016
,64,0.537 ± 0.016,0.550 ± 0.016,0.539 ± 0.022,0.547 ± 0.018,0.541 ± 0.028,0.524 ± 0.028,0.523 ± 0.011,0.537 ± 0.025,0.541 ± 0.034
pc4,0,0.504 ± 0.000,0.576 ± 0.000,0.531 ± 0.000,0.568 ± 0.000,0.582 ± 0.009,--,--,--,--
,4,0.581 ± 0.061,0.582 ± 0.070,0.639 ± 0.049,0.651 ± 0.023,0.601 ± 0.026,0.661 ± 0.110,0.559 ± 0.059,0.500 ± 0.000,0.596 ± 0.133
,8,0.598 ± 0.054,0.587 ± 0.071,0.675 ± 0.055,0.667 ± 0.026,0.630 ± 0.054,0.808 ± 0.079,0.621 ± 0.075,0.528 ± 0.062,0.650 ± 0.152
,16,0.666 ± 0.057,0.683 ± 0.050,0.699 ± 0.034,0.689 ± 0.021,0.675 ± 0.032,0.835 ± 0.049,0.763 ± 0.070,0.762 ± 0.153,0.789 ± 0.079
,32,0.703 ± 0.015,0.696 ± 0.020,0.689 ± 0.012,0.682 ± 0.014,0.695 ± 0.020,0.893 ± 0.024,0.797 ± 0.028,0.847 ± 0.023,0.859 ± 0.041
,64,0.724 ± 0.032,0.710 ± 0.026,0.705 ± 0.018,0.692 ± 0.021,0.702 ± 0.027,0.926 ± 0.012,0.835 ± 0.041,0.868 ± 0.036,0.903 ± 0.016
steel,0,0.970 ± 0.000,0.871 ± 0.000,0.996 ± 0.000,0.887 ± 0.000,0.930 ± 0.002,--,--,--,--
,4,0.999 ± 0.002,0.996 ± 0.004,0.910 ± 0.056,0.755 ± 0.097,0.981 ± 0.019,0.618 ± 0.063,0.587 ± 0.064,0.500 ± 0.000,0.558 ± 0.036
,8,0.998 ± 0.004,0.986 ± 0.011,0.964 ± 0.019,0.898 ± 0.025,0.991 ± 0.008,0.664 ± 0.066,0.572 ± 0.030,0.500 ± 0.000,0.548 ± 0.066
,16,0.993 ± 0.015,0.988 ± 0.025,0.982 ± 0.010,0.914 ± 0.053,0.989 ± 0.013,0.749 ± 0.054,0.632 ± 0.043,0.619 ± 0.016,0.628 ± 0.028
,32,0.998 ± 0.001,0.998 ± 0.001,0.983 ± 0.015,0.964 ± 0.032,0.994 ± 0.004,0.934 ± 0.043,0.650 ± 0.032,0.679 ± 0.050,0.737 ± 0.076
,64,--,0.997 ± 0.004,0.996 ± 0.005,--,0.995 ± 0.003,0.975 ± 0.022,0.658 ± 0.060,0.781 ± 0.068,0.917 ± 0.035
kc1,0,0.708 ± 0.000,0.717 ± 0.000,0.633 ± 0.000,0.748 ± 0.000,0.735 ± 0.008,--,--,--,--
,4,0.731 ± 0.047,0.738 ± 0.028,0.711 ± 0.023,0.740 ± 0.012,0.747 ± 0.019,0.701 ± 0.175,0.651 ± 0.082,0.500 ± 0.000,0.500 ± 0.000
,8,0.714 ± 0.053,0.717 ± 0.042,0.687 ± 0.074,0.746 ± 0.024,0.730 ± 0.059,0.654 ± 0.030,0.580 ± 0.042,0.547 ± 0.106,0.571 ± 0.098
,16,0.750 ± 0.020,0.757 ± 0.012,0.732 ± 0.037,0.749 ± 0.019,0.757 ± 0.020,0.754 ± 0.029,0.565 ± 0.038,0.733 ± 0.036,0.639 ± 0.052
,32,0.754 ± 0.021,0.751 ± 0.025,0.747 ± 0.015,0.755 ± 0.009,0.764 ± 0.009,0.750 ± 0.049,0.616 ± 0.070,0.754 ± 0.019,0.651 ± 0.087
,64,0.763 ± 0.009,0.758 ± 0.015,0.745 ± 0.035,0.747 ± 0.036,0.759 ± 0.008,0.764 ± 0.015,0.657 ± 0.045,0.771 ± 0.011,0.747 ± 0.013
pc4_ls_qwen,0,0.829 ± 0.000,0.821 ± 0.000,0.695 ± 0.000,0.679 ± 0.000,--,--,--,--,--
,4,0.730 ± 0.029,0.664 ± 0.027,0.738 ± 0.042,0.607 ± 0.034,--,0.550 ± 0.073,0.575 ± 0.054,0.500 ± 0.000,0.520 ± 0.020
,8,0.747 ± 0.018,0.705 ± 0.007,0.753 ± 0.019,0.716 ± 0.045,--,0.592 ± 0.067,0.573 ± 0.052,0.526 ± 0.058,0.585 ± 0.120
,16,0.760 ± 0.019,0.702 ± 0.067,0.773 ± 0.032,0.753 ± 0.044,--,0.603 ± 0.058,0.588 ± 0.047,0.585 ± 0.117,0.614 ± 0.107
,32,0.793 ± 0.017,0.784 ± 0.023,0.794 ± 0.014,0.790 ± 0.023,--,0.655 ± 0.060,0.708 ± 0.072,0.823 ± 0.051,0.869 ± 0.076
,64,0.785 ± 0.018,0.792 ± 0.022,0.775 ± 0.016,--,--,0.741 ± 0.034,0.791 ± 0.026,0.894 ± 0.047,0.968 ± 0.007
steel_ls_qwen,0,0.995 ± 0.000,0.997 ± 0.000,0.989 ± 0.000,0.996 ± 0.000,--,--,--,--,--
,4,0.997 ± 0.002,0.996 ± 0.001,0.993 ± 0.002,0.995 ± 0.003,--,0.872 ± 0.129,0.718 ± 0.169,0.500 ± 0.000,0.526 ± 0.058
,8,0.994 ± 0.002,0.993 ± 0.001,0.991 ± 0.004,0.994 ± 0.004,--,0.989 ± 0.008,0.832 ± 0.120,0.593 ± 0.207,0.594 ± 0.210
,16,0.995 ± 0.004,0.993 ± 0.003,0.991 ± 0.004,0.944 ± 0.112,--,0.996 ± 0.006,0.931 ± 0.063,0.500 ± 0.000,0.784 ± 0.259
,32,0.998 ± 0.003,0.998 ± 0.002,0.992 ± 0.002,0.991 ± 0.009,--,0.995 ± 0.006,0.904 ± 0.091,0.500 ± 0.000,0.779 ± 0.255
