,,Models,,,,,,,,
Dataset,Shots,Qwen3-8B,Qwen3-14B,GPT-4o-mini,TabPFN,LogReg,Random Forest,XGBoost,,
,,gen,fwd,gen,fwd,gen,/,/,/,/
mlp0_f5_h0_no_noise_ReLU,0,0.564 ± 0.001,0.545 ± 0.000,0.602 ± 0.000,0.646 ± 0.000,0.608 ± 0.004,--,--,--,--
,4,0.639 ± 0.070,0.590 ± 0.062,0.688 ± 0.088,0.696 ± 0.084,0.645 ± 0.065,0.762 ± 0.083,0.827 ± 0.064,0.500 ± 0.000,0.530 ± 0.045
,8,0.676 ± 0.063,0.613 ± 0.070,0.707 ± 0.079,0.703 ± 0.087,0.689 ± 0.079,0.853 ± 0.070,0.904 ± 0.070,0.575 ± 0.117,0.638 ± 0.098
,16,0.713 ± 0.059,0.628 ± 0.070,0.748 ± 0.059,0.751 ± 0.048,0.708 ± 0.055,0.919 ± 0.047,0.955 ± 0.038,0.840 ± 0.071,0.784 ± 0.098
,32,0.717 ± 0.042,0.639 ± 0.070,0.759 ± 0.047,0.753 ± 0.048,0.741 ± 0.040,0.968 ± 0.016,0.983 ± 0.011,0.896 ± 0.034,0.877 ± 0.045
,64,0.746 ± 0.039,0.666 ± 0.064,0.778 ± 0.044,0.768 ± 0.043,0.740 ± 0.047,0.989 ± 0.009,0.993 ± 0.006,0.930 ± 0.026,0.928 ± 0.021
mlp1_f10_h10_no_noise_ReLU,0,0.562 ± 0.004,0.563 ± 0.000,0.562 ± 0.000,0.584 ± 0.000,0.596 ± 0.007,--,--,--,--
,4,0.587 ± 0.032,0.551 ± 0.031,0.584 ± 0.032,0.593 ± 0.036,0.593 ± 0.023,0.631 ± 0.083,0.666 ± 0.065,0.500 ± 0.000,0.515 ± 0.023
,8,0.573 ± 0.034,0.544 ± 0.022,0.580 ± 0.048,0.584 ± 0.035,0.591 ± 0.034,0.718 ± 0.063,0.730 ± 0.054,0.527 ± 0.051,0.548 ± 0.067
,16,0.568 ± 0.051,0.550 ± 0.037,0.579 ± 0.053,0.571 ± 0.036,0.578 ± 0.033,0.786 ± 0.068,0.804 ± 0.049,0.711 ± 0.090,0.689 ± 0.095
,32,0.568 ± 0.041,0.540 ± 0.023,0.596 ± 0.042,0.581 ± 0.033,0.578 ± 0.032,0.839 ± 0.030,0.849 ± 0.029,0.789 ± 0.052,0.763 ± 0.053
,64,0.579 ± 0.039,0.534 ± 0.025,0.594 ± 0.031,0.579 ± 0.030,0.580 ± 0.025,0.886 ± 0.016,0.881 ± 0.023,0.840 ± 0.022,0.817 ± 0.031
mlp2_f15_h15_no_noise_ReLU,0,0.547 ± 0.004,0.549 ± 0.000,0.535 ± 0.000,0.541 ± 0.000,0.563 ± 0.010,--,--,--,--
,4,0.564 ± 0.022,0.533 ± 0.025,0.564 ± 0.029,0.558 ± 0.026,0.558 ± 0.023,0.573 ± 0.062,0.602 ± 0.065,0.500 ± 0.000,0.526 ± 0.023
,8,0.582 ± 0.033,0.545 ± 0.021,0.576 ± 0.030,0.570 ± 0.026,0.567 ± 0.033,0.597 ± 0.077,0.611 ± 0.078,0.523 ± 0.045,0.527 ± 0.042
,16,0.580 ± 0.030,0.553 ± 0.024,0.577 ± 0.028,0.580 ± 0.025,0.566 ± 0.020,0.637 ± 0.075,0.664 ± 0.067,0.593 ± 0.072,0.555 ± 0.066
,32,0.581 ± 0.035,0.563 ± 0.031,0.574 ± 0.025,0.574 ± 0.023,0.565 ± 0.020,0.694 ± 0.056,0.707 ± 0.052,0.677 ± 0.054,0.653 ± 0.058
,64,0.578 ± 0.031,0.554 ± 0.034,0.580 ± 0.028,0.583 ± 0.024,0.565 ± 0.018,0.739 ± 0.036,0.753 ± 0.036,0.711 ± 0.035,0.678 ± 0.052
mlp3_f20_h20_no_noise_ReLU,0,0.566 ± 0.011,0.547 ± 0.000,0.583 ± 0.001,0.553 ± 0.000,0.603 ± 0.008,--,--,--,--
,4,0.576 ± 0.027,0.527 ± 0.018,0.587 ± 0.041,0.569 ± 0.033,0.569 ± 0.035,0.543 ± 0.058,0.587 ± 0.052,0.500 ± 0.000,0.505 ± 0.010
,8,0.565 ± 0.035,0.538 ± 0.020,0.580 ± 0.034,0.574 ± 0.030,0.573 ± 0.030,0.576 ± 0.055,0.592 ± 0.050,0.513 ± 0.023,0.515 ± 0.023
,16,0.573 ± 0.027,0.535 ± 0.016,0.587 ± 0.031,0.575 ± 0.035,0.581 ± 0.026,0.620 ± 0.056,0.624 ± 0.049,0.579 ± 0.061,0.563 ± 0.053
,32,0.562 ± 0.033,0.543 ± 0.020,0.567 ± 0.033,0.556 ± 0.033,0.574 ± 0.023,0.651 ± 0.046,0.662 ± 0.041,0.627 ± 0.046,0.599 ± 0.049
,64,0.583 ± 0.025,0.548 ± 0.025,0.580 ± 0.034,0.570 ± 0.028,0.575 ± 0.018,0.687 ± 0.037,0.701 ± 0.029,0.669 ± 0.026,0.640 ± 0.036
mlp5_f30_h30_no_noise_ReLU,0,0.527 ± 0.007,0.525 ± 0.000,0.541 ± 0.000,0.534 ± 0.000,0.546 ± 0.006,--,--,--,--
,4,0.536 ± 0.016,0.526 ± 0.018,0.537 ± 0.015,0.535 ± 0.022,0.542 ± 0.014,0.524 ± 0.041,0.535 ± 0.021,0.500 ± 0.000,0.511 ± 0.010
,8,0.536 ± 0.022,0.522 ± 0.016,0.538 ± 0.021,0.530 ± 0.018,0.542 ± 0.016,0.540 ± 0.047,0.549 ± 0.037,0.505 ± 0.007,0.507 ± 0.014
,16,0.538 ± 0.018,0.525 ± 0.018,0.543 ± 0.026,0.539 ± 0.015,0.541 ± 0.013,0.554 ± 0.040,0.564 ± 0.032,0.521 ± 0.028,0.519 ± 0.023
,32,0.540 ± 0.019,0.530 ± 0.017,0.536 ± 0.019,0.530 ± 0.014,0.538 ± 0.017,0.570 ± 0.037,0.581 ± 0.040,0.567 ± 0.038,0.542 ± 0.030
,64,0.538 ± 0.018,0.526 ± 0.021,0.547 ± 0.014,0.542 ± 0.014,0.539 ± 0.010,0.605 ± 0.033,0.602 ± 0.046,0.603 ± 0.032,0.583 ± 0.035
mlp7_f40_h40_no_noise_ReLU,0,0.523 ± 0.006,0.517 ± 0.000,0.537 ± 0.000,0.571 ± 0.000,0.533 ± 0.005,--,--,--,--
,4,0.534 ± 0.018,0.521 ± 0.018,0.534 ± 0.017,0.532 ± 0.010,0.538 ± 0.019,0.521 ± 0.033,0.537 ± 0.021,0.500 ± 0.000,0.509 ± 0.012
,8,0.532 ± 0.017,0.534 ± 0.019,0.531 ± 0.019,0.530 ± 0.014,0.534 ± 0.012,0.518 ± 0.036,0.540 ± 0.028,0.515 ± 0.026,0.508 ± 0.010
